Period,Aset,Kas Dan Setara Kas,Deposito Berjangka,Piutang Pada Lembaga Kliring Dan Penjaminan,Piutang Nasabah,Piutang Pembiayaan Konsumen,Piutang Pembiayaan Konsumen,Others,Total Piutang Pembiayaan Konsumen,Portofolio Efek,Portofolio Efek,Others,Total Portofolio Efek,Piutang Lain-Lain,Persediaan,Aset Tak Berwujud,Aset Pajak Tangguhan,Aset Tetap,Others,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Utang Pada Lembaga Kliring Dan Penjaminan,Utang Nasabah,Beban Akrual,Estimasi Liabilitas Klaim,Surat Berharga Yang Diterbitkan,Surat Berharga Jangka Menengah,Utang Pajak,Utang Bank Jangka Pendek,Utang Bank Jangka Panjang,Utang Lain-Lain,Others,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,9751053284.000000,,519480000.000000,4460459827.000000,,,,,43885000000.000000,,,43885000000.000000,,25422972000.000000,,2723321581.000000,6084115081.000000,39151111584.000000,131997513357.000000,,,539817500.000000,866121920.000000,1039656031.000000,,,,383221636.000000,,,634386739.000000,,3463203826.000000,,56009500000.000000,75435934.000000,40512257140.000000,,,40512257140.000000,31937116456.000000,,128534309530.000000,131997513356.000000,140023750.000000
12M 2009,,13676019935.000000,,12717498500.000000,11907120478.000000,,,,,70048132500.000000,,,70048132500.000000,,,,2751953959.000000,15417542947.000000,46403463907.000000,172921732226.000000,,,11888358500.000000,12823235153.000000,1269217908.000000,,,,656859063.000000,,,1151317409.000000,,27788988033.000000,,56009500000.000000,75435934.000000,44915803097.000000,,,44915803097.000000,44132005163.000000,,145132744194.000000,172921732227.000000,140023750.000000
12M 2010,,8316271784.000000,,13314517500.000000,11697257357.000000,,,,,128345500000.000000,,,128345500000.000000,964016654.000000,,,3534277646.000000,7591059542.000000,14026330675.000000,187789231158.000000,,,12358068000.000000,13419664712.000000,393157226.000000,,,,1384974027.000000,,,1114973548.000000,2760875139.000000,31431712652.000000,,56009500000.000000,75435934.000000,54713025482.000000,,,54713025482.000000,45559557089.000000,,156357518505.000000,187789231157.000000,140023750.000000
12M 2011,,7649047225.000000,160000000000.000000,4283047500.000000,4632332621.000000,,,,,128810482315.000000,,,128810482315.000000,1526439593.000000,,,3802398496.000000,11315517913.000000,154158992995.000000,476178258658.000000,,,4014215000.000000,5034422175.000000,5613763.000000,,,,521000022.000000,,,2186945370.000000,3826574909.000000,15588771239.000000,,336057000000.000000,5027935934.000000,71856997759.000000,5000000000.000000,66856997759.000000,71856997759.000000,47647553725.000000,,460589487418.000000,476178258657.000000,2940498750.000000
12M 2012,,14807224669.000000,160000000000.000000,10804324484.000000,11809628170.000000,,,,,34157130880.000000,,,34157130880.000000,86450735064.000000,,,4317522407.000000,7935275866.000000,162598664677.000000,492880506217.000000,,,10960488500.000000,9764220158.000000,74220573.000000,,,,779281852.000000,,,2224719440.000000,4224758833.000000,28027689356.000000,,336057000000.000000,5027935934.000000,75904148628.000000,6500000000.000000,69404148628.000000,75904148628.000000,47863732298.000000,,464852816860.000000,492880506216.000000,2940498750.000000
12M 2013,,22420155176.000000,,3431936439.000000,4060379531.000000,112653329.000000,,,112653329.000000,343744227215.000000,,,343744227215.000000,1006177306.000000,,,5008843616.000000,69446947117.000000,60852298121.000000,510083617850.000000,,,2780526500.000000,3543574755.000000,439738642.000000,,,,1300073939.000000,9795630366.000000,,9626412924.000000,4902021802.000000,32387978928.000000,,336057000000.000000,5027935934.000000,88117776645.000000,7000000000.000000,81117776645.000000,88117776645.000000,48492926343.000000,,477695638922.000000,510083617850.000000,2940498750.000000
12M 2014,,29125500353.000000,,1190140954.000000,5082173710.000000,,,,,368025507156.000000,,,368025507156.000000,60179040.000000,,,5562318632.000000,71194969714.000000,103312354934.000000,583553144493.000000,,,19567000.000000,5080589973.000000,462545056.000000,,,,1161990141.000000,56614267819.000000,,2693947564.000000,6422714689.000000,72455622242.000000,,336057000000.000000,5027935934.000000,117882825425.000000,8500000000.000000,109382825425.000000,117882825425.000000,52129760892.000000,,511097522251.000000,583553144493.000000,2940498750.000000
12M 2015,,36099360768.000000,,6167484427.000000,41323017853.000000,9405000000.000000,,,9405000000.000000,380559212587.000000,,,380559212587.000000,175329040.000000,,,6140803497.000000,68336298523.000000,107178793526.000000,655385300221.000000,,,31170000.000000,41357971702.000000,1369243833.000000,,,,3577787679.000000,59414305748.000000,,2734452897.000000,5077643279.000000,113562575138.000000,,336057000000.000000,5027935934.000000,143354958111.000000,8500000000.000000,134854958111.000000,143354958111.000000,54062442707.000000,3320388331.000000,541822725083.000000,655385300221.000000,2940498750.000000
12M 2016,,142414980760.000000,20000000000.000000,2354105234.000000,95324043476.000000,,9500000000.000000,-95000000.000000,9405000000.000000,,641444138279.000000,45780415058.000000,687224553337.000000,855229834.000000,,,6827128966.000000,172150387116.000000,735789022399.000000,1872344451122.000000,,,18240000.000000,99324698122.000000,10348493734.000000,,,,5593894538.000000,192125999835.000000,,24329536534.000000,7855131990.000000,339595994753.000000,,1218206625000.000000,43428310934.000000,210744146241.000000,16500000000.000000,194244146241.000000,210744146241.000000,57029255591.000000,3340118601.000000,1532748456367.000000,1872344451120.000000,11761995000.000000
12M 2017,,141598952929.000000,,2321956617.000000,506370323362.000000,,1333116778.000000,-13415584.000000,1319701194.000000,,729588007807.000000,133708843366.000000,863296851173.000000,1317424041.000000,,,7801290125.000000,171700864119.000000,697625813103.000000,2393353176663.000000,,,12450000.000000,504733055680.000000,2283123862.000000,,,,6392566742.000000,200820593380.000000,,6573359346.000000,15186051057.000000,736001200067.000000,,1218570776500.000000,43464726084.000000,330667562886.000000,,,330667562886.000000,61934913419.000000,2713997707.000000,1657351976596.000000,2393353176663.000000,11761995000.000000
