Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kerjasama Mitra Usaha,"Pembayaran Vendor, Sewa Dan Lainnya",Pembayaran Kepada Karyawan,Pembayaran Pajak Penghasilan,Penghasilan Bunga,Penerimaan (Pengeluaran) Kas Lainnya Dari Aktivitas Operasi,Pembayaran Kas Lainnya Untuk Beban Operasi,Penerimaan Pengembalian Sewa,Adjustment,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Pembayaran Aset Tak Berwujud,Penerimaan Investasi Lainnya,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pembayaran Dividen,Penerimaan Dari Penawaran Umum Perdana,Pembayaran Liabilitas Sewa,Adjustment,Total Arus Kas Dari Aktivitas Pendanaan,Penurunan Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2017,187387982000.000000,413524453000.000000,,-199951179000.000000,-34874646000.000000,-45007484000.000000,7192051000.000000,,,46504787000.000000,,187387982000.000000,-25871412000.000000,-35898567000.000000,,10027155000.000000,-25871412000.000000,-78686006000.000000,-78686006000.000000,,,,-78686006000.000000,82830564000.000000,91770269000.000000,,174600833000.000000
12M 2018,-129624989000.000000,494239889000.000000,,-532701939000.000000,-62441260000.000000,-60951972000.000000,32230293000.000000,,,,,-129624989000.000000,-184700372000.000000,-184700372000.000000,,,-184700372000.000000,696251090000.000000,-104123964000.000000,800375054000.000000,,,696251090000.000000,381925729000.000000,174600833000.000000,,556526562000.000000
12M 2019,162770628000.000000,498471153000.000000,,-183654831000.000000,-74972690000.000000,-110015606000.000000,32942602000.000000,,,,,162770628000.000000,-125647525000.000000,-125647525000.000000,,,-125647525000.000000,-102102308000.000000,-102102308000.000000,,,,-102102308000.000000,-64979205000.000000,556526562000.000000,,491547357000.000000
12M 2020,159011538000.000000,387575347000.000000,,-182720195000.000000,-58773295000.000000,-15799026000.000000,28728707000.000000,,,,,159011538000.000000,-18862318000.000000,-18862318000.000000,,,-18862318000.000000,-112040741000.000000,-101484057000.000000,,-10556684000.000000,,-112040741000.000000,28108479000.000000,491547357000.000000,,519655836000.000000
12M 2021,305237437000.000000,528951781000.000000,,-204506229000.000000,-59139049000.000000,21954418000.000000,17976516000.000000,,,,,305237437000.000000,-44642066000.000000,-44642066000.000000,,,-44642066000.000000,-11381694000.000000,,,-11381694000.000000,,-11381694000.000000,249213677000.000000,519655836000.000000,,768869513000.000000
12M 2022,343943108000.000000,710378896000.000000,-133949293000.000000,-151452869000.000000,-60921754000.000000,-41414227000.000000,21302355000.000000,,,,,343943108000.000000,-32879633000.000000,-32879633000.000000,,,-32879633000.000000,-60172180000.000000,-42039321000.000000,,-18132859000.000000,,-60172180000.000000,250891295000.000000,768869513000.000000,,1019760808000.000000
12M 2023,249113182000.000000,735347994000.000000,-164112103000.000000,-213780395000.000000,-66798650000.000000,-73735135000.000000,32191471000.000000,,,,,249113182000.000000,-27239475000.000000,-27239475000.000000,,,-27239475000.000000,-571452899000.000000,-113207337000.000000,,-458245562000.000000,,-571452899000.000000,-349579192000.000000,1019760808000.000000,,670181616000.000000
12M 2024,380189790000.000000,806170205000.000000,-195079258000.000000,-142073483000.000000,-71869005000.000000,-53024094000.000000,36065425000.000000,,,,,380189790000.000000,-24865772000.000000,-24865772000.000000,,,-24865772000.000000,-215108424000.000000,-197313434000.000000,,-17794990000.000000,,-215108424000.000000,140215594000.000000,670181616000.000000,,810397210000.000000
