Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Pajak Tangguhan,Aset Tetap,Aset Tak Berwujud,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Beban Akrual,Utang Pajak,Liabilitas Keuangan Lainnya,Adjustment,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2017,,,174600833000.000000,58021527000.000000,,,58021527000.000000,4449385000.000000,,,4449385000.000000,,7597766000.000000,244669511000.000000,,1270115000.000000,76343980000.000000,5306733000.000000,7147198000.000000,90068026000.000000,334737537000.000000,,,97689861000.000000,,5435349000.000000,35782068000.000000,41217417000.000000,,7025182000.000000,43514000.000000,7068696000.000000,28184004000.000000,18905469000.000000,2314275000.000000,,,97689861000.000000,,,,97689861000.000000,,10000000000.000000,,227047676000.000000,96892721000.000000,130154955000.000000,227047676000.000000,237047676000.000000,334737537000.000000,1000000.000000
12M 2018,,,556526562000.000000,78519855000.000000,,,78519855000.000000,16886471000.000000,,,16886471000.000000,,65093507000.000000,717026395000.000000,,921272000.000000,251630477000.000000,4011537000.000000,281655446000.000000,538218732000.000000,1255245127000.000000,,,151765550000.000000,,10025718000.000000,53898645000.000000,63924363000.000000,,10349382000.000000,,10349382000.000000,32800845000.000000,41895899000.000000,2795061000.000000,,,151765550000.000000,,,,151765550000.000000,,181838482000.000000,749460284000.000000,172180811000.000000,2000000000.000000,170180811000.000000,172180811000.000000,1103479577000.000000,1255245127000.000000,1818384820.000000
12M 2019,,,491547357000.000000,84336788000.000000,,,84336788000.000000,352296000.000000,,,352296000.000000,,53942756000.000000,630179197000.000000,,8497155000.000000,354391477000.000000,2439280000.000000,269361737000.000000,634689649000.000000,1264868846000.000000,,,191597085000.000000,,6009267000.000000,36845366000.000000,42854633000.000000,,8363056000.000000,4243758000.000000,12606814000.000000,53635776000.000000,13955729000.000000,5137054000.000000,,63407079000.000000,191597085000.000000,,,,191597085000.000000,,181838482000.000000,749460284000.000000,141972995000.000000,2000000000.000000,139972995000.000000,141972995000.000000,1073271761000.000000,1264868846000.000000,1818384820.000000
12M 2020,,,519655836000.000000,65640252000.000000,,,65640252000.000000,1767591000.000000,,,1767591000.000000,,12897607000.000000,599961286000.000000,,28890503000.000000,355031684000.000000,2298926000.000000,838870308000.000000,1225091421000.000000,1825052707000.000000,,,134865783000.000000,,11485142000.000000,47567177000.000000,59052319000.000000,,5238828000.000000,15610909000.000000,20849737000.000000,47228818000.000000,3063010000.000000,2985981000.000000,,1685918000.000000,134865783000.000000,685250452000.000000,685250452000.000000,685250452000.000000,820116235000.000000,,181838482000.000000,749460284000.000000,73637706000.000000,4000000000.000000,69637706000.000000,73637706000.000000,1004936472000.000000,1825052707000.000000,1818384820.000000
12M 2021,,,768869513000.000000,51537369000.000000,,,51537369000.000000,207958000.000000,,,207958000.000000,,6330481000.000000,826945321000.000000,,40280551000.000000,368232004000.000000,2450723000.000000,724969097000.000000,1135932375000.000000,1962877696000.000000,,,171288589000.000000,,25920194000.000000,52508009000.000000,78428203000.000000,,6762762000.000000,11937012000.000000,18699774000.000000,46138355000.000000,19580251000.000000,5030815000.000000,,3411191000.000000,171288589000.000000,726596462000.000000,726596462000.000000,726596462000.000000,897885051000.000000,,181838482000.000000,749460284000.000000,133693879000.000000,4000000000.000000,129693879000.000000,133693879000.000000,1064992645000.000000,1962877696000.000000,1818384820.000000
12M 2022,,,1019760808000.000000,65853462000.000000,65247512000.000000,605950000.000000,65853462000.000000,289007000.000000,107874000.000000,181133000.000000,289007000.000000,,10073795000.000000,1095977072000.000000,,51020185000.000000,362665282000.000000,3594146000.000000,678571689000.000000,1095851302000.000000,2191828374000.000000,,,634871410000.000000,,10236573000.000000,82238552000.000000,92475125000.000000,,8843245000.000000,4743923000.000000,13587168000.000000,54608458000.000000,38224196000.000000,28129063000.000000,,407847400000.000000,634871410000.000000,394986777000.000000,394986777000.000000,394986777000.000000,1029858187000.000000,,181838482000.000000,749460284000.000000,230671421000.000000,6000000000.000000,224671421000.000000,230671421000.000000,1161970187000.000000,2191828374000.000000,1818384820.000000
12M 2023,,,670181616000.000000,61624447000.000000,61574688000.000000,49759000.000000,61624447000.000000,,,,,,27315831000.000000,759121894000.000000,,55762548000.000000,359356153000.000000,4631410000.000000,609442382000.000000,1029192493000.000000,1788314387000.000000,,,205967850000.000000,,5725244000.000000,40147885000.000000,45873129000.000000,,11888179000.000000,1803832000.000000,13692011000.000000,42362703000.000000,14747727000.000000,47165162000.000000,,42127118000.000000,205967850000.000000,359479683000.000000,359479683000.000000,359479683000.000000,565447533000.000000,,181838482000.000000,749460284000.000000,291568088000.000000,8000000000.000000,283568088000.000000,291568088000.000000,1222866854000.000000,1788314387000.000000,1818384820.000000
12M 2024,,,810397210000.000000,80209035000.000000,79921135000.000000,287900000.000000,80209035000.000000,,,,,,10829318000.000000,901435563000.000000,,57911494000.000000,348650706000.000000,3224301000.000000,539516274000.000000,949302775000.000000,1850738338000.000000,,,185272012000.000000,,6688005000.000000,40615547000.000000,47303552000.000000,,1450149000.000000,4037966000.000000,5488115000.000000,65690863000.000000,20337635000.000000,,,46451847000.000000,185272012000.000000,388237935000.000000,388237935000.000000,388237935000.000000,573509947000.000000,,181838482000.000000,749460284000.000000,345929625000.000000,10000000000.000000,335929625000.000000,345929625000.000000,1277228391000.000000,1850738338000.000000,1818384820.000000
