Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Kontraktor,Pembayaran Kepada Pemasok Dan Beban Lainnya,Penerimaan Bunga Deposito,Penerimaan Lain-Lain,Pembayaran Lain-Lain,Pembayaran Kepada Karyawan,Pembayaran Beban Keuangan,Pembayaran Pajak Penghasilan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penjualan Aset Tetap,Penerimaan Bunga Deposito,Pembayaran Untuk Akuisisi Entitas Anak Setelah Dikurangi Kas Yang Diperoleh,Penjualan Properti Investasi,Perolehan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Utang Bank Dan Lembaga Keuangan Lain,Pembayaran Utang Bank,Penerimaan Dari Pihak Berelasi,Penerimaan Bersih Dari Setoran Modal Saham Entitas Anak Dari Pemegang Saham Non Pengendali,Penerimaan Setoran Modal,Penerimaan Dari Pihak Ketiga,Pembayaran Pihak Ketiga,Pembayaran Biaya Emisi Saham,Pembayaran Liabilitas Sewa,Pembayaran Kepada Pihak Berelasi,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2017,-12722590702.000000,47568802664.000000,-27526421345.000000,-10014784857.000000,,,,-7695088964.000000,-14169954222.000000,-885143978.000000,-12722590702.000000,-7816958095.000000,1017309008.000000,,-1775200003.000000,,-7059067100.000000,-7816958095.000000,22355275790.000000,28742141195.000000,-7780016766.000000,2515000000.000000,,73800000000.000000,,,,,-74921848639.000000,22355275790.000000,1815726993.000000,1910705889.000000,3726432882.000000
12M 2018,-23818489154.000000,34234979102.000000,-16546122445.000000,-11684931989.000000,,,,-9680825085.000000,-18930255780.000000,-1211332957.000000,-23818489154.000000,-231392199.000000,161000000.000000,,,,-392392199.000000,-231392199.000000,58394689513.000000,50800000000.000000,-44905532717.000000,,,58500000000.000000,,,-3410550000.000000,,-2589227770.000000,58394689513.000000,34344808160.000000,3726432882.000000,38071241042.000000
12M 2019,-14321386738.000000,41538576868.000000,-20820139648.000000,-8896651455.000000,643384603.000000,,,-9573441933.000000,-16716404491.000000,-496710682.000000,-14321386738.000000,-2102280333.000000,1830000002.000000,,,,-3932280335.000000,-2102280333.000000,-18108240791.000000,,-24486990791.000000,438750000.000000,3000000000.000000,,2940000000.000000,,,,,-18108240791.000000,-34531907862.000000,38071241042.000000,3539333180.000000
12M 2020,-13989335528.000000,14514200240.000000,,-18166925437.000000,40117038.000000,240045198.000000,,-5397123371.000000,-4809791915.000000,-409857281.000000,-13989335528.000000,-984225818.000000,250000000.000000,,,,-1234225818.000000,-984225818.000000,14564205525.000000,,-8794417354.000000,9311437.000000,,6250000000.000000,17099311442.000000,,,,,14564205525.000000,-409355821.000000,3539333180.000000,3129977359.000000
12M 2021,-496659647.000000,19280884271.000000,,-12537730613.000000,,16970379.000000,,-5629958619.000000,-1626825065.000000,,-496659647.000000,-2664031806.000000,73800355.000000,,,,-2737832161.000000,-2664031806.000000,2054864005.000000,,-17402669531.000000,523476171.000000,,,18934057365.000000,,,,,2054864005.000000,-1105827448.000000,3129977361.000000,2024149913.000000
12M 2022,10030578321.000000,28662360210.000000,,-9715467824.000000,,19069063.000000,-382501273.000000,-5767546924.000000,-1939956682.000000,-845378249.000000,10030578321.000000,-291631372.000000,,,,,-291631372.000000,-291631372.000000,-7885177820.000000,,-17374162225.000000,10601033721.000000,,,-1112049316.000000,,,,,-7885177820.000000,1853769129.000000,2024150012.000000,3877919141.000000
12M 2023,15359010854.000000,36280853288.000000,,-10242534491.000000,,27872954.000000,-3240195105.000000,-5730730532.000000,-1452333020.000000,-283922240.000000,15359010854.000000,-917328146.000000,13073506.000000,,,11478127.000000,-941879779.000000,-917328146.000000,-12344279938.000000,,-14164469819.000000,2596887324.000000,,,-639704434.000000,,,-136993009.000000,,-12344279938.000000,2097402770.000000,3877919050.000000,5975321820.000000
12M 2024,3699945160.000000,27167321155.000000,,-12049290877.000000,,39603113.000000,-2456771858.000000,-6480384644.000000,-1995554571.000000,-524977158.000000,3699945160.000000,-627630394.000000,,,,,-627630394.000000,-627630394.000000,-4482824861.000000,,-14114991389.000000,7505000000.000000,,,2403239245.000000,-276072717.000000,,,,-4482824861.000000,-1410510095.000000,5975321820.000000,4564811725.000000
