Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Tetap,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Beban Akrual,Utang Pajak,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank,Utang Sewa Pembiayaan,Utang Dari Pihak Ketiga,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank,Utang Sewa Pembiayaan,Utang Dari Pihak Ketiga,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2015,,,73794484322.000000,428081416006.000000,415787721442.000000,12293694564.000000,428081416006.000000,1156284772.000000,,,1156284772.000000,581817476600.000000,52917056331.000000,1137766718031.000000,,2101159762436.000000,118433019487.000000,2219592781923.000000,3357359499954.000000,,,869536723928.000000,480878282156.000000,,265387619943.000000,13052046016.000000,278439665959.000000,33940537294.000000,1851346971.000000,,71021228749.000000,,,,71021228749.000000,3405662799.000000,869536723928.000000,530902085972.000000,,199253507528.000000,,,,199253507528.000000,277332803880.000000,54315774564.000000,530902085972.000000,1400438809900.000000,,280800000000.000000,79881910211.000000,962507688128.000000,5000000000.000000,957507688128.000000,962507688128.000000,,633731091715.000000,1956920690054.000000,3357359499954.000000,2808000000.000000
12M 2016,,,53522210036.000000,408872965447.000000,397449262672.000000,11423702775.000000,408872965447.000000,2143338879.000000,,,2143338879.000000,621015089276.000000,94446288130.000000,1179999891768.000000,,2025462701661.000000,85133630857.000000,2110596332518.000000,3290596224286.000000,,,909779313844.000000,420316348863.000000,,365124447698.000000,14071120877.000000,379195568575.000000,30259345739.000000,2096792174.000000,,67756680107.000000,9149317157.000000,,,76905997264.000000,1005261229.000000,909779313844.000000,448461726428.000000,,122016697345.000000,26262074527.000000,,,148278771872.000000,233372407146.000000,66810547410.000000,448461726428.000000,1358241040272.000000,,280800000000.000000,79881910211.000000,982262555068.000000,6000000000.000000,976262555068.000000,982262555068.000000,,589410718735.000000,1932355184014.000000,3290596224286.000000,2808000000.000000
12M 2017,,,35033389786.000000,430289817684.000000,419495147376.000000,10794670308.000000,430289817684.000000,4136366918.000000,,,4136366918.000000,630688428478.000000,89579022040.000000,1189727024906.000000,,1992196958293.000000,150981952811.000000,2143178911104.000000,3332905936010.000000,,,968421072104.000000,428218048901.000000,,384189886295.000000,18626012479.000000,402815898774.000000,33138772080.000000,1981050468.000000,,73773309163.000000,27689651277.000000,,,101462960440.000000,804341441.000000,968421072104.000000,388915366420.000000,,60070341043.000000,52924911920.000000,,,112995252963.000000,209344506058.000000,66575607399.000000,388915366420.000000,1357336438524.000000,,280800000000.000000,79881910211.000000,1006422236810.000000,7000000000.000000,999422236810.000000,1006422236810.000000,,608465350465.000000,1975569497486.000000,3332905936010.000000,2808000000.000000
12M 2018,,,123688904710.000000,506095944881.000000,506095944881.000000,,506095944881.000000,406353484.000000,,,406353484.000000,747525281176.000000,116434074767.000000,1494150559018.000000,,2535555929013.000000,255195099095.000000,2790751028108.000000,4284901587126.000000,,,1314074889815.000000,631606332955.000000,,486043451785.000000,51380339081.000000,537423790866.000000,31099616246.000000,1844484508.000000,,71879867822.000000,39061140341.000000,,,110941008163.000000,1159657077.000000,1314074889815.000000,733442081189.000000,,420347401417.000000,52168205941.000000,,,472515607358.000000,196113674561.000000,64812799270.000000,733442081189.000000,2047516971004.000000,,280800000000.000000,79881910211.000000,1070851855794.000000,8000000000.000000,1062851855794.000000,1070851855794.000000,78822280115.000000,727028570002.000000,2237384616122.000000,4284901587126.000000,2808000000.000000
12M 2019,,,27763350209.000000,518821479305.000000,516954307462.000000,1867171843.000000,518821479305.000000,9015374431.000000,,,9015374431.000000,721238224040.000000,117659421797.000000,1394497849782.000000,,2720377238742.000000,234147799175.000000,2954525037917.000000,4349022887699.000000,,,1300374327083.000000,609959870525.000000,,466998602484.000000,72719455781.000000,539718058265.000000,35645343576.000000,979158150.000000,,67809785485.000000,26533440876.000000,17864011902.000000,,112207238263.000000,1864658304.000000,1300374327083.000000,874187624341.000000,,540588639787.000000,23545350342.000000,75053242602.000000,,639187232731.000000,167271370815.000000,67729020795.000000,874187624341.000000,2174561951424.000000,,280800000000.000000,79881910211.000000,1102762390813.000000,9000000000.000000,1093762390813.000000,1102762390813.000000,71783713379.000000,639232921872.000000,2174460936275.000000,4349022887699.000000,2808000000.000000
12M 2020,,,33359583433.000000,554100135995.000000,550303642093.000000,3796493902.000000,554100135995.000000,4926031886.000000,,4926031886.000000,4926031886.000000,659317026781.000000,85382319845.000000,1337085097940.000000,,2662486993594.000000,202683032736.000000,2865170026330.000000,4202255124270.000000,,,1163590483941.000000,542922313834.000000,,433866427812.000000,16648283454.000000,450514711266.000000,40051990706.000000,1011037030.000000,,77882598485.000000,,32198972283.000000,6586977734.000000,116668548502.000000,12421882603.000000,1163590483941.000000,771854206048.000000,,487634127385.000000,,73934601791.000000,,561568729176.000000,143619288274.000000,66666188598.000000,771854206048.000000,1935444689989.000000,,280800000000.000000,79881910211.000000,1158366143866.000000,10000000000.000000,1148366143866.000000,1158366143866.000000,70305575270.000000,677456804934.000000,2266810434281.000000,4202255124270.000000,2808000000.000000
12M 2021,,,39844820218.000000,741166335857.000000,738413948243.000000,2752387614.000000,741166335857.000000,14893503117.000000,156765983.000000,14736737134.000000,14893503117.000000,909936206246.000000,108402783821.000000,1814243649259.000000,,2616767257178.000000,197821045494.000000,2814588302672.000000,4628831951931.000000,,,1547234666976.000000,838364336432.000000,,512779254971.000000,19879839251.000000,532659094222.000000,56811978048.000000,1470431515.000000,,82064841027.000000,,33608416026.000000,,115673257053.000000,2255569706.000000,1547234666976.000000,618909231421.000000,,384300221305.000000,,40473443801.000000,,424773665106.000000,136533281472.000000,57602284843.000000,618909231421.000000,2166143898397.000000,,280800000000.000000,79881910211.000000,1301685711673.000000,11000000000.000000,1290685711673.000000,1301685711673.000000,99881813410.000000,700438618240.000000,2462688053534.000000,4628831951931.000000,2808000000.000000
12M 2022,,,41063000000.000000,688884000000.000000,677310000000.000000,11574000000.000000,688884000000.000000,3280000000.000000,3280000000.000000,,3280000000.000000,1188514000000.000000,85071000000.000000,2006812000000.000000,,3483034000000.000000,287227000000.000000,3770261000000.000000,5777073000000.000000,,,2020612000000.000000,1289472000000.000000,,529993000000.000000,2182000000.000000,532175000000.000000,47392000000.000000,4428000000.000000,,119591000000.000000,,26978000000.000000,,146569000000.000000,576000000.000000,2020612000000.000000,907903000000.000000,,696291000000.000000,,17115000000.000000,,713406000000.000000,144440000000.000000,50057000000.000000,907903000000.000000,2928515000000.000000,,280800000000.000000,79882000000.000000,1382564000000.000000,12000000000.000000,1370564000000.000000,1382564000000.000000,159752000000.000000,945560000000.000000,2848558000000.000000,5777073000000.000000,2808000000.000000
12M 2023,,,45888000000.000000,553378000000.000000,534059000000.000000,19319000000.000000,553378000000.000000,2603000000.000000,168000000.000000,2435000000.000000,2603000000.000000,789886000000.000000,92750000000.000000,1484505000000.000000,,3315916000000.000000,244435000000.000000,3560351000000.000000,5044856000000.000000,,,1559089000000.000000,972035000000.000000,,325756000000.000000,11714000000.000000,337470000000.000000,41209000000.000000,24839000000.000000,,161076000000.000000,,21261000000.000000,,182337000000.000000,1199000000.000000,1559089000000.000000,961350000000.000000,,735935000000.000000,,6140000000.000000,,742075000000.000000,165704000000.000000,53571000000.000000,961350000000.000000,2520439000000.000000,,280800000000.000000,79882000000.000000,1124975000000.000000,13000000000.000000,1111975000000.000000,1124975000000.000000,161507000000.000000,877253000000.000000,2524417000000.000000,5044856000000.000000,2808000000.000000
12M 2024,,,16970000000.000000,737292000000.000000,718650000000.000000,18642000000.000000,737292000000.000000,14079000000.000000,2922000000.000000,11157000000.000000,14079000000.000000,909364000000.000000,76199000000.000000,1753904000000.000000,,3275019000000.000000,315948000000.000000,3590967000000.000000,5344871000000.000000,,,1823797000000.000000,1150964000000.000000,,450042000000.000000,7662000000.000000,457704000000.000000,62663000000.000000,9082000000.000000,,137060000000.000000,,5623000000.000000,,142683000000.000000,701000000.000000,1823797000000.000000,846146000000.000000,,603135000000.000000,,966000000.000000,,604101000000.000000,185207000000.000000,56838000000.000000,846146000000.000000,2669943000000.000000,,280800000000.000000,79882000000.000000,1157434000000.000000,13000000000.000000,1144434000000.000000,1157434000000.000000,178954000000.000000,977858000000.000000,2674928000000.000000,5344871000000.000000,2808000000.000000
