Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2015,0.44,696.91,0.44,696.91,552 B,199 B,751 B,677 B,268 B
12M 2016,0.44,688.16,0.44,688.16,497 B,148 B,646 B,592 B,270 B
12M 2017,0.53,703.55,0.53,703.55,530 B,113 B,643 B,608 B,221 B
12M 2018,0.52,768.72,0.52,768.72,743 B,473 B,"1,215 B","1,091 B",180 B
12M 2019,0.51,748.82,0.51,748.82,722 B,639 B,"1,361 B","1,334 B",94 B
12M 2020,0.53,782.23,0.53,782.23,653 B,562 B,"1,215 B","1,181 B",173 B
12M 2021,0.69,841.46,0.69,841.46,954 B,425 B,"1,379 B","1,339 B",267 B
12M 2022,0.77,957.55,0.77,957.55,"1,436 B",713 B,"2,149 B","2,108 B",(14 B)
12M 2023,0.71,841.49,0.71,841.49,"1,154 B",742 B,"1,896 B","1,851 B",(75 B)
12M 2024,0.68,888.88,0.68,888.88,"1,294 B",604 B,"1,898 B","1,881 B",(70 B)
