Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Penerimaan Kas Dari Pembeli Real Estat Dan Angota Golf,Perolehan Aset Real Estat,"Pembayaran Kas Kepada Pemasok, Karyawan Dan Lainnya",Pembayaran Pajak Penghasilan Dan Tagihan Pajak,Pembayaran Pajak,Penempatan Dana Yang Dibatasi Penggunaannya,Perolehan Persediaan,Pengurangan Utang Lain-Lain,Penambahan Utang Lain-Lain,Penambahan Piutang Usaha Dan Lain-Lain,Penerimaan Pajak,Pembayaran Beban Keuangan,Pembayaran Bunga,Penerimaan Bunga,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penurunan/Kenaikan Investasi-Neto,Pendapatan Bunga,Penjualan Investasi Pada Entitas Anak,Pembayaran/Penerimaan Aset Keuangan,Penerimaan Dividen Dari Entitas Asosiasi,Pengurangan Dari Pemegang Saham Kepentingan Nonpengendali Entitas Anak,Hasil Penjualan Aset Tetap,Perolehan Aset Tetap,Penambahan Tanah Untuk Dikembangkan,Penambahan Properti Investasi,Uang Muka Pembelian Tanah,Pembayaran Bunga,Penambahan/Pengurangan Piutang Lain-Lain,Uang Muka Investasi Pada Asosiasi Dan Entitas Lainnya,Kenaikan Piutang Pihak Berelasi,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan (Pembayaran) Hutang Bank Jangka Panjang,Penerimaan Hutang Bank,Pembayaran Hutang Bank,Total Penerimaan (Pembayaran) Hutang Bank Jangka Panjang,Tambahan Modal Disetor,Pembayaran (Penerimaan) Hutang Lembaga Keuangan,Penerimaan Dari Obligasi,Penerimaan Utang Obligasi Konversi,Penerimaan (Pembayaran) Utang Lembaga Keuangan,Penerimaan (Pembayaran) Utang Bank Jangka Pendek,Penerimaan Hutang Bank,Pembayaran Hutang Bank,Total Penerimaan (Pembayaran) Utang Bank Jangka Pendek,Pembayaran Dari Aset Pengampunan Pajak,Penerimaan Piutang Lain - Lain,Penambahan Pinjaman Pihak Berelasi,Tambahan Modal Disetor Lainnya Kepentingan Non Pengendali,Penambahan Piutang Pihak Berelasi,Penambahan Cadangan Modal Saham Entitas Anak,Pembayaran Utang Obligasi,Pembayaran Dividen,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Rekening Yang Dibatasi Penggunaannya,Kas Dan Setara Kas Entitas Anak Yang Terdekonsolidasi,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2012,-37035068000.000000,,374726534000.000000,-253713817000.000000,-127456802000.000000,-20954937000.000000,,,,,,,,-9636046000.000000,,,-37035068000.000000,4412431000.000000,,9700705000.000000,,,,,517000000.000000,-5805274000.000000,,,,,,,,4412431000.000000,51293579000.000000,,42263304000.000000,,42263304000.000000,,-819045000.000000,,,,,,,,,,,,-50680000.000000,9900000000.000000,,,51293579000.000000,18670942000.000000,162921932000.000000,,,,181592874000.000000
12M 2013,106418064000.000000,,560364852000.000000,-308471696000.000000,-107258548000.000000,-26065061000.000000,,,,,,,,-12151483000.000000,,,106418064000.000000,-26607820000.000000,,14798380000.000000,,,,,163545000.000000,-41569745000.000000,,,,,,,,-26607820000.000000,27006573000.000000,,27015989000.000000,,27015989000.000000,,-819536000.000000,,,,,,,,,,,,810120000.000000,,,,27006573000.000000,106816817000.000000,181592874000.000000,,,,288409691000.000000
12M 2014,-148050262000.000000,,423180208000.000000,-387453448000.000000,-148834012000.000000,-14961781000.000000,,,,,,,,-19981229000.000000,,,-148050262000.000000,-76709293000.000000,,15737777000.000000,,,,,2100000.000000,-89815723000.000000,,-2633447000.000000,,,,,,-76709293000.000000,141799048000.000000,,120599322000.000000,,120599322000.000000,,1007226000.000000,,,,,,,,,,,,,20192500000.000000,,,141799048000.000000,-82960507000.000000,288409691000.000000,,,,205449184000.000000
12M 2015,-103207792000.000000,447909079000.000000,,-285896723000.000000,-208638784000.000000,-24615667000.000000,,,,,,,,,-31965697000.000000,,-103207792000.000000,-12715998000.000000,,6759864000.000000,,,,,49000000.000000,-11693647000.000000,,-7831215000.000000,,,,,,-12715998000.000000,62926680000.000000,-12111510000.000000,,,-12111510000.000000,17450000000.000000,-411810000.000000,,,,,,,,,,,,58000000000.000000,,,,62926680000.000000,-52997110000.000000,205449184000.000000,,,,152452074000.000000
12M 2016,-46840870762.000000,443556335931.000000,,,-447650915261.000000,-18813100914.000000,,,,,,,,,-29577476282.000000,5644285764.000000,-46840870762.000000,-9049520290.000000,,,,,,,253438000.000000,-8782762047.000000,,-520196243.000000,,,,,,-9049520290.000000,-13215327615.000000,,,-15548517615.000000,-15548517615.000000,2745000000.000000,-411810000.000000,,,,,,,,,,,,,,,,-13215327615.000000,-69105718667.000000,152452074640.000000,,,,83346355973.000000
12M 2017,15842268138.000000,496921053164.000000,,,-449774289442.000000,-11328731079.000000,,,,,,,,,-24131449018.000000,4155684513.000000,15842268138.000000,-9826999107.000000,,,,,,,3406659.000000,-9830405766.000000,,,,,,,,-9826999107.000000,-14730718738.000000,,,-18266683044.000000,-18266683044.000000,4505000000.000000,-969035694.000000,,,,,,,,,,,,,,,,-14730718738.000000,-8715449707.000000,83346355973.000000,,,,74630906266.000000
12M 2018,-1723550987.000000,509938915262.000000,,,-481095356582.000000,-11490284871.000000,,,,,,,,,-20748214192.000000,1671389396.000000,-1723550987.000000,4646169461.000000,,,22292500000.000000,,352736426.000000,,100500000.000000,-17862343965.000000,,-237223000.000000,,,,,,4646169461.000000,5236097617.000000,,,6058044253.000000,6058044253.000000,,-821946636.000000,,,,,,,,,,,,,,,,5236097617.000000,8158716091.000000,74630906266.000000,,-3093584399.000000,,79696037958.000000
12M 2019,17781435313.000000,538196636230.000000,,,-492898142496.000000,-10493204057.000000,,,,,,,,,-19346618730.000000,2322764366.000000,17781435313.000000,-14772179891.000000,,,,,,,33672727.000000,-6330865648.000000,,-8474986970.000000,,,,,,-14772179891.000000,9463922277.000000,,,46793575663.000000,46793575663.000000,,-1265979989.000000,,,-46525219133.000000,10461545736.000000,,,10461545736.000000,,,,,,,,,9463922277.000000,12473177699.000000,79696037958.000000,,,,92169215657.000000
12M 2020,85603364522.000000,455438947533.000000,,,-344673544653.000000,-9426909920.000000,,,,,,,,,-18062234318.000000,2327105880.000000,85603364522.000000,-3977292634.000000,,,,,,,,-2992847968.000000,,-984444666.000000,,,,,,-3977292634.000000,-51648786346.000000,,,10817550204.000000,10817550204.000000,,-1439506729.000000,,,-63962329821.000000,3500000000.000000,,,3500000000.000000,-564500000.000000,,,,,,,,-51648786346.000000,29977285542.000000,49616169602.000000,,,,79593455144.000000
12M 2021,230500652436.000000,621239615352.000000,,,-370830966362.000000,-13228859105.000000,,,,,,,,,-8676690602.000000,1997553153.000000,230500652436.000000,-1947588896.000000,,,,,,,,-1918347896.000000,,-29241000.000000,,,,,,-1947588896.000000,-73934144405.000000,,,24407395799.000000,24407395799.000000,,-750132554.000000,,,-94091407650.000000,-3500000000.000000,,,-3500000000.000000,,,,,,,,,-73934144405.000000,154618919135.000000,79593455144.000000,,,,234212374279.000000
