Period,Aset,Aset Lancar,Kas Dan Setara Kas,Pihak Berelasi,Pihak Ketiga,Total Kas Dan Setara Kas,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Persediaan,Aset Real Estat,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Lain-Lain,Piutang Pihak Berelasi,Aset Real Estat,Piutang Usaha,Investasi Pada Entitas Asosiasi,Tanah Untuk Dikembangkan,Properti Investasi,Aset Tetap,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Utang Bank,Pihak Berelasi,Pihak Ketiga,Total Utang Bank,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Obligasi,Utang Lembaga Keuangan Lain,Utang Bank,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Bank,Utang Lembaga Keuangan Lain,Utang Lain Jangka Panjang,Utang Obligasi,Obligasi Konversi,Utang Sukuk,Liabilitas Derivatif,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2012,,,181592874000.000000,21853261000.000000,159739613000.000000,181592874000.000000,17860650000.000000,,17860650000.000000,17860650000.000000,1437349000.000000,702162725000.000000,99798818000.000000,1002852416000.000000,,,,1422592128000.000000,,,,,211368931000.000000,851301000.000000,,1634812360000.000000,2637664776000.000000,,,358073283000.000000,23899729000.000000,,,23899729000.000000,,,,,,,17760253000.000000,17760253000.000000,3713912000.000000,1048904000.000000,,330000000.000000,819536000.000000,38652918000.000000,39802454000.000000,271848031000.000000,358073283000.000000,165220585000.000000,54340203000.000000,434109000.000000,,,68301345000.000000,,3675862000.000000,,38469066000.000000,165220585000.000000,523293868000.000000,,1274157258000.000000,2248289000.000000,33560178000.000000,,,33560178000.000000,557043385000.000000,247361798000.000000,2114370908000.000000,2637664776000.000000,4772138237.000000
12M 2013,,,288409691000.000000,1152557000.000000,287257134000.000000,288409691000.000000,20535810000.000000,2105514000.000000,18430296000.000000,20535810000.000000,1519823000.000000,758051159000.000000,71645299000.000000,1140161782000.000000,,,,1548103354000.000000,,,,,260744747000.000000,1304563000.000000,,1810152664000.000000,2950314446000.000000,,,594455345000.000000,26322506000.000000,,,26322506000.000000,,,,,,,33867578000.000000,33867578000.000000,8412942000.000000,1422282000.000000,,330000000.000000,434109000.000000,48197109000.000000,48961218000.000000,475468819000.000000,594455345000.000000,211673755000.000000,71812001000.000000,,,,75131480000.000000,,8038873000.000000,,56691401000.000000,211673755000.000000,806129100000.000000,,1517539959000.000000,2248289000.000000,71656916000.000000,,,71656916000.000000,548761085000.000000,3979097000.000000,2144185346000.000000,2950314446000.000000,4772138237.000000
12M 2014,,,205449184000.000000,13952000.000000,205435232000.000000,205449184000.000000,21219769000.000000,1765874000.000000,19453895000.000000,21219769000.000000,3288871000.000000,795713364000.000000,55085240000.000000,1080756428000.000000,,,,1732749666000.000000,,,,2618210000.000000,337390990000.000000,1400866000.000000,1374386000.000000,2075534118000.000000,3156290546000.000000,,,618780714000.000000,23930164000.000000,,,23930164000.000000,,,,,,,54940373000.000000,54940373000.000000,5663065000.000000,3598362000.000000,,330000000.000000,411810000.000000,82751716000.000000,83493526000.000000,447155224000.000000,618780714000.000000,329874877000.000000,157856716000.000000,1029525000.000000,,,82644628000.000000,,9281357000.000000,,79062651000.000000,329874877000.000000,948655591000.000000,,1517539959000.000000,2248289000.000000,109761044000.000000,,,109761044000.000000,574106566000.000000,3979097000.000000,2207634955000.000000,3156290546000.000000,4772138237.000000
12M 2015,,,152452074000.000000,10552000.000000,152441522000.000000,152452074000.000000,16745525000.000000,,16745525000.000000,16745525000.000000,3150994000.000000,753876042000.000000,82981495000.000000,1009206130000.000000,,,,1801119944000.000000,,,,13549235000.000000,329663772000.000000,1033216000.000000,8884000.000000,2145375051000.000000,3154581181000.000000,,,485999275000.000000,24072332000.000000,,,24072332000.000000,,,,,46589261000.000000,,,46589261000.000000,7937789000.000000,4280362000.000000,,330000000.000000,411810000.000000,59599198000.000000,60341008000.000000,342778523000.000000,485999275000.000000,216449447000.000000,168897724000.000000,617715000.000000,,,,,,,46934008000.000000,216449447000.000000,702448722000.000000,,1517539959000.000000,2248289000.000000,170305442000.000000,,,170305442000.000000,758059672000.000000,3979097000.000000,2452132459000.000000,3154581181000.000000,4772138237.000000
12M 2016,,,83346355973.000000,1461347.000000,83344894626.000000,83346355973.000000,22748580957.000000,,,22748580957.000000,2931151432.000000,687608829167.000000,25568896316.000000,822203813845.000000,,,,1934473594547.000000,,,,23385375774.000000,316661074770.000000,2039306985.000000,226000000.000000,2276785352076.000000,3098989165921.000000,,,518655683096.000000,11862591306.000000,,,11862591306.000000,16563434762.000000,,,16563434762.000000,40258691745.000000,,,40258691745.000000,6246814141.000000,3357835595.000000,,330000000.000000,411810000.000000,143353054665.000000,144094864665.000000,296271450882.000000,518655683096.000000,104466835814.000000,53031914882.000000,205905000.000000,,,,,,,51229015932.000000,104466835814.000000,623122518910.000000,,1517539959366.000000,2842788685.000000,186997120290.000000,,,186997120290.000000,764507681201.000000,3979097469.000000,2475866647011.000000,3098989165921.000000,4772138237.000000
12M 2017,,,74630906266.000000,74630906266.000000,,74630906266.000000,18872989567.000000,,,18872989567.000000,2758112779.000000,757960474612.000000,22361293714.000000,876583776938.000000,,,,1916906263430.000000,3027572569.000000,,,35679660938.000000,305916738367.000000,3341311161.000000,225000000.000000,2265096546465.000000,3141680323403.000000,,,529914043230.000000,14084393072.000000,,,14084393072.000000,19845675904.000000,,,19845675904.000000,41265898204.000000,,,41265898204.000000,6236983690.000000,3506265025.000000,,330000000.000000,558449039.000000,122100433271.000000,122988882310.000000,321985945025.000000,529914043230.000000,113893627627.000000,52735612090.000000,686274872.000000,,,,,,,60471740665.000000,113893627627.000000,643807670857.000000,,1517539959366.000000,2842788685.000000,198089774063.000000,,,198089774063.000000,775421032963.000000,3979097469.000000,2497872652546.000000,3141680323403.000000,4772138237.000000
12M 2018,,,79696037958.000000,79696037958.000000,,79696037958.000000,13035000855.000000,,,13035000855.000000,3058266718.000000,766876135313.000000,24293163205.000000,886958604049.000000,,,,1921598374827.000000,4506192410.000000,,,39568086886.000000,301243965690.000000,4542161198.000000,225000000.000000,2271683781011.000000,3158642385060.000000,,,388229372720.000000,13712682605.000000,,,13712682605.000000,32091500319.000000,,,32091500319.000000,31189625736.000000,,,31189625736.000000,6118117546.000000,3384810035.000000,,330000000.000000,1120339878.000000,19080242493.000000,20530582371.000000,281202054108.000000,388229372720.000000,217899448167.000000,149568022706.000000,1530206363.000000,,,,,,,66801219098.000000,217899448167.000000,606128820887.000000,,1517539959366.000000,2812788685.000000,232348006213.000000,,,232348006213.000000,795833712440.000000,3979097469.000000,2552513564173.000000,3158642385060.000000,4772138237.000000
12M 2019,,,92169215657.000000,92169215657.000000,,92169215657.000000,19035299852.000000,,,19035299852.000000,2877641342.000000,783239552068.000000,17650997885.000000,914972706804.000000,,,,1946324060211.000000,6668117055.000000,,,290637988164.000000,49465928743.000000,4879304939.000000,225000000.000000,2298200399112.000000,3213173105916.000000,,,442630720460.000000,11603260887.000000,,,11603260887.000000,42553046055.000000,,,42553046055.000000,18424262449.000000,,,18424262449.000000,6579625790.000000,3224041241.000000,,,1408032217.000000,100511081628.000000,101919113845.000000,258327370193.000000,442630720460.000000,146846969404.000000,68405540119.000000,952982515.000000,,,,,,,77488446770.000000,146846969404.000000,589477689864.000000,,1517539959366.000000,2812788685.000000,255341755662.000000,,,255341755662.000000,844021814870.000000,3979097469.000000,2623695416052.000000,3213173105916.000000,4772138237.000000
12M 2020,,,79593455144.000000,79593455144.000000,,79593455144.000000,11393752015.000000,,11393752015.000000,11393752015.000000,2058879158.000000,805205194279.000000,21818025848.000000,920069306444.000000,,,,1948639746425.000000,4562692761.000000,,,273672474446.000000,49272993794.000000,5468690151.000000,225000000.000000,2281841597577.000000,3201910904021.000000,,,366957816969.000000,7945014762.000000,,,7945014762.000000,3500000000.000000,,,3500000000.000000,,,18430682728.000000,18430682728.000000,5813155598.000000,7871589154.000000,,,756528076.000000,9297872340.000000,10054400416.000000,313342974311.000000,366957816969.000000,186947485077.000000,106473969790.000000,164979927.000000,,,,,,,80308535360.000000,186947485077.000000,553905302046.000000,,1517539959366.000000,2248288685.000000,260226376516.000000,,,260226376516.000000,864011879939.000000,3979097469.000000,2648005601975.000000,3201910904021.000000,4772138237.000000
12M 2021,,,234212374279.000000,234212374279.000000,,234212374279.000000,6919217261.000000,,6919217261.000000,6919217261.000000,1934988346.000000,767676973842.000000,18487421161.000000,1029230974889.000000,,,,1927203967858.000000,1725776580.000000,,,263174344891.000000,76179624046.000000,4853584887.000000,1143450000.000000,2274280748262.000000,3303511723151.000000,,,433228532976.000000,12396590770.000000,,,12396590770.000000,,,,,,,20358952724.000000,20358952724.000000,7104900493.000000,4743999677.000000,,,171375449.000000,29307807272.000000,29479182721.000000,359144906591.000000,433228532976.000000,90766724494.000000,16780023007.000000,,,,,,,,73986701487.000000,90766724494.000000,523995257470.000000,,1517539959366.000000,2248288685.000000,374401413018.000000,,,374401413018.000000,881347707143.000000,3979097469.000000,2779516465681.000000,3303511723151.000000,4772138237.000000
12M 2022,,,313283850490.000000,313283850490.000000,,313283850490.000000,19730458369.000000,,19730458369.000000,19730458369.000000,2310482239.000000,792668329162.000000,24989059018.000000,1152982179278.000000,,3872862605.000000,,1928627308295.000000,,,,253410149718.000000,78735918394.000000,4276266924.000000,1373785622.000000,2270296291558.000000,3423278470836.000000,,,371360766372.000000,12415865413.000000,,,12415865413.000000,30418590227.000000,,,30418590227.000000,,,26570332493.000000,26570332493.000000,6533003002.000000,7758700997.000000,,,24456826.000000,2097925967.000000,2122382793.000000,285541891447.000000,371360766372.000000,92612926062.000000,31800000000.000000,,,,,,,,60812926062.000000,92612926062.000000,463973692434.000000,,1517539959366.000000,2248288685.000000,537421757575.000000,,,537421757575.000000,898115675307.000000,3979097469.000000,2959304778402.000000,3423278470836.000000,4772138237.000000
12M 2023,,,321778248143.000000,321778248143.000000,,321778248143.000000,20420781224.000000,,20420781224.000000,20420781224.000000,2478536696.000000,828032589442.000000,27239211503.000000,1199949367008.000000,,,,1982877886213.000000,,,,249665429390.000000,57103289993.000000,3980762264.000000,41012089127.000000,2334639456987.000000,3534588823995.000000,,,245285930046.000000,15892524974.000000,,,15892524974.000000,27506905192.000000,,,27506905192.000000,,,29631849254.000000,29631849254.000000,7110107972.000000,7906320680.000000,,,,9083333333.000000,9083333333.000000,148154888641.000000,245285930046.000000,230968640043.000000,59408785444.000000,,,,,,,,171559854599.000000,230968640043.000000,476254570089.000000,,1517539959366.000000,2248288685.000000,643256668623.000000,,,643256668623.000000,891310239763.000000,3979097469.000000,3058334253906.000000,3534588823995.000000,4772138237.000000
