Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Umum Dan Administrasi,Beban Penjualan,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Pendapatan Keuangan,Keuntungan Atas Penjualan Entitas Anak,Laba (Rugi) Atas Penjualan Aset Tetap,Laba (Rugi) Selisih Kurs,Final,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Final,Others,Total Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2012,267813147000.000000,-174487009000.000000,93326138000.000000,-70098904000.000000,-54178644000.000000,-15920260000.000000,-70098904000.000000,23227234000.000000,34335530000.000000,21050556000.000000,,,,,,13284974000.000000,34335530000.000000,57562764000.000000,-11243078000.000000,,-10120921000.000000,-1483274000.000000,-11604195000.000000,361117000.000000,-11243078000.000000,46319686000.000000,,46319686000.000000,688584000.000000,688584000.000000,688584000.000000,47008270000.000000,46319686000.000000,12415930000.000000,33903756000.000000,46319686000.000000,47008270000.000000,13346102000.000000,33662168000.000000,47008270000.000000
12M 2013,329307227000.000000,-201465368000.000000,127841859000.000000,-86522707000.000000,-65474626000.000000,-21048081000.000000,-86522707000.000000,41319152000.000000,1034177000.000000,-22873357000.000000,,,,,,23907534000.000000,1034177000.000000,42353329000.000000,-15882120000.000000,,-13152846000.000000,-3182536000.000000,-16335382000.000000,453262000.000000,-15882120000.000000,26471209000.000000,,26471209000.000000,3383432000.000000,3383432000.000000,3383432000.000000,29854641000.000000,26471209000.000000,35046915000.000000,-8575706000.000000,26471209000.000000,29854641000.000000,38096738000.000000,-8242097000.000000,29854641000.000000
12M 2014,416618692000.000000,-233826741000.000000,182791951000.000000,-114800011000.000000,-89144796000.000000,-25655215000.000000,-114800011000.000000,67991940000.000000,-6573049000.000000,-28263925000.000000,,,,,,21690876000.000000,-6573049000.000000,61418891000.000000,-17379342000.000000,,-17094243000.000000,-381402000.000000,-17475645000.000000,96303000.000000,-17379342000.000000,44039549000.000000,,44039549000.000000,-822862000.000000,-822862000.000000,-822862000.000000,43216687000.000000,44039549000.000000,38996470000.000000,5043079000.000000,44039549000.000000,43216687000.000000,38104128000.000000,5112559000.000000,43216687000.000000
12M 2015,577756249000.000000,-282496193000.000000,295260056000.000000,-165262764000.000000,-129518303000.000000,-35744461000.000000,-165262764000.000000,129997292000.000000,-53188834000.000000,-40249941000.000000,,,,,-22666231000.000000,9727338000.000000,-53188834000.000000,76808458000.000000,-1568663000.000000,-1201013000.000000,,,-1201013000.000000,-367650000.000000,-1568663000.000000,75239795000.000000,,75239795000.000000,-6122785000.000000,-6122785000.000000,-6122785000.000000,69117010000.000000,75239795000.000000,66717363000.000000,8522432000.000000,75239795000.000000,69117010000.000000,60544398000.000000,8572612000.000000,69117010000.000000
12M 2016,494722625665.000000,-257025648520.000000,237696977145.000000,-182225853404.000000,-134141930083.000000,-48083923321.000000,-182225853404.000000,55471123741.000000,-35177468483.000000,-30089026956.000000,,,,,-17404202305.000000,12315760778.000000,-35177468483.000000,20293655258.000000,136215446.000000,-869875884.000000,,,-869875884.000000,1006091330.000000,136215446.000000,20429870704.000000,,20429870704.000000,464816843.000000,464816843.000000,464816843.000000,20894687547.000000,20429870704.000000,16323426603.000000,4106444101.000000,20429870704.000000,20894687547.000000,16691678361.000000,4203009186.000000,20894687547.000000
12M 2017,468479918789.000000,-243312994895.000000,225166923894.000000,-183739046340.000000,-138084362690.000000,-45654683650.000000,-183739046340.000000,41427877554.000000,-21016561469.000000,-25124238979.000000,,,,,-12761260266.000000,16868937776.000000,-21016561469.000000,20411316085.000000,-673934440.000000,-1975938616.000000,,,-1975938616.000000,1302004176.000000,-673934440.000000,19737381645.000000,,19737381645.000000,-2236376110.000000,-2236376110.000000,-2236376110.000000,17501005535.000000,19737381645.000000,13326454217.000000,6410927428.000000,19737381645.000000,17501005535.000000,11092653773.000000,6408351762.000000,17501005535.000000
12M 2018,539302125082.000000,-232770792735.000000,306531332347.000000,-188427859283.000000,-142034848231.000000,-46393011052.000000,-188427859283.000000,118103473064.000000,-32814147324.000000,-22085744927.000000,,,,,-11556529440.000000,828127043.000000,-32814147324.000000,85289325740.000000,100795663.000000,-1100054375.000000,,,-1100054375.000000,1200850038.000000,100795663.000000,85390121403.000000,,85390121403.000000,512951492.000000,512951492.000000,512951492.000000,85903072895.000000,85390121403.000000,33750368986.000000,51639752417.000000,85390121403.000000,85903072895.000000,34258232150.000000,51644840745.000000,85903072895.000000
12M 2019,569374430798.000000,-271786855259.000000,297587575539.000000,-203220266320.000000,-157658315848.000000,-45561950472.000000,-203220266320.000000,94367309219.000000,-21035999612.000000,-22026689698.000000,,,,,-11281460302.000000,12272150388.000000,-21035999612.000000,73331309607.000000,36978431.000000,-300165310.000000,,,-300165310.000000,337143741.000000,36978431.000000,73368288038.000000,,73368288038.000000,-2186436159.000000,-2186436159.000000,-2186436159.000000,71181851879.000000,73368288038.000000,25205597792.000000,48162690246.000000,73368288038.000000,71181851879.000000,22993749449.000000,48188102430.000000,71181851879.000000
12M 2020,386541149828.000000,-193121554141.000000,193419595687.000000,-157385884799.000000,-125218774665.000000,-32167110134.000000,-157385884799.000000,36033710888.000000,-17531164007.000000,-19235457572.000000,,,,,-6835813898.000000,8540107463.000000,-17531164007.000000,18502546881.000000,204245671.000000,-385139541.000000,,,-385139541.000000,589385212.000000,204245671.000000,18706792552.000000,,18706792552.000000,6167893371.000000,6167893371.000000,6167893371.000000,24874685923.000000,18706792552.000000,-818376145.000000,19525168697.000000,18706792552.000000,24874685923.000000,4884620854.000000,19990065069.000000,24874685923.000000
12M 2021,567052209003.000000,-255791181951.000000,311261027052.000000,-180237629948.000000,-131401079283.000000,-48836550665.000000,-180237629948.000000,131023397104.000000,-11733499904.000000,-9628448454.000000,,,,,-10952529136.000000,8847477686.000000,-11733499904.000000,119289897200.000000,-1642604044.000000,-1027498780.000000,,,-1027498780.000000,-615105264.000000,-1642604044.000000,117647293156.000000,,117647293156.000000,13863570550.000000,13863570550.000000,13863570550.000000,131510863706.000000,117647293156.000000,101271612976.000000,16375680180.000000,117647293156.000000,131510863706.000000,114175036502.000000,17335827204.000000,131510863706.000000
