Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Beban Eksplorasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Laba (Rugi) Selisih Kurs,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2016,98681717327.000000,-70084872624.000000,28596844703.000000,-17115194330.000000,,-1519758236.000000,-14146960052.000000,,-1448476042.000000,-17115194330.000000,11481650373.000000,-3228481272.000000,7227877287.000000,,-10456358559.000000,,-3228481272.000000,8253169101.000000,-2495067952.000000,,,-2495067952.000000,5758101149.000000,-247229500.000000,-247229500.000000,-247229500.000000,5510871649.000000,5758101149.000000,5756045634.000000,2055515.000000,5758101149.000000,5510871649.000000,5509263836.000000,1607813.000000,5510871649.000000
12M 2017,176933034482.000000,-147603916512.000000,29329117970.000000,-17389194930.000000,,-1749163619.000000,-14255226176.000000,,-1384805135.000000,-17389194930.000000,11939923040.000000,-13607017092.000000,-5307012716.000000,,-8300004376.000000,,-13607017092.000000,-1667094052.000000,612894479.000000,,,612894479.000000,-1054199573.000000,-69936000.000000,-69936000.000000,-69936000.000000,-1124135573.000000,-1054199573.000000,-1053406111.000000,-793462.000000,-1054199573.000000,-1124135573.000000,-1123279945.000000,-855628.000000,-1124135573.000000
12M 2018,783590762184.000000,-657311889601.000000,126278872583.000000,-104968063602.000000,,-73682610249.000000,-29729832368.000000,,-1555620985.000000,-104968063602.000000,21310808981.000000,-20157810076.000000,,-11749282773.000000,-8408527303.000000,,-20157810076.000000,1152998905.000000,-4093782538.000000,,,-4093782538.000000,-2940783633.000000,218433250.000000,218433250.000000,218433250.000000,-2722350383.000000,-2940783633.000000,-2937652683.000000,-3130950.000000,-2940783633.000000,-2722350383.000000,-2719262435.000000,-3087948.000000,-2722350383.000000
12M 2019,1221662045057.000000,-1034914559414.000000,186747485643.000000,-162876114639.000000,-19930362799.000000,-110636919937.000000,-32308831903.000000,,,-162876114639.000000,23871371004.000000,-7054681124.000000,,,-7054681124.000000,,-7054681124.000000,16816689880.000000,-6277267216.000000,,,-6277267216.000000,10539422664.000000,-151576650.000000,-151576650.000000,-151576650.000000,10387846014.000000,10539422664.000000,10543645972.000000,-4223308.000000,10539422664.000000,10387846014.000000,10392111533.000000,-4265519.000000,10387846014.000000
12M 2020,1069005506795.000000,-828783438802.000000,240222067993.000000,-163128975598.000000,,-131602857502.000000,-29200432083.000000,,-2325686013.000000,-163128975598.000000,77093092395.000000,-54080490072.000000,723500155.000000,-2551405345.000000,-8004524201.000000,-44248060681.000000,-54080490072.000000,23012602323.000000,-9202187583.000000,-17316572840.000000,8114385257.000000,-9202187583.000000,13810414740.000000,-101599470.000000,-101599470.000000,-101599470.000000,13708815270.000000,13810414740.000000,13830828934.000000,-20414194.000000,13810414740.000000,13708815270.000000,13729138070.000000,-20322800.000000,13708815270.000000
12M 2021,841151184815.000000,-617664730106.000000,223486454709.000000,-205219159852.000000,,-165236417365.000000,-36345408738.000000,,-3637333749.000000,-205219159852.000000,18267294857.000000,-68917182599.000000,658822058.000000,443764304.000000,-4931633446.000000,-65088135515.000000,-68917182599.000000,-50649887742.000000,4756675967.000000,-20694857579.000000,25451533546.000000,4756675967.000000,-45893211775.000000,350644260.000000,350644260.000000,350644260.000000,-45542567515.000000,-45893211775.000000,-45852236848.000000,-40974927.000000,-45893211775.000000,-45542567515.000000,-45501700494.000000,-40867021.000000,-45542567515.000000
12M 2022,250181705309.000000,-191711207542.000000,58470497767.000000,-82052963679.000000,,-42799666456.000000,-35322636203.000000,,-3930661020.000000,-82052963679.000000,-23582465912.000000,-95270157641.000000,356232579.000000,-6461909498.000000,-4882793105.000000,-84281687617.000000,-95270157641.000000,-118852623553.000000,24150517929.000000,-4163219960.000000,28313737889.000000,24150517929.000000,-94702105624.000000,332361960.000000,332361960.000000,332361960.000000,-94369743664.000000,-94702105624.000000,-94678149459.000000,-23956165.000000,-94702105624.000000,-94369743664.000000,-94345893131.000000,-23850533.000000,-94369743664.000000
12M 2023,264364481467.000000,-194721024958.000000,69643456509.000000,-55508740596.000000,,-27515443358.000000,-30637722536.000000,,2644425298.000000,-55508740596.000000,14134715913.000000,-11270311110.000000,354414471.000000,1142943342.000000,-4100734452.000000,-8666934471.000000,-11270311110.000000,2864404803.000000,-3380640097.000000,-4085222300.000000,704582203.000000,-3380640097.000000,-516235294.000000,-53927970.000000,-53927970.000000,-53927970.000000,-570163264.000000,-516235294.000000,-510334000.000000,-5901294.000000,-516235294.000000,-570163264.000000,-564224999.000000,-5938265.000000,-570163264.000000
12M 2024,473502130104.000000,-338215777006.000000,135286353098.000000,-97919070801.000000,,-53701739776.000000,-43186853647.000000,,-1030477378.000000,-97919070801.000000,37367282297.000000,-2747379168.000000,385864409.000000,-1344951528.000000,-1604709821.000000,-183582228.000000,-2747379168.000000,34619903129.000000,-9118286105.000000,-6193881060.000000,-2924405045.000000,-9118286105.000000,25501617024.000000,562086210.000000,,562086210.000000,26063703234.000000,25501617024.000000,25499683051.000000,1933973.000000,25501617024.000000,26063703234.000000,26061507920.000000,2195314.000000,26063703234.000000
