Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok Dan Pihak Ketiga,Penerimaan Dari Penghasilan Keuangan,Penerimaan Dari Taksiran Tagihan Pajak,Pembayaran Bunga,Pembayaran Imbalan Pasca Kerja,Pembayaran Kepada Karyawan,Penerimaan (Pembayaran) Pajak - Bersih,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penerimaan Dari Hasil Penjualan Aset Tetap,Kenaikan Aset Keuangan Tidak Lancar Lainnya,Kenaikan Aset Keuangan Lancar Lainnya,Penurunan Aset Keuangan Lancar Lainnya,Penurunan Aset Keuangan Tidak Lancar Lainnya,"Penerimaan (Pembayaran) Untuk Akuisisi Entitas Anak, Setelah Dikurangi Kas Yang Diperoleh",Penambahan Properti Pertambangan,Penambahan Aset Eksplorasi Dan Evaluasi,Perolehan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Pinjaman Bank Jangka Pendek,Penambahan Setoran Modal Saham,Pembelian Saham Treasuri,Pembayaran Biaya Emisi Saham,Pembayaran Pinjaman Pihak Ketiga,Penerimaan Kas Dari Pihak Nonpengendali Atas Penambahan Modal Saham Entitas Anak,Penerimaan Dari Pihak Berelasi,Pembayaran Kpd Pihak Berelasi,Pembayaran Utang Pembiayaan Konsumen,Pembayaran Liabilitas Sewa,Pembayaran Pinjaman Bank Jangka Pendek,Pembayaran Utang Bank Jangka Panjang,Penerimaan Dari Penawaran Umum Perdana Saham,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2016,16960982912.000000,109886240312.000000,-79311404116.000000,,,-8478133155.000000,,-3787726109.000000,-1347994020.000000,16960982912.000000,-66990769320.000000,,,,,,47766285.000000,,-16776083943.000000,-50262451662.000000,-66990769320.000000,51305277551.000000,,63758000000.000000,,,-5355455000.000000,,,,-254568536.000000,,,-6842698913.000000,,51305277551.000000,1275491143.000000,676155400.000000,,1951646543.000000
12M 2017,-64804521909.000000,141946617690.000000,-192425619332.000000,,,-8333239815.000000,,-4924947609.000000,-1067332843.000000,-64804521909.000000,-13326194190.000000,265000000.000000,,,,,,,-246340000.000000,-13344854190.000000,-13326194190.000000,95198139416.000000,,152150425625.000000,,-5937231939.000000,-45730845000.000000,,,,-106143010.000000,,,-5178066260.000000,,95198139416.000000,17067423317.000000,1951646543.000000,,19019069860.000000
12M 2018,-21885536602.000000,771628102843.000000,-776897099932.000000,,,-8393436755.000000,,-5076300121.000000,-3146802637.000000,-21885536602.000000,-48394139920.000000,83000000.000000,,,,,,-17446068743.000000,-9580168000.000000,-21450903177.000000,-48394139920.000000,94075848344.000000,,101464436875.000000,,,,,,,-690483792.000000,,,-6698104739.000000,,94075848344.000000,23796171822.000000,19019069860.000000,,42815241682.000000
12M 2019,13553542510.000000,1276991303886.000000,-1230348547819.000000,,,-7145447771.000000,,-5281037626.000000,-20662728160.000000,13553542510.000000,-12747737576.000000,180000000.000000,,,,,,,-9335846856.000000,-3591890720.000000,-12747737576.000000,-9169576207.000000,,5986978750.000000,,,,60000000.000000,,,-953257853.000000,,,-14263297104.000000,,-9169576207.000000,-8363771273.000000,42815241682.000000,,34451470409.000000
12M 2020,92670043291.000000,1060781687384.000000,-937351493917.000000,723500155.000000,,-8011464547.000000,,-6490321144.000000,-16981864640.000000,92670043291.000000,-7463810926.000000,,,,,,,,-1923520196.000000,-5540290730.000000,-7463810926.000000,-56342312981.000000,19458946974.000000,145625.000000,-433927600.000000,,,,,,-505822680.000000,-800000000.000000,-19458946974.000000,-54602708326.000000,,-56342312981.000000,28863919384.000000,34451470409.000000,420913200.000000,63736302993.000000
12M 2021,22154295809.000000,883796350529.000000,-833891354347.000000,658822058.000000,,-5011104014.000000,,-7920089533.000000,-15478328884.000000,22154295809.000000,-2988180917.000000,,,,,,,,-266300770.000000,-2721880147.000000,-2988180917.000000,-36771006932.000000,75265602000.000000,,,,,,,,-444579529.000000,,-76661703000.000000,-34930326403.000000,,-36771006932.000000,-17604892040.000000,63736302993.000000,628260138.000000,46759671091.000000
12M 2022,-20264530244.000000,223364662607.000000,-276934424035.000000,347025925.000000,48665658559.000000,-4214480365.000000,,-7750598800.000000,-3742374135.000000,-20264530244.000000,-5367339707.000000,250000000.000000,,,,,,,,-5617339707.000000,-5367339707.000000,-19593487109.000000,23852928074.000000,,1055618200.000000,,,,63133388929.000000,-54002121398.000000,-2015631531.000000,,-14856498074.000000,-36761171309.000000,,-19593487109.000000,-45225357060.000000,46759671091.000000,32108330.000000,1566422361.000000
12M 2023,-5482020608.000000,253587187950.000000,-260362456471.000000,342356670.000000,17092479389.000000,-3658679071.000000,-114908000.000000,-8032187791.000000,-4335813284.000000,-5482020608.000000,-2374612722.000000,221312500.000000,-1066486814.000000,,,,,,,-1529438408.000000,-2374612722.000000,17004337314.000000,48117352451.000000,,,,,,45733660185.000000,-37462793915.000000,-2626196700.000000,,-23446597285.000000,-13311087422.000000,,17004337314.000000,9147703984.000000,1566422361.000000,-3511934.000000,10710614411.000000
12M 2024,38652999787.000000,470725118737.000000,-433922647575.000000,371051428.000000,20874642762.000000,-2840488330.000000,,-7738186511.000000,-8816490724.000000,38652999787.000000,19642720286.000000,279700000.000000,-3912201662.000000,-2213034000.000000,24665600000.000000,1969001018.000000,,,,-1146345070.000000,19642720286.000000,-53054221331.000000,66453876265.000000,,,,,,38855000000.000000,-49075843724.000000,-2748666224.000000,,-100121061431.000000,-6417526217.000000,,-53054221331.000000,5241498742.000000,10710614411.000000,397895233.000000,16350008386.000000
