Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Tetap,Goodwill,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Pembelian Aset Tetap,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Jangka Panjang Dari Pihak Berelasi,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Pembelian Aset Tetap,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Goodwill,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Adjustment,Kepentingan Non Pengendali,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,14962039654.000000,133764239609.000000,,,133764239609.000000,12489087568.000000,,,12489087568.000000,190873143533.000000,15927846671.000000,368016357035.000000,,13808134748.000000,,779481771.000000,49343536397.000000,63931152916.000000,431947509951.000000,,,306313951209.000000,,275148520962.000000,,,275148520962.000000,358644876.000000,,,358644876.000000,2422318145.000000,498631102.000000,,25139526507.000000,2746309617.000000,27885836124.000000,,306313951209.000000,12750826252.000000,5000000000.000000,,2638888889.000000,3074472057.000000,5713360946.000000,,2037465306.000000,12750826252.000000,319064777461.000000,,85000000000.000000,15815353231.000000,12067379259.000000,50000000.000000,12017379259.000000,12067379259.000000,,,112882732490.000000,431947509951.000000,850000000.000000
12M 2009,,,8908015821.000000,197113863500.000000,,,197113863500.000000,12831840982.000000,,,12831840982.000000,227902440621.000000,17026533472.000000,463782694396.000000,,20120468669.000000,9848865726.000000,1335433924.000000,39780222282.000000,71084990601.000000,534867684997.000000,,,400637616270.000000,,328769078402.000000,,,328769078402.000000,6133130245.000000,,,6133130245.000000,3589393964.000000,540228285.000000,,58627195094.000000,2978590280.000000,61605785374.000000,,400637616270.000000,15425453417.000000,5000000000.000000,,5583333333.000000,2198726882.000000,7782060215.000000,,2643393202.000000,15425453417.000000,416063069687.000000,,85000000000.000000,15815353231.000000,17986233468.000000,100000000.000000,17886233468.000000,17986233468.000000,,3028611.000000,118804615310.000000,534867684997.000000,850000020.000000
12M 2010,,,9592696973.000000,141394287413.000000,,,141394287413.000000,12858285815.000000,,,12858285815.000000,247195696951.000000,18150729609.000000,429191696761.000000,,31039956343.000000,7660228898.000000,2393580491.000000,40674460375.000000,81768226107.000000,510959922868.000000,,,373013740739.000000,9844210219.000000,289196304663.000000,,,289196304663.000000,5454017218.000000,,,5454017218.000000,6255842083.000000,1810560483.000000,,57468643299.000000,2984162774.000000,60452806073.000000,,373013740739.000000,12885835109.000000,5000000000.000000,,1611111111.000000,2882250860.000000,4493361971.000000,,3392473138.000000,12885835109.000000,385899575848.000000,,97750000000.000000,3065353231.000000,24241843883.000000,100000000.000000,24141843883.000000,24241843883.000000,,3149906.000000,125060347020.000000,510959922868.000000,977500000.000000
12M 2011,,,20056555958.000000,124065944650.000000,,,124065944650.000000,324975675.000000,,,324975675.000000,109667686957.000000,5558889639.000000,259674052879.000000,,6976503545.000000,,2840915256.000000,38261537169.000000,48078955970.000000,307753008849.000000,,,286153567719.000000,27204000000.000000,245600918869.000000,,,245600918869.000000,4532522603.000000,,,4532522603.000000,2215191396.000000,5335319964.000000,,,1265614887.000000,1265614887.000000,,286153567719.000000,3959382689.000000,,,,421795510.000000,421795510.000000,,3537587179.000000,3959382689.000000,290112950408.000000,,98084373200.000000,3341578567.000000,-83785885343.000000,100000000.000000,-83885885343.000000,-83785885343.000000,,-7983.000000,17640058441.000000,307753008849.000000,980843732.000000
12M 2012,,,13605193164.000000,195278877285.000000,,,195278877285.000000,180892022.000000,,,180892022.000000,106518640539.000000,7126768087.000000,322710371097.000000,,5175731712.000000,,3247457587.000000,5762374457.000000,14185563756.000000,336895934853.000000,,,280222121988.000000,17406000000.000000,,668825070.000000,249099240064.000000,249768065134.000000,388267683.000000,,,388267683.000000,625088948.000000,11644131578.000000,,,390568645.000000,390568645.000000,,280222121988.000000,5501293596.000000,,,,31226865.000000,31226865.000000,,5470066731.000000,5501293596.000000,285723415584.000000,,98084373200.000000,3341578567.000000,-50253424367.000000,100000000.000000,-50353424367.000000,-50253424367.000000,,-8131.000000,51172519269.000000,336895934853.000000,980843732.000000
12M 2013,,,20093727142.000000,211888448596.000000,,,211888448596.000000,2422336453.000000,1638578511.000000,783757942.000000,2422336453.000000,77294274430.000000,10478900845.000000,322177687466.000000,,5745202465.000000,,3084460074.000000,5481012405.000000,14310674944.000000,336488362410.000000,,,240705265621.000000,8532300000.000000,,497833015.000000,215564681358.000000,216062514373.000000,3652000.000000,,,3652000.000000,2076230887.000000,13999341496.000000,,,31226865.000000,31226865.000000,,240705265621.000000,7928035968.000000,,,,,,,7928035968.000000,7928035968.000000,248633301589.000000,,98084373200.000000,3341578567.000000,-13570882639.000000,100000000.000000,-13670882639.000000,-13570882639.000000,,-8307.000000,87855060821.000000,336488362410.000000,980843732.000000
12M 2014,,,49239511813.000000,284646043005.000000,528951873.000000,284117091132.000000,284646043005.000000,4492831920.000000,123431690.000000,4369400230.000000,4492831920.000000,128462965386.000000,19888652040.000000,486730004164.000000,,19239049134.000000,,3734296641.000000,15785057582.000000,38758403357.000000,525488407521.000000,,,401563535741.000000,18660000000.000000,,758248127.000000,348139987413.000000,348898235540.000000,101715385.000000,,,101715385.000000,1402223673.000000,32501361143.000000,,,,,,401563535741.000000,9589089839.000000,,,,,,,9589089839.000000,9589089839.000000,411152625580.000000,,98084373200.000000,3341578567.000000,12909838552.000000,100000000.000000,12809838552.000000,12909838552.000000,,-8378.000000,114335781941.000000,525488407521.000000,980843732.000000
12M 2015,,,71741932233.000000,366590594640.000000,30044257009.000000,336546337631.000000,366590594640.000000,24634332248.000000,,,24634332248.000000,154475412963.000000,13842568056.000000,631284840140.000000,,23231529314.000000,,6015828837.000000,28404383022.000000,57651741173.000000,688936581313.000000,,,544280558654.000000,,,1101573843.000000,510177489835.000000,511279063678.000000,3001787424.000000,,,3001787424.000000,844732763.000000,29154974789.000000,,,,,,544280558654.000000,20805405000.000000,,,,,,,20805405000.000000,20805405000.000000,565085963654.000000,,98084373200.000000,3341578567.000000,22424674361.000000,1100000000.000000,21324674361.000000,22424674361.000000,,-8469.000000,123850617659.000000,688936581313.000000,980843732.000000
12M 2016,,,41679042281.000000,342943787848.000000,5377954785.000000,337565833063.000000,342943787848.000000,14964142723.000000,,,14964142723.000000,244785318102.000000,8534494252.000000,652906785206.000000,,21418055234.000000,,7192023081.000000,26552348541.000000,55162426856.000000,708069212062.000000,,,562685685627.000000,,,2163470460.000000,525483088517.000000,527646558977.000000,4146398998.000000,,,4146398998.000000,770630685.000000,30122096967.000000,,,,,,562685685627.000000,24158786047.000000,,,,,,,24158786047.000000,24158786047.000000,586844471674.000000,,98084373200.000000,3341578567.000000,19798797370.000000,2100000000.000000,17698797370.000000,19798797370.000000,,-8749.000000,121224740388.000000,708069212062.000000,980843732.000000
12M 2017,,,25074387217.000000,437993842444.000000,8561709845.000000,429432132599.000000,437993842444.000000,117091203.000000,16410238.000000,100680965.000000,117091203.000000,230455671385.000000,6960443786.000000,700601436035.000000,,19720427328.000000,,7219323849.000000,16248180796.000000,43187931973.000000,743789368008.000000,,,609522247224.000000,,,237185532.000000,557190197580.000000,557427383112.000000,6804245406.000000,,,6804245406.000000,1008284860.000000,44282333846.000000,,,,,,609522247224.000000,22702678866.000000,,,,,,,22702678866.000000,22702678866.000000,632224926090.000000,,98084373200.000000,3341578567.000000,10138499096.000000,2100000000.000000,8038499096.000000,10138499096.000000,,-8945.000000,111564441918.000000,743789368008.000000,980843732.000000
12M 2018,,,37960489893.000000,463929979858.000000,5134849051.000000,458795130807.000000,463929979858.000000,381521829.000000,,,381521829.000000,276856268474.000000,23914556048.000000,803042816102.000000,,23434425176.000000,,6113144987.000000,22982421190.000000,52529991353.000000,855572807455.000000,,,734503822439.000000,15000000000.000000,,18395414985.000000,658301147803.000000,676696562788.000000,18912588379.000000,,,18912588379.000000,759290874.000000,23135380398.000000,,,,,,734503822439.000000,17989355076.000000,,,,,,,17989355076.000000,17989355076.000000,752493177515.000000,,98084373200.000000,3341578567.000000,1653686923.000000,2100000000.000000,-446313077.000000,1653686923.000000,,-8750.000000,103079629940.000000,855572807455.000000,980843732.000000
12M 2019,,,25675406183.000000,396032383501.000000,750215238.000000,395282168263.000000,396032383501.000000,907095541.000000,,,907095541.000000,164045362070.000000,5918660898.000000,592578908193.000000,,28228320173.000000,,8520901733.000000,23018084574.000000,59767306480.000000,652346214673.000000,,,553865665830.000000,,,14324946837.000000,504048567915.000000,518373514752.000000,17697850988.000000,,,17697850988.000000,650628122.000000,17143671968.000000,,,,,,553865665830.000000,12452213573.000000,,,,,,,12452213573.000000,12452213573.000000,566317879403.000000,,98084373200.000000,3341578567.000000,-15397607703.000000,2100000000.000000,-17497607703.000000,-15397607703.000000,,-8794.000000,86028335270.000000,652346214673.000000,980843732.000000
12M 2020,,,117081264745.000000,324213011442.000000,18970626823.000000,305242384619.000000,324213011442.000000,15253000.000000,15253000.000000,,15253000.000000,160809490849.000000,4784804066.000000,606903824102.000000,,32005744503.000000,,7837328120.000000,29116862481.000000,68959935104.000000,675863759206.000000,,,529614198284.000000,,,22216432879.000000,448926027202.000000,471142460081.000000,,2815545754.000000,13615726634.000000,16431272388.000000,1249731492.000000,37397128452.000000,,,,,3393605871.000000,529614198284.000000,19653074898.000000,,,,,,,19653074898.000000,19653074898.000000,549267273182.000000,,98084373200.000000,3341578567.000000,25167574612.000000,2100000000.000000,23067574612.000000,25167574612.000000,,2959645.000000,126596486024.000000,675863759206.000000,980843732.000000
12M 2021,,,42350368854.000000,514121041169.000000,39426694855.000000,474694346314.000000,514121041169.000000,174907366.000000,15253000.000000,159654366.000000,174907366.000000,369914066093.000000,15766229606.000000,942326613088.000000,,44911736195.000000,,9240772844.000000,70030580123.000000,124183089162.000000,1066509702250.000000,,,952940940427.000000,35000000000.000000,,782119425.000000,816144524419.000000,816926643844.000000,,3924442377.000000,23961434477.000000,27885876854.000000,2550907242.000000,55780018932.000000,,,,,14797493555.000000,952940940427.000000,15262403546.000000,,,,,,,15262403546.000000,15262403546.000000,968203343973.000000,,98084373200.000000,3341578567.000000,-3122553136.000000,2100000000.000000,-5222553136.000000,-3122553136.000000,,2959646.000000,98306358277.000000,1066509702250.000000,980843732.000000
12M 2022,,,16995953986.000000,477766399365.000000,40950194120.000000,436816205245.000000,477766399365.000000,42567134.000000,15253000.000000,27314134.000000,42567134.000000,427068083068.000000,6613378201.000000,928486381754.000000,,64940562195.000000,,8052067380.000000,96248477865.000000,169241107440.000000,1097727489194.000000,,,1056713188891.000000,120000000000.000000,,2321253008.000000,854169911139.000000,856491164147.000000,,6063304267.000000,30214044490.000000,36277348757.000000,2685722335.000000,27205786465.000000,,,,,14053167187.000000,1056713188891.000000,15172969775.000000,,,,,,,15172969775.000000,15172969775.000000,1071886158666.000000,,98084373200.000000,3341578567.000000,-75587580783.000000,2100000000.000000,-77687580783.000000,-75587580783.000000,,2959544.000000,25841330528.000000,1097727489194.000000,980843732.000000
12M 2023,,,67964216237.000000,491542460855.000000,50261540834.000000,441280920021.000000,491542460855.000000,331327963.000000,331327963.000000,,331327963.000000,308322548734.000000,6199635064.000000,874360188853.000000,,60374973672.000000,,6432980735.000000,71279915165.000000,138087869572.000000,1012448058425.000000,,,1043889708048.000000,,,28126128738.000000,918975155243.000000,947101283981.000000,,86715940.000000,17013129874.000000,17099845814.000000,1335567696.000000,50290409372.000000,,,,,28062601185.000000,1043889708048.000000,17730815819.000000,,,,,,,17730815819.000000,17730815819.000000,1061620523867.000000,,98084373200.000000,3341578567.000000,-150601376376.000000,2100000000.000000,-152701376376.000000,-150601376376.000000,,2959167.000000,-49172465442.000000,1012448058425.000000,980843732.000000
12M 2024,,,70353000000.000000,433571000000.000000,50975000000.000000,382596000000.000000,433571000000.000000,3365000000.000000,3365000000.000000,,3365000000.000000,267880000000.000000,17748000000.000000,792917000000.000000,,42810000000.000000,,5221000000.000000,64711000000.000000,112742000000.000000,905659000000.000000,,,973852000000.000000,,,30480000000.000000,866599000000.000000,897079000000.000000,,1348000000.000000,8717000000.000000,10065000000.000000,1046000000.000000,40592000000.000000,,,,,25070000000.000000,973852000000.000000,17946000000.000000,,,,,,,17946000000.000000,17946000000.000000,991798000000.000000,,98084000000.000000,3342000000.000000,-187568000000.000000,2100000000.000000,-189668000000.000000,-187568000000.000000,,3000000.000000,-86139000000.000000,905659000000.000000,980843732.000000
