Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Penerimaan Dari Pendapatan Bunga,Pembayaran Kepada Pemasok Dan Karyawan,Pemasok,Karyawan,Total Pembayaran Kepada Pemasok Dan Karyawan,Pembayaran Pajak,Penerimaan Pajak Penghasilan,Beban Bunga Dan Keuangan,Kegiatan Operasional Lainnya,Adjustment,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penambahan Aset Tidak Lancar Lainnya,Perolehan Aset Hak Guna Usaha,Perolehan Aset Tetap,Perolehan Aset Tidak Berwujud,Penerimaan/Penempatan Uang Jaminan,Penerimaan Penjualan Aset Tetap,Penerimaan Dari Penjualan Aset Tidak Lancar Yang Dimiliki Untuk Dijual,Penjualan Entitas Anak,Pencairan Deposito Yang Dibatasi Penggunaannya,Uang Atas Penjualan Penyertaan Saham,Akuisisi Anak Perusahaan,Penambahan Aset Lain-Lain,Adjustment,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Utang Bank Jangka Pendek,Pembayaran Hutang Bank Jangka Pendek,Pembayaran Hutang Pembelian Aset Tetap,Konversi Waran Ke Saham,Penerimaan Utang Bank Jangka Panjang,Pembayaran Hutang Bank Jangka Panjang,Penurunan Hutang Pihak Berelasi,Pembayaran Pembiayaan Konsumen,Pembayaran Liabilitas Sewa,Pembayaran Dividen Entitas Anak,Penawaran Umum Perdana,Beban Emisi Efek Ekuitas,Adjustment,Adjustment,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Entitas Anak Pada Saat Dijual,Kas Dan Setara Kas Akhir Periode
12M 2008,-18702796610.000000,679579042337.000000,390416060.000000,,-677062533120.000000,-19923631652.000000,-696986164772.000000,-3816861843.000000,,-3335447062.000000,5466218670.000000,,-18702796610.000000,-13728408782.000000,,,-3836560381.000000,,-2091486710.000000,,,,-300361691.000000,-7500000000.000000,,,,-13728408782.000000,45177116531.000000,,6379237233.000000,,,,,,-2017473933.000000,,,42500000000.000000,-1684646769.000000,,,45177116531.000000,12745911139.000000,2216128515.000000,,14962039654.000000
12M 2009,-34141422929.000000,557762768947.000000,208673284.000000,,-559841993257.000000,-25161563685.000000,-585003556942.000000,-4273099187.000000,,-7557158891.000000,4720949860.000000,,-34141422929.000000,-7701249423.000000,,,-5182795691.000000,,1898100000.000000,,,,-1919553732.000000,-2497000000.000000,,,,-7701249423.000000,35788648519.000000,,36432113031.000000,,,,,,-643464512.000000,,,,,,,35788648519.000000,-6054023833.000000,14962039654.000000,,8908015821.000000
12M 2010,13194035350.000000,787349583174.000000,375229602.000000,,-727931337655.000000,-27362316235.000000,-755293653890.000000,-1270668449.000000,,-21087900855.000000,3121445768.000000,,13194035350.000000,-16661574420.000000,,,-15768086328.000000,,-161555340.000000,750000.000000,,,-732682752.000000,,,,,-16661574420.000000,4152220222.000000,,4713436203.000000,,,,-561215981.000000,,,,,,,,,4152220222.000000,684681152.000000,8908015821.000000,,9592696973.000000
12M 2011,11582287408.000000,725939146192.000000,146527818.000000,,-670773041574.000000,-29775864663.000000,-700548906237.000000,-6758407598.000000,,-3390515869.000000,-3805556898.000000,,11582287408.000000,25268844451.000000,-936219870.000000,,-744067508.000000,,41589490.000000,1175505854.000000,,22497300000.000000,3234736485.000000,,,,,25268844451.000000,-23798088593.000000,,25592888889.000000,-2300693021.000000,610598536.000000,,-42700882997.000000,-5000000000.000000,,,,,,,,-23798088593.000000,13053043266.000000,9592696973.000000,-2589184296.000000,20056555943.000000
12M 2012,5643585071.000000,808631650649.000000,183191097.000000,,-763387312264.000000,-28100220030.000000,-791487532294.000000,-6320829656.000000,,-975971809.000000,-4386922916.000000,,5643585071.000000,-1031332978.000000,-812987783.000000,,-208996845.000000,,-14623350.000000,5275000.000000,,,,,,,,-1031332978.000000,-11063614887.000000,,-9798000000.000000,-1265614887.000000,,,,,,,,,,,,-11063614887.000000,-6451362794.000000,20056555958.000000,,13605193164.000000
12M 2013,18705501801.000000,1095435936940.000000,253918659.000000,,-1033386783337.000000,-36852062405.000000,-1070238845742.000000,-3111025555.000000,,-319117201.000000,-3315365300.000000,,18705501801.000000,-2952699178.000000,-2248106391.000000,,-634596479.000000,,-69996308.000000,,,,,,,,,-2952699178.000000,-9264268645.000000,,-8873700000.000000,-390568645.000000,,,,,,,,,,,,-9264268645.000000,6488533978.000000,13605193164.000000,,20093727142.000000
12M 2014,42361244568.000000,1131835472856.000000,503579750.000000,,-1037275478646.000000,-41170682753.000000,-1078446161399.000000,-9136017630.000000,,-60356056.000000,-2335272953.000000,,42361244568.000000,-23311933032.000000,-15131224311.000000,,-7018817101.000000,,-1161891620.000000,,,,,,,,,-23311933032.000000,10096473135.000000,18660000000.000000,-8532300000.000000,-31226865.000000,,,,,,,,,,,,10096473135.000000,29145784671.000000,20093727142.000000,,49239511813.000000
12M 2015,52466394390.000000,1397649408132.000000,738665237.000000,,-1287265612233.000000,-46722533776.000000,-1333988146009.000000,-11869760204.000000,,-590053193.000000,526280427.000000,,52466394390.000000,-9540723970.000000,-5790538296.000000,,-3750185674.000000,,,,,,,,,,,-9540723970.000000,-20423250000.000000,,-20423250000.000000,,,,,,,,,,,,,-20423250000.000000,22502420420.000000,49239511813.000000,,71741932233.000000
12M 2016,-29951869086.000000,1470553740991.000000,1499236597.000000,,-1443700067528.000000,-55180503749.000000,-1498880571277.000000,-2756267945.000000,,,-368007452.000000,,-29951869086.000000,-111020866.000000,-257459125.000000,,,,,146438259.000000,,,,,,,,-111020866.000000,,,,,,,,,,,,,,,,,-30062889952.000000,71741932233.000000,,41679042281.000000
12M 2017,-16750848583.000000,1508591599938.000000,513040837.000000,,-1469002038272.000000,-54692523350.000000,-1523694561622.000000,-3161300558.000000,,,1000372822.000000,,-16750848583.000000,146193519.000000,-87290300.000000,,,,,233483819.000000,,,,,,,,146193519.000000,,,,,,,,,,,,,,,,,-16604655064.000000,41679042281.000000,,25074387217.000000
