Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Bagian Atas Hasil Bersih Entitas Asosiasi,Laba (Rugi) Selisih Kurs,Laba (Rugi) Atas Penjualan Aset Tetap,Beban Keuangan,Keuntungan Atas Penjualan Entitas Anak,Iklan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,703756076234.000000,-580333030108.000000,123423046126.000000,-111550782614.000000,-71002094296.000000,-40548688318.000000,-111550782614.000000,11872263512.000000,-1858581143.000000,390416060.000000,,92496587.000000,,-3001255797.000000,,,659762007.000000,-1858581143.000000,10013682369.000000,-3077721968.000000,-3316101500.000000,238379532.000000,-3077721968.000000,6935960401.000000,,6935960401.000000,,,,,6935960401.000000,6935960401.000000,,6935960401.000000,,,,
12M 2009,621112392839.000000,-502181819729.000000,118930573110.000000,-102136012458.000000,-53947062374.000000,-48188950084.000000,-102136012458.000000,16794560652.000000,-7928404567.000000,208673284.000000,,23160765.000000,,-7636852828.000000,,,-523385788.000000,-7928404567.000000,8866156085.000000,-2947278207.000000,-3503230360.000000,555952153.000000,-2947278207.000000,5918877878.000000,-23669.000000,5918854209.000000,,,,,5918854209.000000,5918877878.000000,-23669.000000,5918854209.000000,,,,
12M 2010,731630007086.000000,-589209052713.000000,142420954373.000000,-123710493913.000000,-58761805102.000000,-64948688811.000000,-123710493913.000000,18710460460.000000,-9732722823.000000,375229602.000000,,26980843.000000,,-8779920560.000000,,1854243506.000000,-3209256214.000000,-9732722823.000000,8977737637.000000,-2722005933.000000,-3780152500.000000,1058146567.000000,-2722005933.000000,6255731704.000000,-121289.000000,6255610415.000000,,,,,6255610415.000000,6255731704.000000,-121289.000000,6255610415.000000,,,,
12M 2011,702359673025.000000,-559008929649.000000,143350743376.000000,-244923963230.000000,-77740534918.000000,-167183428312.000000,-244923963230.000000,-101573219854.000000,-3315501810.000000,146527818.000000,-1534313697.000000,-1698864385.000000,657738727.000000,-3224340779.000000,,,2337750506.000000,-3315501810.000000,-104888721664.000000,-3139018735.000000,-3586353500.000000,447334765.000000,-3139018735.000000,-108027740399.000000,,-108027740399.000000,,,,-108027740399.000000,-108027740399.000000,-108027729226.000000,-11173.000000,-108027740399.000000,-108027740399.000000,-108027729226.000000,-11173.000000,-108027740399.000000
12M 2012,879844583283.000000,-708642408260.000000,171202175023.000000,-132657353069.000000,-78671175870.000000,-53986177199.000000,-132657353069.000000,38544821954.000000,-1181477207.000000,182841733.000000,,-1506766894.000000,-1944845.000000,-803386550.000000,,,947779349.000000,-1181477207.000000,37363344747.000000,-3830883919.000000,,,-3830883919.000000,33532460828.000000,,33532460828.000000,,,,33532460828.000000,33532460828.000000,33532460976.000000,-148.000000,33532460828.000000,33532460828.000000,33532460976.000000,-148.000000,33532460828.000000
12M 2013,1112045508251.000000,-908763406897.000000,203282101354.000000,-160626589314.000000,-93909845450.000000,-66716743864.000000,-160626589314.000000,42655512040.000000,-754503725.000000,253918658.000000,,-1801388577.000000,,-319117201.000000,,,1112083395.000000,-754503725.000000,41901008315.000000,-5218466763.000000,,,-5218466763.000000,36682541552.000000,,36682541552.000000,,,,36682541552.000000,36682541552.000000,36682541552.000000,,36682541552.000000,36682541552.000000,36682541728.000000,-176.000000,36682541552.000000
12M 2014,1204928923469.000000,-972383507505.000000,232545415964.000000,-199128715586.000000,-118862653953.000000,-80266061633.000000,-199128715586.000000,33416700378.000000,572634425.000000,503579750.000000,,60369334.000000,,-60356056.000000,,,69041397.000000,572634425.000000,33989334803.000000,-7508613683.000000,,,-7508613683.000000,26480721120.000000,,26480721120.000000,,,,26480721120.000000,26480721120.000000,26480721191.000000,-71.000000,26480721120.000000,26480721120.000000,26480721191.000000,-71.000000,26480721120.000000
12M 2015,1471441138952.000000,-1188723562325.000000,282717576627.000000,-262369416035.000000,-169588933840.000000,-92780482195.000000,-262369416035.000000,20348160592.000000,-17392021.000000,738665237.000000,,1464673967.000000,,-2353303193.000000,,,132571968.000000,-17392021.000000,20330768571.000000,-5922303004.000000,,,-5922303004.000000,14408465567.000000,,14408465567.000000,-1400840912.000000,-1400840912.000000,-1400840912.000000,13007624655.000000,14408465567.000000,14408465658.000000,-91.000000,14408465567.000000,13007624655.000000,13007624746.000000,-91.000000,13007624655.000000
12M 2016,1448167445096.000000,-1172372419126.000000,275795025970.000000,-276491037997.000000,-173639608995.000000,-102851429002.000000,-276491037997.000000,-696012027.000000,826380108.000000,1499236597.000000,,-127537157.000000,,,,,-545319332.000000,826380108.000000,130368081.000000,-137067905.000000,,,-137067905.000000,-6699824.000000,,-6699824.000000,-2619177447.000000,-2619177447.000000,-2619177447.000000,-2625877271.000000,-6699824.000000,-6699544.000000,-280.000000,-6699824.000000,-2625877271.000000,-2625876991.000000,-280.000000,-2625877271.000000
12M 2017,1605317945521.000000,-1334417035981.000000,270900909540.000000,-279019954323.000000,-172371195508.000000,-106648758815.000000,-279019954323.000000,-8119044783.000000,874494001.000000,513040837.000000,,-559630322.000000,,,,,921083486.000000,874494001.000000,-7244550782.000000,-7353440928.000000,,,-7353440928.000000,-14597991710.000000,,-14597991710.000000,4937693240.000000,4937693240.000000,4937693240.000000,-9660298470.000000,-14597991710.000000,-14597991514.000000,-196.000000,-14597991710.000000,-9660298470.000000,-9660298274.000000,-196.000000,-9660298470.000000
