Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok,Pembayaran Kas Kepada Karyawan,Pembayaran Kas Untuk Beban Usaha Dan Lainnya,Penerimaan Pendapatan Keuangan,Pembayaran Biaya Keuangan,Pembayaran Pajak Final,Penerimaan Dari Operasi Lain,Total Arus Kas Dari Aktivitas Operasi,Adjustment,Arus Kas Dari Aktivitas Investasi,Pembayaran Uang Muka Proyek Dan Perolehan Tanah,Penempatan Investasi Jangka Pendek,Pencairan Investasi Jangka Pendek,Penempatan Dana Yang Dibatasi Penggunaannya,Uang Muka Perolehan Aset Tetap,Perolehan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dari Hasil Penawaran Umum Perdana Saham,Penerimaan Utang Bank Jangka Pendek,Pembayaran Utang Bank Jangka Pendek,Penerimaan Utang Bank Jangka Panjang,Pembayaran Utang Bank Jangka Panjang,Penerimaan Utang Lain-Lain,Pembayaran Utang Pembiayaan Konsumen,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2017,-28160064400.000000,43809948862.000000,-66333027526.000000,-4238065368.000000,-1324385893.000000,19392574.000000,-163331577.000000,-25980000.000000,95384528.000000,-28160064400.000000,,-2664294876.000000,,,,-2614410876.000000,,-49884000.000000,-2664294876.000000,32304970136.000000,,,,37400000000.000000,-4505255000.000000,,-589774864.000000,32304970136.000000,1480610860.000000,,801324866.000000,2281935726.000000
12M 2018,-31523629675.000000,42547974999.000000,-66874711965.000000,-4799651650.000000,-4225044544.000000,1977900119.000000,-174807943.000000,-100457640.000000,125168949.000000,-31523629675.000000,,-188065332877.000000,-72563500000.000000,-90000000000.000000,,-25448801477.000000,,-53031400.000000,-188065332877.000000,257000071215.000000,296698190580.000000,,,14165000000.000000,-52200000000.000000,,-1663119365.000000,257000071215.000000,37411108663.000000,,2281935726.000000,39693044389.000000
12M 2019,-18150179867.000000,57114823460.000000,-59081251218.000000,-5655544036.000000,-11371315492.000000,7923937100.000000,-6385649657.000000,-1022554264.000000,327374240.000000,-18150179867.000000,,6819660938.000000,-39496848131.000000,58711988862.000000,,-1347141313.000000,,-11048338480.000000,6819660938.000000,12446467471.000000,,,,23390438638.000000,-10000000000.000000,,-943971167.000000,12446467471.000000,1115948542.000000,,39693044389.000000,40808992931.000000
12M 2020,4035255004.000000,70996896721.000000,-44210934955.000000,-5652766191.000000,-8702756244.000000,3747994473.000000,-12706135042.000000,-499239072.000000,1062195314.000000,4035255004.000000,,-17511163228.000000,-10009359962.000000,31288011138.000000,,-37023188014.000000,,-1766626390.000000,-17511163228.000000,-436824193.000000,,,,1298412550.000000,-1000000000.000000,,-735236743.000000,-436824193.000000,-13912732417.000000,,40808992931.000000,26896260514.000000
12M 2021,14680922751.000000,59355026940.000000,-17299534275.000000,-7557706667.000000,-12608920326.000000,2287325568.000000,-11343586915.000000,-696745240.000000,2545063666.000000,14680922751.000000,,-1796259249.000000,,,,-1679372609.000000,,-116886640.000000,-1796259249.000000,-12978544670.000000,,,,-4764244208.000000,-7500000000.000000,,-714300462.000000,-12978544670.000000,-93881168.000000,,26896260514.000000,26802379346.000000
12M 2022,-24413958176.000000,47874947016.000000,-47417599356.000000,-6461423761.000000,-8956285075.000000,1222775654.000000,-9922414287.000000,-971393403.000000,217435036.000000,-24413958176.000000,,11564526889.000000,,,,12030788842.000000,,-466261953.000000,11564526889.000000,-5643344738.000000,,68500000000.000000,798355625.000000,-775000000.000000,-73518184360.000000,,-648516003.000000,-5643344738.000000,-18492776025.000000,,26802379346.000000,8309603321.000000
12M 2023,-32954501104.000000,38848500819.000000,-46551744454.000000,-6620923119.000000,-10617532753.000000,863825506.000000,-8863290324.000000,-568219139.000000,554882360.000000,-32954501104.000000,,27853844590.000000,,,,33393193347.000000,-5483700000.000000,-55648757.000000,27853844590.000000,14026009289.000000,,40028000000.000000,,-19947962605.000000,-5991759734.000000,,-62268372.000000,14026009289.000000,8925352775.000000,,8309603321.000000,17234956096.000000
12M 2024,-18074767874.000000,28700684528.000000,-25384584824.000000,-5737094668.000000,-10240061035.000000,304725033.000000,-5489765183.000000,-835103157.000000,606431432.000000,-18074767874.000000,,-1001876780.000000,,,,268499470.000000,,-1270376250.000000,-1001876780.000000,9221775744.000000,,12882995992.000000,,,-3601885205.000000,,-59335043.000000,9221775744.000000,-9854868910.000000,,17234956096.000000,7380087186.000000
