Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Usaha,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Final,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Operasi Yang Dihentikan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2017,63494837753.000000,-39409189445.000000,24085648308.000000,-9609914762.000000,-9379214219.000000,-230700543.000000,-9609914762.000000,14475733546.000000,-149569380.000000,19392574.000000,-168961954.000000,-149569380.000000,14326164166.000000,-1587370944.000000,,,-1587370944.000000,-1587370944.000000,12738793222.000000,,12738793222.000000,-18378000.000000,12720415222.000000,12738793222.000000,12738793222.000000,,12738793222.000000,12720415222.000000,12720415222.000000,,12720415222.000000
12M 2018,67492602150.000000,-41345581960.000000,26147020190.000000,-2678434563.000000,-10011383661.000000,7332949098.000000,-2678434563.000000,23468585627.000000,2223464977.000000,2398272920.000000,-174807943.000000,2223464977.000000,25692050604.000000,-1687315054.000000,,,-1687315054.000000,-1687315054.000000,24004735550.000000,,24004735550.000000,19994000.000000,24024729550.000000,24004735550.000000,24004735550.000000,,24004735550.000000,24024729550.000000,24024729550.000000,,24024729550.000000
12M 2019,47825505023.000000,-25853250060.000000,21972254963.000000,-19210069392.000000,-18423981935.000000,-786087457.000000,-19210069392.000000,2762185571.000000,1123811420.000000,7634386255.000000,-6510574835.000000,1123811420.000000,3885996991.000000,-959582820.000000,,,-959582820.000000,-959582820.000000,2926414171.000000,,2926414171.000000,-3649000.000000,2922765171.000000,2926414171.000000,2926414171.000000,,2926414171.000000,2922765171.000000,2922765171.000000,,2922765171.000000
12M 2020,27226572869.000000,-16038739456.000000,11187833413.000000,-19480534741.000000,-20217003144.000000,736468403.000000,-19480534741.000000,-8292701328.000000,-9156386831.000000,3747994472.000000,-12904381303.000000,-9156386831.000000,-17449088159.000000,-499239072.000000,,,-499239072.000000,-499239072.000000,-17948327231.000000,,-17948327231.000000,-12243000.000000,-17960570231.000000,-17948327231.000000,-17948327231.000000,,-17948327231.000000,-17960570231.000000,-17960570231.000000,,-17960570231.000000
12M 2021,42588345942.000000,-21691595268.000000,20896750674.000000,-22714174558.000000,-24242364866.000000,1528190308.000000,-22714174558.000000,-1817423884.000000,-9087774078.000000,2287325568.000000,-11375099646.000000,-9087774078.000000,-10905197962.000000,-696745240.000000,,,-696745240.000000,-696745240.000000,-11601943202.000000,,-11601943202.000000,22406000.000000,-11579537202.000000,-11601943202.000000,-11601943202.000000,,-11601943202.000000,-11579537202.000000,-11579537202.000000,,-11579537202.000000
12M 2022,52968882351.000000,-27320630705.000000,25648251646.000000,-23890866706.000000,-22849088353.000000,-1041778353.000000,-23890866706.000000,1757384940.000000,-8704627218.000000,1222775654.000000,-9927402872.000000,-8704627218.000000,-6947242278.000000,-971393403.000000,,,-971393403.000000,-971393403.000000,-7918635681.000000,,-7918635681.000000,12836000.000000,-7905799681.000000,-7918635681.000000,-7918635681.000000,,-7918635681.000000,-7905799681.000000,-7905799681.000000,,-7905799681.000000
12M 2023,34630899517.000000,-16566743892.000000,18064155625.000000,-21238779063.000000,-20949681336.000000,-289097727.000000,-21238779063.000000,-3174623438.000000,-7999464818.000000,863825506.000000,-8863290324.000000,-7999464818.000000,-11174088256.000000,-568219139.000000,,,-568219139.000000,-568219139.000000,-11742307395.000000,,-11742307395.000000,-2489000.000000,-11744796395.000000,-11742307395.000000,-11742307395.000000,,-11742307395.000000,-11744796395.000000,-11744796395.000000,,-11744796395.000000
12M 2024,48029997488.000000,-24037574228.000000,23992423260.000000,-17193528223.000000,-17705758271.000000,512230048.000000,-17193528223.000000,6798895037.000000,-5185040150.000000,304725033.000000,-5489765183.000000,-5185040150.000000,1613854887.000000,-835103156.000000,,,-835103156.000000,-835103156.000000,778751731.000000,,778751731.000000,27997000.000000,806748731.000000,778751731.000000,778751731.000000,,778751731.000000,806748731.000000,806748731.000000,,806748731.000000
