Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Tetap,Deposito Berjangka,Properti Investasi,Aset Tak Berwujud,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Lain-Lain,Utang Usaha,Beban Akrual,Utang Pajak,Utang Bank,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Pembiayaan Konsumen,Utang Bank Jangka Panjang,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Pembiayaan Konsumen,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2021,,,3479635492.000000,214350000.000000,,,214350000.000000,,1156960041.000000,4850945533.000000,,1414051672.000000,,17311291903.000000,,,18725343575.000000,23576289108.000000,,,3428657307.000000,,,,94652107.000000,,,,234005200.000000,234005200.000000,3100000000.000000,3428657307.000000,8626815000.000000,,416815000.000000,,416815000.000000,8210000000.000000,8626815000.000000,12055472307.000000,,600000000.000000,,10920816801.000000,120000000.000000,10800816801.000000,10920816801.000000,,,11520816801.000000,23576289108.000000,600.000000
12M 2022,,,7156626647.000000,76300000.000000,,,76300000.000000,,2507000003.000000,9739926650.000000,,,,82871600000.000000,,,82871600000.000000,92611526650.000000,,,4847225024.000000,900000.000000,,645000000.000000,430075024.000000,,,,,,3771250000.000000,4847225024.000000,7467067000.000000,,,,,7467067000.000000,7467067000.000000,12314292024.000000,,11000000000.000000,,69297234626.000000,120000000.000000,69177234626.000000,69297234626.000000,,,80297234626.000000,92611526650.000000,1100000000.000000
12M 2023,,,25543893778.000000,6000000.000000,,,6000000.000000,,6032202668.000000,31582096446.000000,,847873000.000000,,90137622619.000000,,2409666660.000000,93395162279.000000,124977258725.000000,,,4491929956.000000,,28588560.000000,299100000.000000,32984396.000000,,,171444000.000000,,171444000.000000,3959813000.000000,4491929956.000000,7186558000.000000,,,257166000.000000,257166000.000000,6929392000.000000,7186558000.000000,11678487956.000000,,14600000000.000000,29241581525.000000,69457189244.000000,120000000.000000,69337189244.000000,69457189244.000000,,,113298770769.000000,124977258725.000000,1460000000.000000
12M 2024,,,5394007962.000000,2330608046.000000,2328861837.000000,1746209.000000,2330608046.000000,,3337480009.000000,11062096017.000000,,3515133548.000000,2000000000.000000,103483454578.000000,,11260700282.000000,120259288408.000000,131321384425.000000,,,9983978459.000000,109892015.000000,,137500000.000000,30376062.000000,1751469444.000000,,171444000.000000,196529787.000000,367973787.000000,7586767151.000000,9983978459.000000,8612076217.000000,,2319470213.000000,85722000.000000,2405192213.000000,6206884004.000000,8612076217.000000,18596054676.000000,,14600077540.000000,28968525696.000000,69184499758.000000,120000000.000000,69064499758.000000,69184499758.000000,913755.000000,-28687000.000000,112725329749.000000,131321384425.000000,1460077540.000000
