Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Untuk Operasional,Penerimaan (Pembayaran) Bunga,Penerimaan (Pembayaran) Pajak,Pembayaran Pajak,Penerimaan Penghasilan Keuangan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Hasil Penjualan Aset Tetap,Perolehan Aset Lain-Lain,Perolehan Entitas Anak,Aset Tak Berwujud,Penambahan Properti Investasi,Hasil Penjualan Properti Investasi,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pembayaran Dividen,Penempatan Deposito,Penerimaan Setoran Modal,Pembayaran Biaya Emisi,Pembayaran Liabilitas Sewa,Pembayaran Utang Pembiayaan Konsumen,Penambahan Piutang Kepada Pihak Berelasi,Penerimaan Utang Bank,Pembayaran Utang Bank Dan Lembaga Keuangan Non Bank,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Pada Awal Periode,Penerimaan (Penurunan) Neto Pinjaman Rekening Koran,Kas Dan Bank Pada Akhir Periode
12M 2021,1623342130.000000,3440000000.000000,-1547330388.000000,-11150677.000000,-310000000.000000,,51823195.000000,1623342130.000000,17050950.000000,-517039960.000000,534090910.000000,,,,,,17050950.000000,-312957800.000000,,,,,,,,,-312957800.000000,-312957800.000000,1327435280.000000,3152200212.000000,,4479635492.000000
12M 2022,892811355.000000,3445366667.000000,-2270474445.000000,-10132374.000000,-361566667.000000,,89618174.000000,892811355.000000,2435000000.000000,,1435000000.000000,,,,,1000000000.000000,2435000000.000000,349179800.000000,-2000000000.000000,,3000000000.000000,,,,,,-650820200.000000,349179800.000000,3676991155.000000,3479635492.000000,,7156626647.000000
12M 2023,-4075613351.000000,3717357000.000000,-7464088735.000000,-15366538.000000,-412860697.000000,-29961886.000000,129307505.000000,-4075613351.000000,-10307266043.000000,-406266043.000000,,-2570000000.000000,,,-7331000000.000000,,-10307266043.000000,32770146525.000000,,,32841581525.000000,,,,,,-71435000.000000,32770146525.000000,18387267131.000000,7156626647.000000,,25543893778.000000
12M 2024,6808031451.000000,8945195492.000000,-1668077909.000000,-458112711.000000,-5258970.000000,-641426270.000000,635711819.000000,6808031451.000000,-18630407974.000000,-3070664700.000000,,,-7175000000.000000,-630707510.000000,-7754035764.000000,,-18630407974.000000,-4439505500.000000,,,1938500.000000,,-4300000000.000000,-171444000.000000,715055520.000000,,-685055520.000000,-4439505500.000000,-16261882023.000000,25724507878.000000,-4067924856.000000,5394700999.000000
