Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,"Pembayaran Kas Kepada Pemasok, Direksi Dan Karyawan",Pembayaran Denda Pajak,Pembayaran Bunga,Penerimaan Bunga,Pembayaran Pajak Penghasilan,Non Pemasok,Pihak Lainnya,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Uang Muka Akuisisi Saham,Kas Yang Dibatasi Penggunaannya,(Kenaikan) Penurunan Piutang Pihak Berelasi,Kenaikan Aset Tidak Lancar Lainnya,Uang Muka Untuk Perolehan Aset Tetap,Hasil Penjualan Aset Tetap,Perolehan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dari Penawaran Umum Perdana Saham,Pembayaran Biaya Penerbitan Saham,Kenaikan Piutang Pihak Berelasi,Kenaikan (Penurunan) Utang Pihak Berelasi,Penerimaan Pinjaman,Pembayaran Pinjaman,Pembayaran Beban Bunga,Pembayaran Liabilitas Sewa,Pembayaran Dividen Entitas Anak,Pembayaran Dividen Entitas Induk,Pembayaran Utang Sewa Pembiayaan Dan Pembiayaan Lainnya,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Pelepasan Entitas Anak,Kas Dan Setara Kas Akhir Periode
12M 2017,260187000000.000000,1519541000000.000000,-1237150000000.000000,-1022000000.000000,,315000000.000000,-20876000000.000000,,-621000000.000000,260187000000.000000,-108030000000.000000,,,,,,19411000000.000000,-127441000000.000000,-108030000000.000000,-172592000000.000000,,,-29138000000.000000,-11111000000.000000,46833000000.000000,-92479000000.000000,-82034000000.000000,,,,-4663000000.000000,-172592000000.000000,-20435000000.000000,57894000000.000000,,37459000000.000000
12M 2018,368970000000.000000,2123978000000.000000,-1714888000000.000000,-6502000000.000000,,294000000.000000,-32288000000.000000,,-1624000000.000000,368970000000.000000,-405058000000.000000,,,,,,40320000000.000000,-445378000000.000000,-405058000000.000000,132529000000.000000,134410000000.000000,,-29641000000.000000,-119616000000.000000,289836000000.000000,-44075000000.000000,-97204000000.000000,,,,-1181000000.000000,132529000000.000000,96441000000.000000,37459000000.000000,-43000000.000000,133857000000.000000
12M 2019,599995000000.000000,2322702000000.000000,-1679233000000.000000,-6041000000.000000,,382000000.000000,-34112000000.000000,,-3703000000.000000,599995000000.000000,-321533000000.000000,,,,,,,-321533000000.000000,-321533000000.000000,-171238000000.000000,,,119000000.000000,-2915000000.000000,305893000000.000000,-258502000000.000000,-127159000000.000000,,-501000000.000000,-77500000000.000000,-10673000000.000000,-171238000000.000000,107224000000.000000,133857000000.000000,,241081000000.000000
12M 2020,295509000000.000000,1689997000000.000000,-1370690000000.000000,-637000000.000000,,749000000.000000,-24847000000.000000,,937000000.000000,295509000000.000000,-109479000000.000000,,,,,,46000000.000000,-109525000000.000000,-109479000000.000000,-392977000000.000000,,,-5097000000.000000,1025000000.000000,6318000000.000000,-255622000000.000000,-108660000000.000000,,,-25000000000.000000,-5941000000.000000,-392977000000.000000,-206947000000.000000,241081000000.000000,,34134000000.000000
12M 2021,452680000000.000000,1787076000000.000000,-1305755000000.000000,-3224000000.000000,,542000000.000000,-25730000000.000000,,-229000000.000000,452680000000.000000,-312579000000.000000,,,,,,342000000.000000,-312921000000.000000,-312579000000.000000,-42735000000.000000,,,1902000000.000000,824000000.000000,325950000000.000000,-270241000000.000000,-93677000000.000000,,-71000000.000000,,-7422000000.000000,-42735000000.000000,97366000000.000000,34134000000.000000,,131500000000.000000
12M 2022,445367000000.000000,1838598000000.000000,-1365204000000.000000,-453000000.000000,,849000000.000000,-28423000000.000000,,,445367000000.000000,-332633000000.000000,,,,-25764000000.000000,-45052000000.000000,108000000.000000,-261925000000.000000,-332633000000.000000,-154502000000.000000,,,-8283000000.000000,7349000000.000000,192547000000.000000,-240350000000.000000,-89377000000.000000,,-574000000.000000,-15000000000.000000,-814000000.000000,-154502000000.000000,-41768000000.000000,131500000000.000000,,89732000000.000000
12M 2023,535835000000.000000,1695229000000.000000,-1128896000000.000000,-2834000000.000000,,1757000000.000000,-29421000000.000000,,,535835000000.000000,-576302000000.000000,,-6453000000.000000,66512000000.000000,-1123000000.000000,67060000000.000000,346000000.000000,-702644000000.000000,-576302000000.000000,34031000000.000000,,,,24729000000.000000,393575000000.000000,-251924000000.000000,-91857000000.000000,-777000000.000000,-1372000000.000000,-35000000000.000000,-3343000000.000000,34031000000.000000,-6436000000.000000,79252000000.000000,,72816000000.000000
12M 2024,602435000000.000000,1870213000000.000000,-1221617000000.000000,-13265000000.000000,,2147000000.000000,-35043000000.000000,,,602435000000.000000,-527708000000.000000,,-26616000000.000000,-66165000000.000000,24883000000.000000,-162274000000.000000,222028000000.000000,-519564000000.000000,-527708000000.000000,-71625000000.000000,,,,-33563000000.000000,1050842000000.000000,-913832000000.000000,-108186000000.000000,-4432000000.000000,-1400000000.000000,-50000000000.000000,-11054000000.000000,-71625000000.000000,3102000000.000000,72816000000.000000,,75918000000.000000
