Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Usaha,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Laba (Rugi) Selisih Kurs,Bagian Atas Hasil Bersih Entitas Asosiasi,Keuntungan Atas Penjualan Entitas Anak,Laba (Rugi) Atas Penjualan Aset Tetap,Final,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2017,1526154000000.000000,-1230937000000.000000,295217000000.000000,-107521000000.000000,-106378000000.000000,-1143000000.000000,-107521000000.000000,187696000000.000000,-80778000000.000000,250000000.000000,,,276000000.000000,,-80604000000.000000,-700000000.000000,-80778000000.000000,106918000000.000000,-914000000.000000,106004000000.000000,204856000000.000000,310860000000.000000,106004000000.000000,102672000000.000000,3332000000.000000,106004000000.000000,310860000000.000000,281253000000.000000,29607000000.000000,310860000000.000000
12M 2018,2287702000000.000000,-1788687000000.000000,499015000000.000000,-134303000000.000000,-129179000000.000000,-5124000000.000000,-134303000000.000000,364712000000.000000,-96989000000.000000,-6559000000.000000,,2600000000.000000,6389000000.000000,,-92488000000.000000,-6931000000.000000,-96989000000.000000,267723000000.000000,-2113000000.000000,265610000000.000000,3019000000.000000,268629000000.000000,265610000000.000000,253946000000.000000,11664000000.000000,265610000000.000000,268629000000.000000,256888000000.000000,11741000000.000000,268629000000.000000
12M 2019,2287888000000.000000,-1760439000000.000000,527449000000.000000,-129456000000.000000,-122986000000.000000,-6470000000.000000,-129456000000.000000,397993000000.000000,-128043000000.000000,-4008000000.000000,,,,,-120169000000.000000,-3866000000.000000,-128043000000.000000,269950000000.000000,-461000000.000000,269489000000.000000,4561000000.000000,274050000000.000000,269489000000.000000,263502000000.000000,5987000000.000000,269489000000.000000,274050000000.000000,267995000000.000000,6055000000.000000,274050000000.000000
12M 2020,1648031000000.000000,-1364217000000.000000,283814000000.000000,-114533000000.000000,-114533000000.000000,,-114533000000.000000,169281000000.000000,-111395000000.000000,3291000000.000000,,,46000000.000000,,-103570000000.000000,-11162000000.000000,-111395000000.000000,57886000000.000000,-156000000.000000,57730000000.000000,-32537000000.000000,25193000000.000000,57730000000.000000,56130000000.000000,1600000000.000000,57730000000.000000,25193000000.000000,26149000000.000000,-956000000.000000,25193000000.000000
12M 2021,1670829000000.000000,-1348278000000.000000,322551000000.000000,-114309000000.000000,-114309000000.000000,,-114309000000.000000,208242000000.000000,-122831000000.000000,-1757000000.000000,,,334000000.000000,-24881000000.000000,-86843000000.000000,-9684000000.000000,-122831000000.000000,85411000000.000000,-833000000.000000,84578000000.000000,24208000000.000000,108786000000.000000,84578000000.000000,78745000000.000000,5833000000.000000,84578000000.000000,108786000000.000000,100883000000.000000,7903000000.000000,108786000000.000000
12M 2022,1758131000000.000000,-1383758000000.000000,374373000000.000000,-137867000000.000000,-137867000000.000000,,-137867000000.000000,236506000000.000000,-119808000000.000000,-3928000000.000000,,,19000000.000000,-27399000000.000000,-81786000000.000000,-6714000000.000000,-119808000000.000000,116698000000.000000,-1031000000.000000,115667000000.000000,7658000000.000000,123325000000.000000,115667000000.000000,108626000000.000000,7041000000.000000,115667000000.000000,123325000000.000000,115870000000.000000,7455000000.000000,123325000000.000000
12M 2023,1825584000000.000000,-1348819000000.000000,476765000000.000000,-157806000000.000000,-157806000000.000000,,-157806000000.000000,318959000000.000000,-129254000000.000000,-129000000.000000,,,346000000.000000,-28395000000.000000,-92651000000.000000,-8425000000.000000,-129254000000.000000,189705000000.000000,-1027000000.000000,188678000000.000000,295610000000.000000,484288000000.000000,188678000000.000000,181365000000.000000,7313000000.000000,188678000000.000000,484288000000.000000,460104000000.000000,24184000000.000000,484288000000.000000
12M 2024,1926145000000.000000,-1396518000000.000000,529627000000.000000,-157943000000.000000,-157943000000.000000,,-157943000000.000000,371684000000.000000,-278584000000.000000,-9529000000.000000,,,-111599000000.000000,-31945000000.000000,-108158000000.000000,-17353000000.000000,-278584000000.000000,93100000000.000000,-3901000000.000000,89199000000.000000,5660000000.000000,94859000000.000000,89199000000.000000,85375000000.000000,3824000000.000000,89199000000.000000,94859000000.000000,90678000000.000000,4181000000.000000,94859000000.000000
