Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Umum Dan Administrasi,Beban Karyawan,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Adjustment,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2018,4522315487000.000000,-3167318380000.000000,1354997107000.000000,-168446842000.000000,-155127592000.000000,-115806287000.000000,102487037000.000000,-168446842000.000000,1186550265000.000000,-581750460000.000000,18564829000.000000,-600315289000.000000,-581750460000.000000,604799805000.000000,-155157992000.000000,,,,-155157992000.000000,449641813000.000000,,449641813000.000000,945611000.000000,945611000.000000,945611000.000000,450587424000.000000,449641813000.000000,449641813000.000000,,449641813000.000000,450587424000.000000,450587424000.000000,,450587424000.000000
12M 2019,5326316902000.000000,-3651562991000.000000,1674753911000.000000,-357004042000.000000,-192975040000.000000,-149941626000.000000,-14087376000.000000,-357004042000.000000,1317749869000.000000,-680484115000.000000,45157844000.000000,-725641959000.000000,-680484115000.000000,637265754000.000000,-143925038000.000000,,,,-143925038000.000000,493340716000.000000,,493340716000.000000,-875659000.000000,-875659000.000000,-875659000.000000,492465057000.000000,493340716000.000000,493340716000.000000,,493340716000.000000,492465057000.000000,492465057000.000000,,492465057000.000000
12M 2020,6186730239000.000000,-4077114734000.000000,2109615505000.000000,-411393020000.000000,-198257104000.000000,-224464814000.000000,11328898000.000000,-411393020000.000000,1698222485000.000000,-986470090000.000000,39521561000.000000,-1025991651000.000000,-986470090000.000000,711752395000.000000,-109787943000.000000,,,,-109787943000.000000,601964452000.000000,,601964452000.000000,-5479110000.000000,-5479110000.000000,-5479110000.000000,596485342000.000000,601964452000.000000,601964452000.000000,,601964452000.000000,596485342000.000000,596485342000.000000,,596485342000.000000
12M 2021,6869568721000.000000,-3651171165000.000000,3218397556000.000000,-478218251000.000000,-206815501000.000000,-254750579000.000000,-16652171000.000000,-478218251000.000000,2740179305000.000000,-1128836955000.000000,75537816000.000000,-1204374771000.000000,-1128836955000.000000,1611342350000.000000,-230271123000.000000,,,,-230271123000.000000,1381071227000.000000,,1381071227000.000000,7877527000.000000,7877527000.000000,7877527000.000000,1388948754000.000000,1381071227000.000000,1381071227000.000000,,1381071227000.000000,1388948754000.000000,1388948754000.000000,,1388948754000.000000
12M 2022,7728929831000.000000,-4074861777000.000000,3654068054000.000000,-500730427000.000000,-264706043000.000000,-252601539000.000000,16577155000.000000,-500730427000.000000,3153337627000.000000,-1193515949000.000000,330727424000.000000,-1524243373000.000000,-1193515949000.000000,1959821678000.000000,-174753819000.000000,,,,-174753819000.000000,1785067859000.000000,,1785067859000.000000,-613843000.000000,-613843000.000000,-613843000.000000,1784454016000.000000,1785067859000.000000,1785067859000.000000,,1785067859000.000000,1784454016000.000000,1784454016000.000000,,1784454016000.000000
12M 2023,8683800000000.000000,-4408555000000.000000,4275245000000.000000,-597655000000.000000,-298209000000.000000,-284954000000.000000,-14492000000.000000,-597655000000.000000,3677590000000.000000,-1523728000000.000000,142635000000.000000,-1666363000000.000000,-1523728000000.000000,2153862000000.000000,-132304000000.000000,,,,-132304000000.000000,2021558000000.000000,,2010328000000.000000,1769000000.000000,43000000.000000,1769000000.000000,2012140000000.000000,2010328000000.000000,2010328000000.000000,,2010328000000.000000,2012140000000.000000,2012140000000.000000,,2012140000000.000000
12M 2024,9307786000000.000000,-4506730000000.000000,4801056000000.000000,-622110000000.000000,-322387000000.000000,-299415000000.000000,-308000000.000000,-622110000000.000000,4178946000000.000000,-1917626000000.000000,35646000000.000000,-1953272000000.000000,-1917626000000.000000,2261320000000.000000,-157324000000.000000,,,,-157324000000.000000,2103996000000.000000,,2107671000000.000000,523000000.000000,,523000000.000000,2108194000000.000000,2107671000000.000000,2107671000000.000000,,2107671000000.000000,2108194000000.000000,2108194000000.000000,,2108194000000.000000
