Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Tetap,Aset Tak Berwujud,Goodwill,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Surat Berharga Jangka Menengah,Pinjaman Jangka Pendek,Utang Obligasi,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Pinjaman Jangka Panjang,Utang Sewa Pembiayaan,Utang Pembiayaan Konsumen,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Pinjaman Jangka Panjang,Utang Sewa Pembiayaan,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2018,,,316129348000.000000,1047485386000.000000,295562586000.000000,751922800000.000000,1047485386000.000000,685210207000.000000,2048824941000.000000,,9983505490000.000000,71246118000.000000,,,949647715000.000000,11004399323000.000000,13053224264000.000000,,,3677517868000.000000,,,,,1216979134000.000000,39591717000.000000,1256570851000.000000,9436178000.000000,,,9436178000.000000,24458142000.000000,1107577735000.000000,,755301914000.000000,,61845269000.000000,817147183000.000000,462327779000.000000,3677517868000.000000,6489808728000.000000,,6406501212000.000000,,6406501212000.000000,15029537000.000000,68277979000.000000,6489808728000.000000,10167326596000.000000,,484673939000.000000,-40217553000.000000,2441713174000.000000,97967950000.000000,2343745224000.000000,2441713174000.000000,-271892000.000000,2885897668000.000000,13053224264000.000000,212576289.000000
12M 2019,,,347457529000.000000,1282787020000.000000,299778240000.000000,983008780000.000000,1282787020000.000000,1245854176000.000000,2876098725000.000000,,14508618941000.000000,702760022000.000000,466719136000.000000,,1536974394000.000000,17215072493000.000000,20091171218000.000000,,,4931313094000.000000,,,,,775757021000.000000,27150564000.000000,802907585000.000000,12039078000.000000,,,12039078000.000000,87342816000.000000,1620340448000.000000,,1675884463000.000000,,141850000.000000,1676026313000.000000,732656854000.000000,4931313094000.000000,7428560959000.000000,,7093863794000.000000,,7093863794000.000000,73528893000.000000,261168272000.000000,7428560959000.000000,12359874053000.000000,,4928534941000.000000,-40217553000.000000,2845127328000.000000,97967950000.000000,2747159378000.000000,2845127328000.000000,-2147551000.000000,7731297165000.000000,20091171218000.000000,2161638132.000000
12M 2020,,,516025575000.000000,1469445077000.000000,489569956000.000000,979875121000.000000,1469445077000.000000,908331696000.000000,2893802348000.000000,,17604473453000.000000,1114851582000.000000,466719136000.000000,,3205365424000.000000,22391409595000.000000,25285211943000.000000,,,7347938748000.000000,,,,,1080653432000.000000,116787698000.000000,1197441130000.000000,16969952000.000000,,,16969952000.000000,35752656000.000000,1283064332000.000000,,3649660969000.000000,337094987000.000000,,3986755956000.000000,827954722000.000000,7347938748000.000000,9774125699000.000000,,8710594197000.000000,734956572000.000000,9445550769000.000000,17924113000.000000,310650817000.000000,9774125699000.000000,17122064447000.000000,,4928534941000.000000,-40217553000.000000,3282456769000.000000,149575792000.000000,3132880977000.000000,3282456769000.000000,-7626661000.000000,8163147496000.000000,25285211943000.000000,2161638132.000000
12M 2021,,,19133193156000.000000,1117520120000.000000,257992088000.000000,859528032000.000000,1117520120000.000000,1052085258000.000000,21302798534000.000000,,29568386331000.000000,975501421000.000000,466719136000.000000,134971000.000000,5414777893000.000000,36425519752000.000000,57728318286000.000000,,,6475515478000.000000,,,,,1248324627000.000000,24910305000.000000,1273234932000.000000,15408986000.000000,,,15408986000.000000,91306369000.000000,1035540440000.000000,,2405550160000.000000,422341097000.000000,,2827891257000.000000,1232133494000.000000,6475515478000.000000,17607192988000.000000,,15665427725000.000000,1465475694000.000000,17130903419000.000000,64387273000.000000,411902296000.000000,17607192988000.000000,24082708466000.000000,,19041523249000.000000,13066552238000.000000,1537283467000.000000,156212240000.000000,1381071227000.000000,1537283467000.000000,250866000.000000,33645609820000.000000,57728318286000.000000,83515452844.000000
12M 2022,,,6338773319000.000000,1050232664000.000000,184992736000.000000,865239928000.000000,1050232664000.000000,497431750000.000000,7886437733000.000000,,39328413074000.000000,922288123000.000000,466719136000.000000,122066000.000000,7467578632000.000000,48185121031000.000000,56071558764000.000000,,,10200552606000.000000,,3300000000000.000000,,,1649484316000.000000,242370126000.000000,1891854442000.000000,12541666000.000000,,,12541666000.000000,74428769000.000000,1052520071000.000000,,2322183566000.000000,285694651000.000000,,2607878217000.000000,1261329441000.000000,10200552606000.000000,12063572448000.000000,,9667638748000.000000,1935055521000.000000,11602694269000.000000,89253097000.000000,371625082000.000000,12063572448000.000000,22264125054000.000000,,19046959110000.000000,13082011307000.000000,2356077537000.000000,225265801000.000000,2130811736000.000000,2356077537000.000000,-677614244000.000000,33807433710000.000000,56071558764000.000000,83539294344.000000
12M 2023,,,890320000000.000000,1635865000000.000000,382068000000.000000,1253797000000.000000,1635865000000.000000,933470000000.000000,3459655000000.000000,,43996528000000.000000,1018465000000.000000,466719000000.000000,112000000.000000,8337236000000.000000,53819060000000.000000,57278715000000.000000,,,11124294000000.000000,548274000000.000000,3450000000000.000000,,,1790302000000.000000,322598000000.000000,2112900000000.000000,17563000000.000000,,,17563000000.000000,74164000000.000000,1100787000000.000000,,2392881000000.000000,359477000000.000000,,2752358000000.000000,1068248000000.000000,11124294000000.000000,12036069000000.000000,,9713389000000.000000,2080650000000.000000,11794039000000.000000,133326000000.000000,108704000000.000000,12036069000000.000000,23160363000000.000000,,19050020000000.000000,13090254000000.000000,2599187000000.000000,243115000000.000000,2356072000000.000000,2599187000000.000000,-621109000000.000000,34118352000000.000000,57278715000000.000000,83552719544.000000
12M 2024,,,596554000000.000000,2003772000000.000000,749809000000.000000,1253963000000.000000,2003772000000.000000,846200000000.000000,3446526000000.000000,,45240235000000.000000,949926000000.000000,466719000000.000000,3865000000.000000,8032431000000.000000,54693176000000.000000,58139702000000.000000,,,12285940000000.000000,,4219000000000.000000,247358000000.000000,,1799651000000.000000,177701000000.000000,1977352000000.000000,23416000000.000000,,,23416000000.000000,85743000000.000000,1332314000000.000000,,3243053000000.000000,373031000000.000000,,3616084000000.000000,784673000000.000000,12285940000000.000000,12467068000000.000000,,10168163000000.000000,2045446000000.000000,12213609000000.000000,144949000000.000000,108510000000.000000,12467068000000.000000,24753008000000.000000,,19051597000000.000000,12534459000000.000000,3202577000000.000000,283322000000.000000,2919255000000.000000,3202577000000.000000,-1401939000000.000000,33386694000000.000000,58139702000000.000000,83559636344.000000
