Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Penghasilan Pendanaan Diterima,Pembayaran Kas Untuk Beban Usaha,Adjustment,Penerimaan Atas Restitusi Pajak,Pembayaran Pajak Penghasilan,Penerimaan (Pengeluaran) Lain-Lain,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Hasil Dari Pelepasan Aset Tetap,Uang Muka Untuk Perolehan Aset Tetap,Pembelian Reksadana,Penjualan Reksadana,Reksadana Diukur Nilai Wajar Melalui Laporan Laba Rugi,Penambahan Aset Tidak Berwujud,Penambahan Aset Lancar Lainnya,Keuntungan Pelepasan Aset Keuangan,Pembayaran Untuk Akuisisi Entitas Anak,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penambahan Modal Saham,Hasil Penawaran Umum Perdana Dikurangi Biaya Penerbitan,Penerimaan Pinjaman Jangka Panjang,Pembayaran Pinjaman Jangka Panjang,Penerimaan Pinjaman Jangka Pendek,Pembayaran Pinjaman Jangka Pendek,Penerimaan Obligasi,Penerimaan Dari Surat Utang Jangka Menengah,Pembayaran Dari Surat Utang Jangka Menengah,Pembayaran Dividen Kas,Kas Dibayarkan Kepada Pemegang Saham,Penambahan Modal Disetor Dari Mesop,Pembayaran Liabilitas Sewa,Penerimaan Utang Pembiayaan Konsumen,Pembayaran Utang Pembiayaan Konsumen,Pembelian Saham Treasuri,Pembayaran Bunga,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Atas Entitas Anak Yang Diakuisisi,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2018,320011143000.000000,3212520950000.000000,19786293000.000000,-3239459194000.000000,,574521011000.000000,-231672671000.000000,-15685246000.000000,320011143000.000000,-1401094870000.000000,-1356957006000.000000,,-40082564000.000000,,,,-4055300000.000000,,,,-1401094870000.000000,208489904000.000000,,,2525000000000.000000,-1683824406000.000000,,,,,,-81478678000.000000,,,,,-10113283000.000000,,-541093729000.000000,208489904000.000000,-872593823000.000000,,1188724171000.000000,316130348000.000000
12M 2019,1666739951000.000000,5691397874000.000000,45072391000.000000,-3918188053000.000000,,135978192000.000000,-282804845000.000000,-4715608000.000000,1666739951000.000000,-6294622538000.000000,-4467523471000.000000,,-32321939000.000000,,,,-681677128000.000000,,,-1113100000000.000000,-6294622538000.000000,4635161468000.000000,4443861002000.000000,,2219000000000.000000,-1102293805000.000000,,,,,,-89926562000.000000,,,,,-61703419000.000000,,-773775748000.000000,4635161468000.000000,7278881000.000000,24049300000.000000,316129348000.000000,347457529000.000000
12M 2020,3864723133000.000000,5998575488000.000000,39658751000.000000,-2497032486000.000000,,648141082000.000000,-314583466000.000000,-10036236000.000000,3864723133000.000000,-5181319397000.000000,-4602047224000.000000,,-55564328000.000000,,,,-523707845000.000000,,,,-5181319397000.000000,1485164310000.000000,,,6010100000000.000000,-2409282321000.000000,,,,,,-103215683000.000000,,,-1436207757000.000000,,-141850000.000000,,-576088079000.000000,1485164310000.000000,168568046000.000000,,347457529000.000000,516025575000.000000
12M 2021,5363187168000.000000,7720072742000.000000,75411795000.000000,-3310938497000.000000,,1177966301000.000000,-281373998000.000000,-17951175000.000000,5363187168000.000000,-12597047043000.000000,-12405658807000.000000,36454778000.000000,-129295506000.000000,,,,-39963299000.000000,,,-58584209000.000000,-12597047043000.000000,25851027456000.000000,6999999999000.000000,18463293445000.000000,11194000000000.000000,-5465442068000.000000,,,,,,-2181039874000.000000,,,-2332383896000.000000,,,,-827400150000.000000,25851027456000.000000,18617167581000.000000,,516025575000.000000,19133193156000.000000
12M 2022,6019653586000.000000,8073655581000.000000,329655419000.000000,-3841936955000.000000,,1835639284000.000000,-364211362000.000000,-13148381000.000000,6019653586000.000000,-10893296640000.000000,-10481849178000.000000,,-136943057000.000000,,,-200000000000.000000,-74504405000.000000,,,,-10893296640000.000000,-7920776783000.000000,,,4530000000000.000000,-10620235516000.000000,4300000000000.000000,-1000000000000.000000,,,,-966273789000.000000,,17165880000.000000,-2607429136000.000000,,,-681215455000.000000,-892788767000.000000,-7920776783000.000000,-12794419837000.000000,,19133193156000.000000,6338773319000.000000
12M 2023,5206963000000.000000,9042136000000.000000,144373000000.000000,-3447069000000.000000,,132897000000.000000,-652612000000.000000,-12762000000.000000,5206963000000.000000,-6555803000000.000000,-6339542000000.000000,,-18216000000.000000,-200000000000.000000,200000000000.000000,20303000000.000000,-218348000000.000000,,,,-6555803000000.000000,-4108316000000.000000,,,3269886000000.000000,-3289941000000.000000,5650000000000.000000,-5500000000000.000000,,550000000000.000000,,-1767219000000.000000,,8366000000.000000,-1815301000000.000000,,,-30940000000.000000,-1183167000000.000000,-4108316000000.000000,-5457156000000.000000,,6347476000000.000000,890320000000.000000
12M 2024,6632221000000.000000,9928237000000.000000,36201000000.000000,-3082540000000.000000,,480364000000.000000,-721108000000.000000,-8933000000.000000,6632221000000.000000,-3489876000000.000000,-2879105000000.000000,145634000000.000000,-127613000000.000000,-150000000000.000000,,226469000000.000000,-55261000000.000000,,,-650000000000.000000,-3489876000000.000000,-3436111000000.000000,,,7571307000000.000000,-6269587000000.000000,6441000000000.000000,-5672000000000.000000,250240000000.000000,,-550000000000.000000,-1504281000000.000000,,4035000000.000000,-1803537000000.000000,,,-705437000000.000000,-1197851000000.000000,-3436111000000.000000,-293766000000.000000,,890320000000.000000,596554000000.000000
