Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,"Pengeluaran Kas Kepada Pemasok, Karyawan Dan Beban Operasi Lainnya :",Pemasok,Karyawan,Beban Operasi Lain,"Total Pengeluaran Kas Kepada Pemasok, Karyawan Dan Beban Operasi Lainnya :",Adjustment,Penerimaan Dari:,Penghasilan Bunga,Penerimaan Kas Dari Tagihan Pengembalian Pajak Dan Pajak Pertambahan Nilai,Total Penerimaan Dari:,Pembayaran Atas:,Beban Bunga,Pajak Penghasilan,Total Pembayaran Atas:,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Uang Muka Pembelian Aset Tetap,Akuisisi Entitas Anak,Hasil Penjualan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Pinjaman Bank Jangka Pendek,Penerimaan Pinjaman Bank Jangka Panjang,Penerbitan Saham Baru Sehubungan Dengan Penawaran Umum Perdana,Penurunan (Penambahan) Kas Di Bank Dan Deposito Berjangka Yang Dibatasi Penggunaannya,Pembayaran Kas Pinjaman Bank Jangka Pendek,Pembayaran Kas Pinjaman Bank Jangka Panjang,Penerimaan (Pembayaran) Kas Dari Pihak Berelasi,Pembayaran Kas Utang Pembiayan Konsumen,Pembayaran Dividen,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2017,-23959639.000000,113382899.000000,,-123478118.000000,-8485075.000000,,-131963193.000000,,,2752.000000,309198.000000,311950.000000,,-5679882.000000,-11413.000000,-5691295.000000,-23959639.000000,-11191688.000000,-4668353.000000,,-6536621.000000,13286.000000,-11191688.000000,35641821.000000,342315058.000000,850000.000000,,-2684098.000000,-323922937.000000,-2143055.000000,21242903.000000,-16050.000000,,35641821.000000,490494.000000,2152548.000000,2643042.000000
12M 2018,248698.000000,146866807.000000,,-127396523.000000,-11566537.000000,,-138963060.000000,,,129087.000000,,129087.000000,,-6662806.000000,-1121330.000000,-7784136.000000,248698.000000,-20676051.000000,-20676051.000000,,,,-20676051.000000,20148869.000000,405913294.000000,,,-3171689.000000,-379595640.000000,-2962043.000000,,-35053.000000,,20148869.000000,-278484.000000,2643042.000000,2364558.000000
12M 2019,-14275840.000000,143536408.000000,,-133328755.000000,-13738579.000000,,-147067334.000000,,,160409.000000,480661.000000,641070.000000,,-8683959.000000,-2702025.000000,-11385984.000000,-14275840.000000,-9953441.000000,-9961886.000000,,,8445.000000,-9953441.000000,24439857.000000,433848504.000000,5900000.000000,,-1735307.000000,-416932967.000000,-2554637.000000,5973403.000000,-59139.000000,,24439857.000000,210576.000000,2364558.000000,2575134.000000
12M 2020,3279633.000000,168649091.000000,,-144054393.000000,-14560598.000000,,-158614991.000000,,,161652.000000,2342850.000000,2504502.000000,,-8963404.000000,-295565.000000,-9258969.000000,3279633.000000,-2241813.000000,-2241813.000000,,,,-2241813.000000,-1995910.000000,477594242.000000,240833.000000,8401387.000000,207161.000000,-485049928.000000,-3332184.000000,-25463.000000,-31958.000000,,-1995910.000000,-958090.000000,2575134.000000,1617044.000000
12M 2021,6184255.000000,159281969.000000,,-129485154.000000,-14580412.000000,,-144065566.000000,,,16181.000000,1215543.000000,1231724.000000,,-8548716.000000,-1715156.000000,-10263872.000000,6184255.000000,-3950545.000000,-4022343.000000,,,71798.000000,-3950545.000000,-1730934.000000,433452813.000000,954177.000000,,-2877692.000000,-424250861.000000,-2544003.000000,-5947940.000000,-25591.000000,-491837.000000,-1730934.000000,502776.000000,1617044.000000,2119820.000000
12M 2022,6447246.000000,190035070.000000,,-157104230.000000,-16887229.000000,,-173991459.000000,,,46841.000000,1576532.000000,1623373.000000,,-8492267.000000,-2727471.000000,-11219738.000000,6447246.000000,-14246721.000000,-13713425.000000,-533296.000000,,,-14246721.000000,15255937.000000,494414008.000000,6746248.000000,,-937042.000000,-479843460.000000,-5077496.000000,,-46321.000000,,15255937.000000,7456462.000000,2119820.000000,9576282.000000
12M 2023,-3972178.000000,184128316.000000,,-162833135.000000,-14763732.000000,,-177596867.000000,,,49310.000000,1497779.000000,1547089.000000,,-10574228.000000,-1476488.000000,-12050716.000000,-3972178.000000,-9818492.000000,-9676813.000000,-141679.000000,,,-9818492.000000,15089963.000000,406298298.000000,4250047.000000,,2356394.000000,-395945973.000000,-1841158.000000,,-27645.000000,,15089963.000000,1299293.000000,9576282.000000,10875575.000000
