Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2017,(325 B),(63 B),(388 B),-1939260.18
12M 2018,4 B,(299 B),(296 B),-1479042.49
12M 2019,(198 B),(138 B),(337 B),-1684643.15
12M 2020,46 B,(32 B),15 B,6.22
12M 2021,88 B,(57 B),31 B,13.12
12M 2022,101 B,(214 B),(113 B),-48.15
12M 2023,(61 B),(149 B),(211 B),-89.56
