Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Persediaan,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Properti Pertambangan,Aset Tetap,Goodwill,Aset Tak Berwujud,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Beban Akrual,Utang Pajak,Others,Total Utang Pajak,Utang Royalti,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank,Utang Sewa Pembiayaan,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Senior Notes,Utang Lain-Lain,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Dari Pihak Ketiga,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank,Utang Sewa Pembiayaan,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Senior Notes,Liabilitas Pajak Tangguhan,Utang Jangka Panjang Dari Pihak Berelasi,Utang Lain-Lain,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2021,,,1503070000.000000,413991000.000000,37509000.000000,376482000.000000,413991000.000000,72560000.000000,132688000.000000,133000.000000,132555000.000000,132688000.000000,306872000.000000,2429181000.000000,,4799000.000000,4799000.000000,,4799000.000000,643672000.000000,474806000.000000,737278000.000000,432000.000000,66057000.000000,1834585000.000000,3761629000.000000,6190810000.000000,,,1095851000.000000,,127854000.000000,135971000.000000,263825000.000000,47088000.000000,,305005000.000000,305005000.000000,3352000.000000,,100022000.000000,3574000.000000,103596000.000000,,13439000.000000,359546000.000000,1095851000.000000,1472909000.000000,3614000.000000,,362990000.000000,7971000.000000,370961000.000000,740118000.000000,99567000.000000,79504000.000000,9495000.000000,169650000.000000,1472909000.000000,2568760000.000000,,2366335000.000000,-212235000.000000,1194177000.000000,,,1194177000.000000,297333000.000000,-23560000.000000,3622050000.000000,6190810000.000000,7008202560.000000
12M 2022,,,3380339000.000000,609013000.000000,84981000.000000,524032000.000000,609013000.000000,120096000.000000,16639000.000000,2208000.000000,14431000.000000,16639000.000000,200688000.000000,4326775000.000000,,66600000.000000,,66600000.000000,66600000.000000,467828000.000000,417669000.000000,737278000.000000,2100000.000000,54443000.000000,1893393000.000000,3639311000.000000,7966086000.000000,,,2117564000.000000,,139371000.000000,138399000.000000,277770000.000000,101399000.000000,,1091449000.000000,1091449000.000000,23519000.000000,,104307000.000000,6002000.000000,110309000.000000,,15553000.000000,497565000.000000,2117564000.000000,1340306000.000000,3256000.000000,,306571000.000000,7679000.000000,314250000.000000,700890000.000000,73749000.000000,71504000.000000,7291000.000000,169366000.000000,1340306000.000000,3457870000.000000,,2366335000.000000,-212235000.000000,1617570000.000000,,,1617570000.000000,392503000.000000,344043000.000000,4508216000.000000,7966086000.000000,7008202560.000000
12M 2023,,,2534480000.000000,416274000.000000,107715000.000000,308559000.000000,416274000.000000,65090000.000000,16835000.000000,546000.000000,16289000.000000,16835000.000000,237485000.000000,3270164000.000000,,53700000.000000,,53700000.000000,53700000.000000,438216000.000000,532512000.000000,737278000.000000,2296000.000000,49095000.000000,1979655000.000000,3792752000.000000,7062916000.000000,,,1798306000.000000,,201074000.000000,184567000.000000,385641000.000000,189027000.000000,,54743000.000000,54743000.000000,3273000.000000,,58396000.000000,6764000.000000,65160000.000000,697189000.000000,11218000.000000,392055000.000000,1798306000.000000,474146000.000000,3013000.000000,,122050000.000000,3592000.000000,125642000.000000,,66305000.000000,68173000.000000,5227000.000000,205786000.000000,474146000.000000,2272452000.000000,,2366335000.000000,-212235000.000000,1842560000.000000,,,1842560000.000000,424464000.000000,369340000.000000,4790464000.000000,7062916000.000000,7008202560.000000
12M 2024,,,1518688000.000000,401508000.000000,96693000.000000,304815000.000000,401508000.000000,68549000.000000,17609000.000000,546000.000000,17063000.000000,17609000.000000,207698000.000000,2214052000.000000,,40500000.000000,,40500000.000000,40500000.000000,416209000.000000,974740000.000000,737278000.000000,2335000.000000,42223000.000000,1565321000.000000,3778606000.000000,5992658000.000000,,,872699000.000000,,295542000.000000,172642000.000000,468184000.000000,267135000.000000,,25351000.000000,25351000.000000,21085000.000000,,40884000.000000,2656000.000000,43540000.000000,,29137000.000000,18267000.000000,872699000.000000,1756477000.000000,18248000.000000,,645705000.000000,2352000.000000,648057000.000000,,60440000.000000,776335000.000000,17556000.000000,235841000.000000,1756477000.000000,2629176000.000000,,2519582000.000000,-96511000.000000,439841000.000000,45000000.000000,394841000.000000,439841000.000000,364591000.000000,135979000.000000,3363482000.000000,5992658000.000000,7786891760.000000
