Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kepada Karyawan,Pembayaran Kas Kepada Pemasok,Pembayaran Untuk Beban Operasional Lainnya,Pembayaran (Penerimaan) Pajak,Pembayaran Bunga,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Uang Muka Untuk Perolehan Aset Tetap,Hasil Penjualan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penambahan Modal Disetor,Pembayaran Biaya Emisi,Penerimaan Hasil Penjualan Saham Treasuri,Utang Bank,Penerimaan,Pembayaran,Total Utang Bank,Utang Pembiayaan Konsumen,Pembayaran,Total Utang Pembiayaan Konsumen,Pembayaran Liabilitas Sewa,Pembayaran Dividen,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2021,6019805219.000000,38449381682.000000,-6087531772.000000,-26450006793.000000,233267724.000000,-30916125.000000,-94389497.000000,6019805219.000000,,,,,,-6230302897.000000,,,,,500000000.000000,-293079147.000000,206920853.000000,,-9990000.000000,-9990000.000000,-6427233750.000000,,-6230302897.000000,-210497678.000000,218666566.000000,8168888.000000
12M 2022,563784910.000000,33945334791.000000,-4390567782.000000,-25971183574.000000,-2471120045.000000,-30907125.000000,-517771355.000000,563784910.000000,,,,,,-84165580.000000,,,,,5000000000.000000,-396050380.000000,4603949620.000000,,-160190200.000000,-160190200.000000,-2327925000.000000,-2200000000.000000,-84165580.000000,479619330.000000,8168888.000000,487788218.000000
12M 2023,7313776451.000000,93635483069.000000,-11832783169.000000,-71812447003.000000,-1761801026.000000,-55000000.000000,-859675420.000000,7313776451.000000,-5899838217.000000,-5978838217.000000,,79000000.000000,-5899838217.000000,-1310346757.000000,4250000000.000000,,150000000.000000,,,-175137317.000000,-175137317.000000,,-1035209440.000000,-1035209440.000000,,-4500000000.000000,-1310346757.000000,103591477.000000,487788218.000000,591379695.000000
12M 2024,3581896489.000000,96872319332.000000,-12041386528.000000,-65633000051.000000,-11627401426.000000,-2981099929.000000,-1007534909.000000,3581896489.000000,-7064468333.000000,-6119940712.000000,-947527621.000000,3000000.000000,-7064468333.000000,3630538745.000000,,,,,9792200000.000000,-5135733160.000000,4656466840.000000,,-802928095.000000,-802928095.000000,-223000000.000000,,3630538745.000000,147966901.000000,591379695.000000,739346596.000000
