Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Final,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2021,36919958216.000000,-30829492839.000000,6090465377.000000,-5217216457.000000,-5217216457.000000,,-5217216457.000000,873248920.000000,-94389497.000000,-94389497.000000,,-94389497.000000,778859423.000000,-256414582.000000,-284181109.000000,27766527.000000,,-256414582.000000,522444841.000000,,,,522444841.000000,522444841.000000,522444841.000000,,522444841.000000,522444841.000000,522444841.000000,,522444841.000000
12M 2022,42627459448.000000,-33169634777.000000,9457824671.000000,-4153964996.000000,-4153964996.000000,,-4153964996.000000,5303859675.000000,-517771355.000000,-517771355.000000,,-517771355.000000,4786088320.000000,-1094883948.000000,-1091695933.000000,-3188015.000000,,-1094883948.000000,3691204372.000000,19677840.000000,19677840.000000,19677840.000000,3710882212.000000,3691204372.000000,3691204372.000000,,3691204372.000000,3710882212.000000,3710882212.000000,,3710882212.000000
12M 2023,100091423271.000000,-84203677101.000000,15887746170.000000,-8698214155.000000,-8698214155.000000,,-8698214155.000000,7189532015.000000,-831300420.000000,-859675420.000000,28375000.000000,-831300420.000000,6358231595.000000,-1687793715.000000,-1647873040.000000,-39920675.000000,,-1687793715.000000,4670437880.000000,41689440.000000,41689440.000000,41689440.000000,4712127320.000000,4670437880.000000,4670437880.000000,,4670437880.000000,4712127320.000000,4712127320.000000,,4712127320.000000
12M 2024,96027401512.000000,-77864635753.000000,18162765759.000000,-15108100612.000000,-15108100612.000000,,-15108100612.000000,3054665147.000000,-1058047539.000000,-1052685104.000000,-5362435.000000,-1058047539.000000,1996617608.000000,-820912644.000000,-801428100.000000,-19484544.000000,,-820912644.000000,1175704964.000000,2107560.000000,2107560.000000,2107560.000000,1177812524.000000,1175704964.000000,1175704964.000000,,1175704964.000000,1177812524.000000,1177812524.000000,,1177812524.000000
