Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Tetap,Tanah Untuk Dikembangkan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Total Utang Usaha,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Lembaga Keuangan Lain,Utang Sewa Pembiayaan,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Lembaga Keuangan Lain,Utang Sewa Pembiayaan,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2020,,,574019695.000000,409298717.000000,186697335.000000,222601382.000000,409298717.000000,7824966219.000000,4583203367.000000,13391487998.000000,,1438962433.000000,6320918226.000000,199044061.000000,7958924720.000000,21350412718.000000,,,14671576247.000000,,,407658931.000000,407658931.000000,,3445391875.000000,708672157.000000,4154064032.000000,236876061.000000,89494322.000000,,1577000000.000000,,186953240.000000,1763953240.000000,8019529661.000000,14671576247.000000,4915918457.000000,,4720919275.000000,,4720919275.000000,,,111612852.000000,111612852.000000,83386330.000000,4915918457.000000,19587494704.000000,,2500000000.000000,,-744942503.000000,,-744942503.000000,-744942503.000000,,7860517.000000,1762918014.000000,21350412718.000000,2500.000000
12M 2021,,,1273261703.000000,556407767.000000,,556407767.000000,556407767.000000,15850364061.000000,8938488921.000000,26618522452.000000,,2838515105.000000,6525637168.000000,99522030.000000,9463674303.000000,36082196755.000000,,,21306603365.000000,1310481620.000000,,1541483182.000000,1541483182.000000,,978501540.000000,2946630325.000000,3925131865.000000,432144737.000000,51046759.000000,,,,298566092.000000,298566092.000000,13747749110.000000,21306603365.000000,2868368894.000000,,2489795500.000000,221041275.000000,2710836775.000000,,,,,157532119.000000,2868368894.000000,24174972259.000000,,2500000000.000000,,9452070017.000000,,9452070017.000000,9452070017.000000,,-44845521.000000,11907224496.000000,36082196755.000000,2500.000000
12M 2022,,,441432383.000000,4011652572.000000,2900000000.000000,1111652572.000000,4011652572.000000,19340270561.000000,39321485263.000000,63114840779.000000,,3506738992.000000,9722714918.000000,257476000.000000,13486929910.000000,76601770689.000000,,,27852384336.000000,1495412012.000000,,1725734049.000000,1725734049.000000,,2364833250.000000,2300762822.000000,4665596072.000000,570628560.000000,58433907.000000,,,253584919.000000,298566092.000000,552151011.000000,18784428725.000000,27852384336.000000,615166914.000000,,,280448774.000000,280448774.000000,,140720635.000000,,140720635.000000,193997505.000000,615166914.000000,28467551250.000000,,23327000000.000000,,24851665835.000000,500000000.000000,24351665835.000000,24851665835.000000,,-44446396.000000,48134219439.000000,76601770689.000000,23327.000000
12M 2023,,,26064994669.000000,1067857206.000000,517333335.000000,550523871.000000,1067857206.000000,26339887136.000000,13996191440.000000,67468930451.000000,,6045486767.000000,59979978086.000000,,66025464853.000000,133494395304.000000,,,11257801301.000000,,,1754844577.000000,1754844577.000000,,,1772873441.000000,1772873441.000000,61156560.000000,22030518.000000,,,503812232.000000,,503812232.000000,7143083973.000000,11257801301.000000,795000696.000000,,,,,,423647117.000000,,423647117.000000,371353579.000000,795000696.000000,12052801997.000000,,44155900000.000000,46842109320.000000,30484425946.000000,6000000000.000000,24484425946.000000,30484425946.000000,,-40841959.000000,121441593307.000000,133494395304.000000,4415590000.000000
12M 2024,,,11577397835.000000,566307176.000000,,566307176.000000,566307176.000000,30789357477.000000,18208432041.000000,61141494529.000000,,6530684224.000000,73581363147.000000,,80112047371.000000,141253541900.000000,,,11546851172.000000,3060000000.000000,,2279602776.000000,2279602776.000000,,,3047865731.000000,3047865731.000000,43623430.000000,29749695.000000,,,365003893.000000,,365003893.000000,2721005647.000000,11546851172.000000,458781191.000000,,,,,,40096368.000000,,40096368.000000,418684823.000000,458781191.000000,12005632363.000000,,44155918000.000000,46842334320.000000,38124478763.000000,8831180000.000000,29293298763.000000,38124478763.000000,,125178454.000000,129247909537.000000,141253541900.000000,4415590000.000000
