Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,"Pembayaran Kas Kepada Pemasok, Karyawan Dan Untuk Beban Operasional Lainnya",Pembayaran Kas Kepada Karyawan,Pembayaran Operasional Lainnya,Saldo Yang Dibatasi Penggunaannya,Penerimaan Penghasilan Bunga,Pembayaran Beban Bunga Dan Keuangan,Pembayaran Beban Pajak Final,Lain-Lain,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Penjualan Aset Tetap,Penambahan Tanah Untuk Dikembangkan,Uang Muka Pembelian Tanah,Penambahan (Pembayaran) Piutang Lain-Lain Pihak Berelasi,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pembayaran Biaya Emisi Saham,Tambahan Modal Disetor,Penerimaan Utang Bank Jangka Pendek,Pembayaran Utang Bank Jangka Pendek,Pembayaran Pinjaman Lainnya,Penerimaan Utang Bank Jangka Panjang,Pembayaran Utang Bank Jangka Panjang,Pembayaran Lembaga Keuangan Lainnya,Penerimaan Setoran Modal,Pembayaran Dividen,Pembiayaran Utang Pembiayaan Konsumen,Pembayaran Liabilitas Sewa,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2020,7229739177.000000,16240767868.000000,-4249540961.000000,-1555336267.000000,,-2824729750.000000,3641512.000000,-289321131.000000,-95742094.000000,,7229739177.000000,-7486857960.000000,-1165939734.000000,,-6320918226.000000,,,-7486857960.000000,638293875.000000,,,,,-938706125.000000,1577000000.000000,,,,,,,638293875.000000,381175092.000000,192844603.000000,574019695.000000
12M 2021,7286063338.000000,42732544751.000000,-29627030302.000000,-1578268617.000000,,-3641328725.000000,10165888.000000,-137755187.000000,-472264470.000000,,7286063338.000000,-1818997615.000000,-1614278673.000000,,-204718942.000000,,,-1818997615.000000,-4767823715.000000,,,1310481620.000000,,-4501305335.000000,,-1577000000.000000,,,,,,-4767823715.000000,699242008.000000,574019695.000000,1273261703.000000
12M 2022,17455573289.000000,71973998776.000000,-38596120147.000000,-2210153373.000000,-5091342136.000000,-7633679590.000000,137497371.000000,-97619598.000000,-1030165956.000000,3157942.000000,17455573289.000000,-31059389840.000000,-668539290.000000,,-3197077750.000000,-24293772800.000000,-2900000000.000000,-31059389840.000000,12771987231.000000,,,184930392.000000,,-1689923794.000000,,,,20827000000.000000,-6500000000.000000,-50019367.000000,,12771987231.000000,-831829320.000000,1273261703.000000,441432383.000000
12M 2023,17617567434.000000,65408581846.000000,-42889894024.000000,-2840112407.000000,-6796212205.000000,5694235090.000000,183538446.000000,-81873723.000000,-1171741305.000000,111045716.000000,17617567434.000000,-38098361796.000000,-1630231841.000000,111081080.000000,-172000000.000000,-38789877700.000000,2382666665.000000,-38098361796.000000,46104356648.000000,-2657890680.000000,49500000000.000000,2006837988.000000,-3502250000.000000,-3173171405.000000,,,,4500000000.000000,,-569169255.000000,,46104356648.000000,25623562286.000000,441432383.000000,26064994669.000000
12M 2024,14648210195.000000,68163066943.000000,-42111426959.000000,-2727340461.000000,-7384979028.000000,-586596041.000000,454967931.000000,-24219404.000000,-1170176350.000000,34913564.000000,14648210195.000000,-19701913231.000000,-1483148980.000000,4183784.000000,-15455181870.000000,-3285099500.000000,517333335.000000,-19701913231.000000,-9433893798.000000,,225000.000000,3060000000.000000,,1274992290.000000,,,,18000.000000,-13246770000.000000,-522359088.000000,,-9433893798.000000,-14487596834.000000,26064994669.000000,11577397835.000000
