Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Final,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2020,8263503182.000000,-4341011672.000000,3922491510.000000,-3658662478.000000,-946802041.000000,-2711860437.000000,-3658662478.000000,263829032.000000,-240238744.000000,-289321131.000000,49082387.000000,-240238744.000000,23590288.000000,-95742094.000000,-95742094.000000,-95742094.000000,-72151806.000000,-72151806.000000,7860517.000000,-64291289.000000,-72151806.000000,-72151806.000000,,-72151806.000000,-64291289.000000,-64291289.000000,,-64291289.000000
12M 2021,33408852011.000000,-17923643145.000000,15485208866.000000,-4775427211.000000,-1257336500.000000,-3518090711.000000,-4775427211.000000,10709781655.000000,-40504665.000000,-137755187.000000,97250522.000000,-40504665.000000,10669276990.000000,-472264470.000000,-472264470.000000,-472264470.000000,10197012520.000000,10197012520.000000,-52706038.000000,10144306482.000000,10197012520.000000,10197012520.000000,,10197012520.000000,10144306482.000000,10144306482.000000,,10144306482.000000
12M 2022,66832077419.000000,-37018240832.000000,29813836587.000000,-6904236748.000000,-2347825232.000000,-4556411516.000000,-6904236748.000000,22909599839.000000,20161935.000000,-97619598.000000,117781533.000000,20161935.000000,22929761774.000000,-1030165956.000000,-1030165956.000000,-1030165956.000000,21899595818.000000,21899595818.000000,399125.000000,21899994943.000000,21899595818.000000,21899595818.000000,,21899595818.000000,21899994943.000000,21899994943.000000,,21899994943.000000
12M 2023,77049926598.000000,-44185672630.000000,32864253968.000000,-9725774500.000000,-2808243443.000000,-6917531057.000000,-9725774500.000000,23138479468.000000,-5078052.000000,-81873723.000000,76795671.000000,-5078052.000000,23133401416.000000,-1171741305.000000,-1171741305.000000,-1171741305.000000,21961660111.000000,21961660111.000000,3604437.000000,21965264548.000000,21961660111.000000,21961660111.000000,,21961660111.000000,21965264548.000000,21965264548.000000,,21965264548.000000
12M 2024,72585145269.000000,-40903880113.000000,31681265156.000000,-10058547436.000000,-2910901736.000000,-7147645700.000000,-10058547436.000000,21622717720.000000,434281447.000000,-24219404.000000,458500851.000000,434281447.000000,22056999167.000000,-1170176350.000000,-1170176350.000000,-1170176350.000000,20886822817.000000,20886822817.000000,166020413.000000,21052843230.000000,20886822817.000000,20886822817.000000,,20886822817.000000,21052843230.000000,21052843230.000000,,21052843230.000000
