Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Penerimaan Dari Kegiatan Usaha Lainnya,Pembayaran Untuk Beban Keuangan,Pembayaran Untuk Beban Gaji. Upah Dan Tunjangan Lainnya,Pembayaran Kepada Pemerintah,Pembayaran Untuk Kegiatan Usaha Lainnya,Pembayaran Kas Kepada Pihak Ketiga,Pembayaran Kas Kepada Pemasok,Penerimaan Kas Lainnya Dari Aktivitas Operasi,Adjustment,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Pencairan (Penempatan) Bank Yang Dibatasi Penggunaannya,Penambahan Properti Investasi,Penerimaan Dari Penjualan Investasi Pada Entitas Asosiasi,Uang Muka Untuk Perolehan Aset Tetap,Akuisisi Entitas Anak,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Utang Lain-Lain,Penerimaan Modal Disetor Melalui Penewaran Umum Perdana Saham,Agio Saham Dari Penawaran Umum Perdana Saham,Penerimaan Utang Pihak Berelasi,Pembayaran Utang Bank Jangka Panjang,Pembayaran Beban Emisi Saham,Pembayaran Utang Pembiayaan Konsumen,Pembayaran Utang Sewa Pembiayaan,Penerimaan Utang Bank Jangka Panjang,Penerimaan Dari Mandatory Convertible Bond,Utang Pihak Berelasi,Pembayaran Utang Bank Jangka Pendek,Penerimaan Dari Hmetd,Penambahan Modal Disetor,Penambahan Modal Saham Entitas Anak Sebelum Akuisisi,Total Arus Kas Dari Aktivitas Pendanaan,Adjustment,Penurunan Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2016,-530927554221.000000,356295579063.000000,,-157379097651.000000,-57037661532.000000,-13135898011.000000,-40812730525.000000,,-618857745565.000000,,,-530927554221.000000,-58866938945.000000,-20121694598.000000,-1058244347.000000,,3500000000.000000,-7937000000.000000,-33250000000.000000,-58866938945.000000,578519442413.000000,,,,162669044940.000000,-18610893791.000000,,-175399372.000000,-70142948.000000,86500013279.000000,,,-1793179695.000000,,,350000000000.000000,578519442413.000000,,-11275050753.000000,19789760649.000000,,8514709896.000000
12M 2017,-69199537437.000000,217688547318.000000,,-159546149455.000000,-60886690274.000000,-3745408067.000000,-31419755852.000000,,-31290081107.000000,,,-69199537437.000000,-142504127682.000000,-121799810095.000000,1113966413.000000,-21818284000.000000,,,,-142504127682.000000,212891846058.000000,13751608923.000000,52370001600.000000,,143187228541.000000,-72785276040.000000,-8516913400.000000,-155567376.000000,-71793337.000000,,80000000000.000000,,5112557147.000000,,,,212891846058.000000,,1188180939.000000,8514709896.000000,,9702890835.000000
12M 2018,-194282907416.000000,110584960151.000000,,-172129475013.000000,-42916381893.000000,-4496574152.000000,-13230915004.000000,,-72094521505.000000,,,-194282907416.000000,27361662070.000000,-3051086460.000000,657464529.000000,29755284001.000000,,,,27361662070.000000,164866386585.000000,-18299253774.000000,,,213143561376.000000,-43120326301.000000,,-130876667.000000,,,,,-500216324.000000,,13773498275.000000,,164866386585.000000,,-2054858761.000000,9702890836.000000,,7648032075.000000
12M 2019,-192682071323.000000,41463859707.000000,,-146181910255.000000,-30857600203.000000,-1418891460.000000,-3174766557.000000,,-52512762555.000000,,,-192682071323.000000,-3407703185.000000,-3977759763.000000,187545098.000000,382511480.000000,,,,-3407703185.000000,192906736438.000000,228556785233.000000,,,71891588199.000000,-39435123921.000000,,,,,,,-68106513073.000000,,,,192906736438.000000,,-3183038070.000000,7648032075.000000,,4464994005.000000
