Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Umum Dan Administrasi,Beban Penjualan,Others,Total Beban Usaha,Adjustment,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Pendapatan Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Final,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Penyesuaian Proforma,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2016,399226136345.000000,-227630193908.000000,171595942437.000000,-141221434060.000000,-70006110774.000000,-19690262828.000000,-51525060458.000000,-141221434060.000000,,30374508377.000000,-178915202367.000000,-176974613176.000000,214402208.000000,-2154991399.000000,-178915202367.000000,-148540693990.000000,-151473863.000000,,,,-151473863.000000,-148692167853.000000,114651800289.000000,-34040367564.000000,126594046.000000,,126594046.000000,-33913773518.000000,-34040367564.000000,-32253930686.000000,-1786436878.000000,-34040367564.000000,-33913773518.000000,-32159662318.000000,-1754111200.000000,-33913773518.000000
12M 2017,213149157812.000000,-120860555427.000000,92288602385.000000,-124053108204.000000,-51673868174.000000,-18186789663.000000,-54192450367.000000,-124053108204.000000,,-31764505819.000000,-156355796385.000000,-167239308523.000000,7123972537.000000,3759539601.000000,-156355796385.000000,-188120302204.000000,560434313.000000,,,,560434313.000000,-187559867891.000000,117939770946.000000,-69620096945.000000,-228165000.000000,,-228165000.000000,-69848261945.000000,-69620096945.000000,-68322641721.000000,-1297455224.000000,-69620096945.000000,-69848261945.000000,-68591762135.000000,-1256499810.000000,-69848261945.000000
12M 2018,120002776253.000000,-53286912400.000000,66715863853.000000,-92284273623.000000,-44456295162.000000,-2769315951.000000,-45058662510.000000,-92284273623.000000,,-25568409770.000000,-179173227528.000000,-184457251883.000000,12327776870.000000,-7043752515.000000,-179173227528.000000,-204741637298.000000,-1068177223.000000,,,,-1068177223.000000,-205809814521.000000,,-205809814521.000000,4413251110.000000,,4413251110.000000,-201396563411.000000,-205809814521.000000,-203071118510.000000,-2738696011.000000,-205809814521.000000,-201396563411.000000,-198711293213.000000,-2685270198.000000,-201396563411.000000
12M 2019,45448687912.000000,-24670165028.000000,20778522884.000000,-66633968523.000000,-35899945631.000000,-1195780306.000000,-29538242586.000000,-66633968523.000000,,-45855445639.000000,-219795391719.000000,-225806725519.000000,21996405059.000000,-15985071259.000000,-219795391719.000000,-265650837358.000000,,,,,,-265650837358.000000,,-265650837358.000000,,,,-265650837358.000000,-265650837358.000000,-261598098466.000000,-4052738892.000000,-265650837358.000000,-265650837358.000000,-261598098466.000000,-4052738892.000000,-265650837358.000000
