Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Aset Real Estat,Adjustment,Others,Total Aset Lancar,Aset Tidak Lancar,Properti Investasi,Piutang Pihak Berelasi,Aset Pajak Tangguhan,Aset Tetap,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank,Utang Sewa Pembiayaan,Utang Pembiayaan Konsumen,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Pihak Berelasi,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank,Utang Sewa Pembiayaan,Utang Pembiayaan Konsumen,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2016,,,8514709896.000000,183909528987.000000,26422174347.000000,157487354640.000000,183909528987.000000,12968736522.000000,6477654400.000000,6491082122.000000,12968736522.000000,3027882048.000000,1415827676879.000000,,28014577139.000000,1652263111471.000000,,125781286086.000000,3191000000.000000,49305500.000000,477103906018.000000,964131929.000000,607089629533.000000,2259352741004.000000,,,612774360096.000000,280679874706.000000,,64984746221.000000,,64984746221.000000,,,38209844477.000000,38209844477.000000,79986392217.000000,28404698255.000000,,101160485763.000000,71793337.000000,165838742.000000,18434611488.000000,119832729330.000000,676074890.000000,612774360096.000000,1123309601351.000000,262496557346.000000,,773045515794.000000,,120605301.000000,70939823904.000000,844105944999.000000,308252006.000000,16398847000.000000,1123309601351.000000,1736083961447.000000,,200000000000.000000,,-104123855915.000000,,,-104123855915.000000,10645625289.000000,416747010183.000000,523268779557.000000,2259352741004.000000,200000.000000
12M 2017,,,9702890836.000000,226358398369.000000,106902573169.000000,119455825200.000000,226358398369.000000,16085119447.000000,4753455600.000000,11331663847.000000,16085119447.000000,2251578025.000000,1342733934182.000000,,19183455535.000000,1616315376394.000000,,149122004972.000000,3115964114.000000,442770010.000000,575189710354.000000,1894505627.000000,729764955077.000000,2346080331471.000000,,,788008593137.000000,285792431853.000000,,59314874283.000000,,59314874283.000000,,,59586029076.000000,59586029076.000000,80415228188.000000,33988255140.000000,,176448906928.000000,,130876667.000000,91485141474.000000,268064925069.000000,846849528.000000,788008593137.000000,820822477500.000000,133375092501.000000,,624971818589.000000,,,44877552806.000000,669849371395.000000,23566604.000000,17574447000.000000,820822477500.000000,1608831070637.000000,,1531752020000.000000,-630306266595.000000,-172715618050.000000,,,-172715618050.000000,11004945329.000000,-2485819850.000000,737249260834.000000,2346080331471.000000,15317520200.000000
12M 2018,,,7648032075.000000,247118553996.000000,106402728796.000000,140715825200.000000,247118553996.000000,31473476483.000000,13280661034.000000,18192815449.000000,31473476483.000000,2815752985.000000,1328608576172.000000,,18651289866.000000,1636315681577.000000,,112615400072.000000,,547169930.000000,558197818081.000000,1220516520.000000,672580904603.000000,2308896586180.000000,,,963438713759.000000,285292215529.000000,,63167912205.000000,,63167912205.000000,,,41286775302.000000,41286775302.000000,83073509303.000000,12613885527.000000,,369299188990.000000,,,107599131250.000000,476898320240.000000,1106095653.000000,963438713759.000000,795831676732.000000,351929895198.000000,,389001210230.000000,,,40105902555.000000,429107112785.000000,277273805.000000,14517394944.000000,795831676732.000000,1759270390491.000000,,1536522991200.000000,-621303739522.000000,-375517616146.000000,,,-375517616146.000000,8319675131.000000,1604885033.000000,549626195696.000000,2308896586187.000000,15365229912.000000
12M 2019,,,4464994005.000000,245010554685.000000,104054729485.000000,140955825200.000000,245010554685.000000,36804787256.000000,16215427592.000000,20589359664.000000,36804787256.000000,2890864985.000000,1270980165967.000000,,17642444276.000000,1577793811174.000000,,106031403393.000000,,547169930.000000,539767247993.000000,1231133925.000000,647576955241.000000,2225370766415.000000,,,1160714263296.000000,285440559245.000000,,81260867912.000000,,81260867912.000000,,,218505260037.000000,218505260037.000000,83636689244.000000,45859230316.000000,,301044332201.000000,,,2699111613.000000,303743443814.000000,142268212728.000000,1160714263296.000000,780681144780.000000,423821483397.000000,,349566086309.000000,,,,349566086309.000000,277273805.000000,7016301269.000000,780681144780.000000,1941395408076.000000,,1536522991200.000000,-621303739522.000000,-637115714612.000000,,,-637115714612.000000,4266936239.000000,1604885033.000000,283975358338.000000,2225370766414.000000,15365229912.000000
