Period,Days Sales Outstanding (Annual),Days Inventory (Annual),Payables Period (Annual),Cash Conversion Cycle (Annual),Receivables Turnover (Annual),Receivables Turnover (TTM),Inventory Turnover (Annual),Inventory Turnover (TTM),Fixed Assets Turnover (Annual),Fixed Assets Turnover (TTM),Asset Turnover (Annual),Asset Turnover (TTM),Working Capital Turnover (Annual),Working Capital Turnover (TTM),Working Capital Ratio (Annual)
12M 2016,,,,,,,,,,,,,0.38,,2.7
12M 2017,351.27,7.97,187.69,171.55,1.04,1.82,45.79,56.07,0.41,0.37,0.09,0.14,0.26,0.26,2.05
12M 2018,720.06,17.35,419.49,317.92,0.51,0.51,21.03,19.48,0.21,0.21,0.05,0.05,0.18,0.18,1.7
12M 2019,1976.15,42.22,1068.43,949.94,0.18,0.18,8.65,9.61,0.08,0.08,0.02,0.02,0.11,0.11,1.36
