Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Final,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2017,127477000000.000000,-78140000000.000000,49337000000.000000,-24716000000.000000,-636000000.000000,-25247000000.000000,1167000000.000000,-24716000000.000000,24621000000.000000,-13003000000.000000,315000000.000000,-13318000000.000000,-13003000000.000000,11618000000.000000,36017000000.000000,36308000000.000000,-291000000.000000,36017000000.000000,47635000000.000000,29760000000.000000,77395000000.000000,47635000000.000000,47635000000.000000,,47635000000.000000,77395000000.000000,77395000000.000000,,77395000000.000000
12M 2018,293370000000.000000,-156566000000.000000,136804000000.000000,-37268000000.000000,-2975000000.000000,-34568000000.000000,275000000.000000,-37268000000.000000,99536000000.000000,-24018000000.000000,280000000.000000,-24298000000.000000,-24018000000.000000,75518000000.000000,-13927000000.000000,-13486000000.000000,-441000000.000000,-13927000000.000000,61591000000.000000,-41081000000.000000,20510000000.000000,61591000000.000000,61591000000.000000,,61591000000.000000,20510000000.000000,20510000000.000000,,20510000000.000000
12M 2019,489860000000.000000,-252595000000.000000,237265000000.000000,-44246000000.000000,-1720000000.000000,-41935000000.000000,-591000000.000000,-44246000000.000000,193019000000.000000,-46566000000.000000,730000000.000000,-47296000000.000000,-46566000000.000000,146453000000.000000,-39818000000.000000,-39272000000.000000,-546000000.000000,-39818000000.000000,106635000000.000000,-323000000.000000,106312000000.000000,106635000000.000000,106635000000.000000,,106635000000.000000,106312000000.000000,106312000000.000000,,106312000000.000000
12M 2020,759365000000.000000,-389289000000.000000,370076000000.000000,-58794000000.000000,-1524000000.000000,-55796000000.000000,-1474000000.000000,-58794000000.000000,311282000000.000000,-76361000000.000000,689000000.000000,-77050000000.000000,-76361000000.000000,234921000000.000000,-51780000000.000000,-51367000000.000000,-413000000.000000,-51780000000.000000,183141000000.000000,-552000000.000000,182589000000.000000,183141000000.000000,183141000000.000000,,183141000000.000000,182589000000.000000,182589000000.000000,,182589000000.000000
12M 2021,871240000000.000000,-395238000000.000000,476002000000.000000,-57614000000.000000,-1112000000.000000,-55921000000.000000,-581000000.000000,-57614000000.000000,418388000000.000000,-85620000000.000000,2204000000.000000,-87824000000.000000,-85620000000.000000,332768000000.000000,-71317000000.000000,-70708000000.000000,-609000000.000000,-71317000000.000000,261451000000.000000,83413000000.000000,344864000000.000000,261451000000.000000,261451000000.000000,,261451000000.000000,344864000000.000000,344864000000.000000,,344864000000.000000
12M 2022,1043955000000.000000,-444380000000.000000,599575000000.000000,-72792000000.000000,-2032000000.000000,-69842000000.000000,-918000000.000000,-72792000000.000000,526783000000.000000,-81050000000.000000,2438000000.000000,-83488000000.000000,-81050000000.000000,445733000000.000000,-77891000000.000000,-77208000000.000000,-683000000.000000,-77891000000.000000,367842000000.000000,2401000000.000000,370243000000.000000,367842000000.000000,367842000000.000000,,367842000000.000000,370243000000.000000,370243000000.000000,,370243000000.000000
12M 2023,1305846000000.0,-534235000000.0,771611000000.0,-87596000000.0,-5264000000.0,-82470000000.0,138000000.0,-87596000000.0,684015000000.0,-91925000000.0,7282000000.0,-99207000000.0,-91925000000.0,592090000000.0,-77603000000.0,-76797000000.0,-806000000.0,-77603000000.0,514487000000.0,-27000000.0,514460000000.0,514487000000.0,514232000000.0,255000000.0,514487000000.0,514460000000.0,514410000000.0,50000000.0,514460000000.0
12M 2024,1812446000000.0,-755402000000.0,1057044000000.0,-82230000000.0,-5451000000.0,-79376000000.0,2597000000.0,-82230000000.0,974814000000.0,-70068000000.0,9723000000.0,-79791000000.0,-70068000000.0,904746000000.0,-107926000000.0,-106763000000.0,-1163000000.0,-107926000000.0,796820000000.0,-107000000.0,796713000000.0,796820000000.0,796479000000.0,341000000.0,796820000000.0,796713000000.0,796404000000.0,309000000.0,796713000000.0
