Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok,Pembayaran Kepada Karyawan,Pembayaran Pajak Penghasilan Dan Pertambahan Nilai,Penerimaan Dari Restitusi Pajak,Penerimaan (Pembayaran) Lainnya,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penjualan Aset Tetap,Perolehan Aset Tetap,Penambahan Aset Tidak Berwujud,Penerimaan Bunga,Pembayaran Uang Muka,Deposito Berjangka Yang Jatuh Tempo,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dari Utang Bank,Pembayaran Utang Bank,Pembayaran Liabilitas Sewa,Pembayaran Bunga,Penerimaan Dari Ipo,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2017,66548000000.000000,128396000000.000000,-44643000000.000000,-17227000000.000000,-528000000.000000,550000000.000000,,66548000000.000000,-49887000000.000000,,-56251000000.000000,,317000000.000000,,6047000000.000000,-49887000000.000000,2444000000.000000,30121000000.000000,-14494000000.000000,,-13183000000.000000,,2444000000.000000,19105000000.000000,,21345000000.000000,40450000000.000000
12M 2018,141738000000.000000,292026000000.000000,-101336000000.000000,-34800000000.000000,-14381000000.000000,229000000.000000,,141738000000.000000,-383894000000.000000,,-383699000000.000000,-475000000.000000,280000000.000000,,,-383894000000.000000,263951000000.000000,300683000000.000000,-14500000000.000000,,-22232000000.000000,,263951000000.000000,21795000000.000000,,40450000000.000000,62245000000.000000
12M 2019,242659000000.000000,499875000000.000000,-183801000000.000000,-38576000000.000000,-35359000000.000000,520000000.000000,,242659000000.000000,-564056000000.000000,136000000.000000,-564586000000.000000,-336000000.000000,730000000.000000,,,-564056000000.000000,327303000000.000000,405616000000.000000,-33599000000.000000,,-44714000000.000000,,327303000000.000000,5906000000.000000,,62245000000.000000,68151000000.000000
12M 2020,343605000000.000000,714351000000.000000,-287036000000.000000,-49044000000.000000,-33912000000.000000,599000000.000000,-1353000000.000000,343605000000.000000,-818394000000.000000,,-818968000000.000000,-115000000.000000,689000000.000000,,,-818394000000.000000,485601000000.000000,642540000000.000000,-66383000000.000000,-1058000000.000000,-89498000000.000000,,485601000000.000000,10812000000.000000,,68151000000.000000,78963000000.000000
12M 2021,434964000000.000000,772358000000.000000,-240681000000.000000,-60565000000.000000,-35412000000.000000,,-736000000.000000,434964000000.000000,-503418000000.000000,,-498812000000.000000,-6810000000.000000,2204000000.000000,,,-503418000000.000000,39988000000.000000,185792000000.000000,-205198000000.000000,-1105000000.000000,-89677000000.000000,150176000000.000000,39988000000.000000,-28466000000.000000,,78963000000.000000,50497000000.000000
12M 2022,673655000000.000000,1083191000000.000000,-270878000000.000000,-72255000000.000000,-65154000000.000000,,-1249000000.000000,673655000000.000000,-316713000000.000000,160000000.000000,-310887000000.000000,-8424000000.000000,2438000000.000000,,,-316713000000.000000,-170247000000.000000,8154000000.000000,-97157000000.000000,-1168000000.000000,-80076000000.000000,,-170247000000.000000,186695000000.000000,,50497000000.000000,237192000000.000000
12M 2023,741401000000.000000,1241228000000.000000,-327956000000.000000,-86839000000.000000,-86457000000.000000,,1425000000.000000,741401000000.000000,-309594000000.000000,,-315744000000.000000,-1133000000.000000,7283000000.000000,,,-309594000000.000000,-265130000000.000000,1346435000000.000000,-1509156000000.000000,-1168000000.000000,-101241000000.000000,,-265130000000.000000,166677000000.000000,,237192000000.000000,403869000000.000000
12M 2024,837636000000.000000,1471917000000.000000,-447517000000.000000,-84578000000.000000,-103154000000.000000,,968000000.000000,837636000000.000000,-873007000000.000000,,-881481000000.000000,-1249000000.000000,9723000000.000000,,,-873007000000.000000,-151510000000.000000,150000000000.000000,-217983000000.000000,-451000000.000000,-83076000000.000000,,-151510000000.000000,-186881000000.000000,17000000.000000,403869000000.000000,217005000000.000000
