Period,Aset,Aset Lancar,Kas Dan Setara Kas,Investasi Jangka Pendek,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Investasi Pada Entitas Asosiasi,Aset Tetap,Aset Pajak Tangguhan,Goodwill,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Beban Akrual,Utang Pajak,Utang Sewa Pembiayaan,Liabilitas Keuangan Lainnya,Pihak Ketiga,Pihak Berelasi,Total Liabilitas Keuangan Lainnya,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Sewa Pembiayaan,Utang Bank,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Liabilitas Keuangan Lainnya,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2019,,,27670948736.000000,,240087955898.000000,,,240087955898.000000,28884774360.000000,28884774360.000000,,28884774360.000000,94202570752.000000,6488163710.000000,397334413456.000000,,,3470901735.000000,9760566958.000000,,1296830919.000000,14528299612.000000,411862713068.000000,,,273485783512.000000,34999999893.000000,,233789291309.000000,2879577424.000000,236668868733.000000,,973474003.000000,,973474003.000000,366277616.000000,446734779.000000,30428488.000000,,,,,,273485783512.000000,44252475891.000000,16942784.000000,,,,9371390000.000000,9371390000.000000,,,34864143107.000000,44252475891.000000,317738259403.000000,,14000000000.000000,22978701286.000000,59777588240.000000,,59777588240.000000,59777588240.000000,,-2631835861.000000,94124453665.000000,411862713068.000000,14000.000000
12M 2020,,,8230342177.000000,,227833083250.000000,,,227833083250.000000,42902351924.000000,42902351924.000000,,42902351924.000000,98816720910.000000,6287295949.000000,384069794210.000000,,,3388105921.000000,8789493322.000000,,5670697532.000000,17848296775.000000,401918090985.000000,,,263015577621.000000,19189999879.000000,,238840993409.000000,2962726680.000000,241803720089.000000,,1321677109.000000,,1321677109.000000,258969636.000000,424268124.000000,16942784.000000,,,,,,263015577621.000000,45246790316.000000,,,,,9371390000.000000,9371390000.000000,,,35875400316.000000,45246790316.000000,308262367937.000000,,14000000000.000000,22978701286.000000,60047169338.000000,,60047169338.000000,60047169338.000000,,-3370147576.000000,93655723048.000000,401918090985.000000,14000.000000
12M 2021,,,3484381641.000000,,254172226001.000000,,,254172226001.000000,64961787464.000000,64961787464.000000,,64961787464.000000,162684643331.000000,56589232486.000000,541892270923.000000,,,4757278691.000000,8374411070.000000,,7913414804.000000,21045104565.000000,562937375488.000000,,,404299056546.000000,29691053328.000000,,369834125954.000000,3104010637.000000,372938136591.000000,,872639543.000000,,872639543.000000,331597417.000000,465629667.000000,,,,,,,404299056546.000000,43982544426.000000,,,,,9371390000.000000,9371390000.000000,,,34611154426.000000,43982544426.000000,448281600972.000000,,14000000000.000000,22978701286.000000,79323534769.000000,,79323534769.000000,79323534769.000000,,-1646461539.000000,114655774516.000000,562937375488.000000,14000.000000
12M 2022,,,5688294930.000000,,339018303708.000000,,,339018303708.000000,71021335426.000000,71021335426.000000,,71021335426.000000,236080490503.000000,64645442345.000000,716453866912.000000,,,5022934543.000000,9763447888.000000,,12714919220.000000,27501301651.000000,743955168563.000000,,,560043176832.000000,58274104446.000000,,493100952038.000000,3177067472.000000,496278019510.000000,,2225897958.000000,,2225897958.000000,646471348.000000,1089516904.000000,,,,,,1529166666.000000,560043176832.000000,37113723056.000000,,,,,,,,,37113723056.000000,37113723056.000000,597156899888.000000,,28250000000.000000,97728701286.000000,24270062253.000000,100000000.000000,24170062253.000000,24270062253.000000,,-3450494864.000000,146798268675.000000,743955168563.000000,1412500000.000000
12M 2023,,,4492099586.000000,,419424485802.000000,,,419424485802.000000,63045229543.000000,63045229543.000000,,63045229543.000000,301762965035.000000,87238159612.000000,875962939578.000000,,,6669357133.000000,9925344081.000000,,14181820038.000000,30776521252.000000,906739460830.000000,,,637120554145.000000,77342011883.000000,,548487438654.000000,9320220470.000000,557807659124.000000,,329799862.000000,,329799862.000000,561504376.000000,627313784.000000,,,,,,452265116.000000,637120554145.000000,37409134173.000000,,,,,,,,,37409134173.000000,37409134173.000000,674529688318.000000,,35312500000.000000,140955814296.000000,60442032416.000000,100000000.000000,60342032416.000000,60442032416.000000,781473.000000,-4501355673.000000,232209772512.000000,906739460830.000000,1765625000.000000
12M 2024,,,7783975819.000000,,534315962479.000000,,,534315962479.000000,96073507594.000000,96073507594.000000,,96073507594.000000,344459472348.000000,139798929868.000000,1122431848108.000000,,,8078075503.000000,9480878915.000000,,23522020119.000000,41080974537.000000,1163512822645.000000,,,844276672360.000000,181785933449.000000,,640769817892.000000,11443744865.000000,652213562757.000000,,1388233146.000000,5000000000.000000,6388233146.000000,704693351.000000,333138547.000000,,,,,,2851111110.000000,844276672360.000000,32241599207.000000,,,,,,,,,32241599207.000000,32241599207.000000,876518271567.000000,,35312500000.000000,140955814296.000000,108453847280.000000,100000000.000000,108353847280.000000,108453847280.000000,532291.000000,2271857211.000000,286994551078.000000,1163512822645.000000,1765625000.000000
