Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2019,0.00 B,355959.79,0.00,0.00,12.81 B,1.21%,5.29%,17.08%,3.20
12M 2020,0.00 B,19255.79,0.00,0.00,11.55 B,0.07%,0.29%,5.03%,2.27
12M 2021,0.00 B,1376883.25,0.00,0.00,36.21 B,3.42%,16.81%,19.92%,10.32
12M 2022,1.41 B,16.67,0.00,0.00,41.57 B,3.17%,16.04%,20.67%,9.29
12M 2023,1.77 B,20.49,8.30,0.12,57.33 B,3.99%,15.58%,21.61%,11.31
12M 2024,1.77 B,27.19,10.30,0.16,76.99 B,4.13%,16.73%,22.92%,7.75
