Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok,Pembayaran Kas Kepada Karyawan,Penerimaan Bunga,Pembayaran Beban Usaha,Pembayaran Pajak,Penerimaan Restitusi Pajak,Pembayaran Bunga,Pembayaran Operasi Lainnya,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Aset Tetap - Penjualan,Perolehan Aset Tetap,Perolehan Aset Hak-Guna,Penjualan Penyertaan Saham,"Pengurangan (Penambahan) Atas Investasi Jangka Pendek, Neto",Uang Muka Pembelian Aset Tetap,Penambahan Penyertaan Saham,Penempatan Investasi Jangka Pendek,Penerimaan Atas Investasi Jangka Pendek,Penjualan Entitas Anak,"Perolehan Entitas Anak, Setelah Dikurangi Kas Dan Setara Kas Yang Diperoleh",Penerimaan Dividen Kas,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Setoran Modal Saham,Penerimaan Dari Penawaran Umum Perdana Setelah Dikurangi Biaya Emisi Saham,Pembayaran Utang Lain-Lain,Penerimaan Utang Berelasi,Penerimaan Utang Lain-Lain,Perolehan Utang Bank,Pembayaran Utang Bank,Pembayaran Dividen Tunai,Pembayaran Dividen Interim,Pembayaran Utang Pembiayaan Konsumen,Total Arus Kas Dari Aktivitas Pendanaan,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Dari Entitas Yang Tidak Lagi Dikonsolidasikan,Kas Dan Setara Kas Akhir Periode
12M 2019,526864099.000000,1421179134720.000000,-1291463536711.000000,-75528465466.000000,512013023.000000,-45973889818.000000,-4500648236.000000,,-3688746708.000000,-8996705.000000,526864099.000000,-753044241.000000,89090910.000000,-842135151.000000,,,,,,,,,,,-753044241.000000,13975390043.000000,,,,,,1332827005522.000000,-1318825276987.000000,,,-26338492.000000,13975390043.000000,,13749209901.000000,13921738835.000000,,27670948736.000000
12M 2020,226932092.000000,1392738662566.000000,-1266889076349.000000,-76578803180.000000,754803453.000000,-37167697848.000000,-9560510905.000000,,-3065538933.000000,-4906712.000000,226932092.000000,-3827110149.000000,52727273.000000,-919537422.000000,-2960300000.000000,,,,,,,,,,-3827110149.000000,-15840428502.000000,,,,,,1632919544145.000000,-1648729544159.000000,,,-30428488.000000,-15840428502.000000,,-19440606559.000000,27670948736.000000,,8230342177.000000
12M 2021,-5362566775.000000,1762362675335.000000,-1575480371609.000000,-80745103824.000000,71177571.000000,-51085149570.000000,-57377324947.000000,,-2870498693.000000,-237971038.000000,-5362566775.000000,-9867504426.000000,88181819.000000,-4098596802.000000,-5857089443.000000,,,,,,,,,,-9867504426.000000,10484110665.000000,,,,,,1382972442187.000000,-1372471388738.000000,,,-16942784.000000,10484110665.000000,,-4745960536.000000,8230342177.000000,,3484381641.000000
12M 2022,-17992090626.000000,2058733918884.000000,-1873066117958.000000,-91442672150.000000,75579109.000000,-93592418281.000000,-15285547974.000000,,-3737098433.000000,322266177.000000,-17992090626.000000,-9415657203.000000,259549551.000000,-1575300720.000000,-8099906034.000000,,,,,,,,,,-9415657203.000000,29611661118.000000,89000000000.000000,,-65871390000.000000,,56500000000.000000,968541587261.000000,-939958536143.000000,-73700000000.000000,-4900000000.000000,,29611661118.000000,,2203913289.000000,3484381641.000000,,5688294930.000000
12M 2023,-61111789761.000000,2403602771214.000000,-2178501618618.000000,-104529633963.000000,34261065.000000,-143264854636.000000,-35387464908.000000,,-4338118886.000000,1272868971.000000,-61111789761.000000,-8216648590.000000,190540541.000000,-4341167548.000000,-4066021583.000000,,,,,,,,,,-8216648590.000000,68132243007.000000,,50289613010.000000,,,,589937815878.000000,-570869908441.000000,,,-1225277440.000000,68132243007.000000,,-1196195344.000000,5688294930.000000,,4492099586.000000
12M 2024,-93125105568.000000,2896255908053.000000,-2644020138601.000000,-114918720364.000000,40986088.000000,-155063075026.000000,-71345655664.000000,,-8572778516.000000,4498368462.000000,-93125105568.000000,-12463303122.000000,169369371.000000,-2010359124.000000,-9372102869.000000,,,-1250210500.000000,,,,,,,-12463303122.000000,108880284923.000000,,,,,5000000000.000000,483334705319.000000,-378890783753.000000,,,-563636643.000000,108880284923.000000,,3291876233.000000,4492099586.000000,,7783975819.000000
