Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Umum Dan Administrasi,Beban Penjualan,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Adjustment,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12M 2018,48139350904.000000,-37265827805.000000,10873523099.000000,-10063916374.000000,-7733441308.000000,-2330475066.000000,-10063916374.000000,809606725.000000,-7200537787.000000,2421713.000000,-6541585236.000000,-661374264.000000,-7200537787.000000,-6390931062.000000,710636287.000000,,,,710636287.000000,-5680294775.000000,,-5680294775.000000,237829149.000000,237829149.000000,237829149.000000,-5442465626.000000,-5680294775.000000,-5680294775.000000,,-5680294775.000000,-5442465626.000000,-5442465626.000000,,-5442465626.000000
12M 2019,84134466214.000000,-58040915291.000000,26093550923.000000,-11967022360.000000,-8875188352.000000,-3091834008.000000,-11967022360.000000,14126528563.000000,-6186183990.000000,1463799.000000,-6361478254.000000,173830465.000000,-6186183990.000000,7940344573.000000,-2819745472.000000,,,,-2819745472.000000,5120599101.000000,,5120599101.000000,-126933373.000000,-126933373.000000,-126933373.000000,4993665728.000000,5120599101.000000,5120599101.000000,,5120599101.000000,4993665728.000000,4993665728.000000,,4993665728.000000
12M 2020,69308751710.000000,-45881974990.000000,23426776720.000000,-11770870226.000000,-9368998713.000000,-2401871513.000000,-11770870226.000000,11655906494.000000,-5303557643.000000,4140375.000000,-5418772188.000000,111074170.000000,-5303557643.000000,6352348851.000000,-2223354302.000000,,,,-2223354302.000000,4128994549.000000,,4128994549.000000,-291808924.000000,-291808924.000000,-291808924.000000,3837185625.000000,4128994549.000000,4128994549.000000,,4128994549.000000,3837185625.000000,3837185625.000000,,3837185625.000000
12M 2021,49213151806.000000,-43122849859.000000,6090301947.000000,-13166004709.000000,-11677491696.000000,-1488513013.000000,-13166004709.000000,-7075702762.000000,-47639406582.000000,2699338.000000,-8617768455.000000,-39024337465.000000,-47639406582.000000,-54715109344.000000,-1087876151.000000,,,,-1087876151.000000,-55802985495.000000,,-55802985495.000000,91014312828.000000,91014312828.000000,91014312828.000000,35211327333.000000,-55802985495.000000,-55802985495.000000,,-55802985495.000000,35211327333.000000,35211327333.000000,,35211327333.000000
12M 2022,58039050603.000000,-48156897866.000000,9882152737.000000,-17129625146.000000,-13202923800.000000,-3926701346.000000,-17129625146.000000,-7247472409.000000,-11663607259.000000,,-5882777741.000000,-5780829518.000000,-11663607259.000000,-18911079668.000000,694056111.000000,,,,694056111.000000,-18217023557.000000,,-18217023557.000000,179882762.000000,179882762.000000,179882762.000000,-18037140795.000000,-18217023557.000000,-18217023557.000000,,-18217023557.000000,-18037140795.000000,-18037140795.000000,,-18037140795.000000
12M 2023,46081970517.000000,-40963421636.000000,5118548881.000000,-16452645699.000000,-12250107275.000000,-4202538424.000000,-16452645699.000000,-11334096818.000000,17833926822.000000,,-2847512125.000000,20681438947.000000,17833926822.000000,6499830004.000000,378884525.000000,,,,378884525.000000,6878714529.000000,,6878714529.000000,429862680.000000,429862680.000000,429862680.000000,7308577209.000000,6878714529.000000,6878714529.000000,,6878714529.000000,7308577209.000000,7308577209.000000,,7308577209.000000
12M 2024,35472601407.000000,-41423287257.000000,-5950685850.000000,-18095770449.000000,-14856788021.000000,-3238982428.000000,-18095770449.000000,-24046456299.000000,-23982195559.000000,,-1484375626.000000,-22497819933.000000,-23982195559.000000,-48028651858.000000,5583985666.000000,,,,5583985666.000000,-42444666192.000000,,-42444666192.000000,-51015133.000000,-51015133.000000,-51015133.000000,-42495681325.000000,-42444666192.000000,-42444666192.000000,,-42444666192.000000,-42495681325.000000,-42495681325.000000,,-42495681325.000000
