Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok,Pembayaran Kas Kepada Karyawan,Pembayaran Kas Untuk Beban Usaha,Penerimaan (Pembayaran) Lain-Lain,Adjustment,Pembayaran Pajak Penghasilan,Penerimaan Bunga,Pembayaran Beban Keuangan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penerimaan Dari Penjualan Aset Tetap,Perolehan Aset Tetap,Uang Muka Untuk Perolehan Aset Tetap,Aset Lain-Lain,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penambahan Tambahan Modal Disetor,Kenaikan Modal Saham,Penerimaan Dari Utang Bank Jangka Pendek,Pembayaran Utang Bank Jangka Pendek,Penerimaan Utang Bank Jangka Panjang,Pembayaran Utang Bank Jangka Panjang,Penurunan Bersih Utang Pembiayaan Konsumen,Penurunan Bersih Utang Bank Jangka Pendek,Penerimaan Utang Pembiayaan Konsumen,Pembayaran Utang Pembiayaan Konsumen,Penerimaan Utang Lain-Lain Pihak Ketiga,Penerimaan Utang Lain-Lain Pihak Berelasi,Pembayaran Utang Sewa Pembiayaan,Kenaikan (Penurunan) Bersih Atas Utang Lain-Lain Pihak Berelasi - Jangka Panjang,Kenaikan (Penurunan) Bersih Atas Utang Lain-Lain Pihak Berelasi - Jangka Pendek,Kenaikan (Penurunan) Bersih Atas Utang Lain-Lain,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12M 2018,2869927197.000000,47536353725.000000,-26420880428.000000,-8321078294.000000,-3366985578.000000,68832531.000000,,-87151236.000000,2421713.000000,-6541585236.000000,2869927197.000000,-16624784796.000000,3618000000.000000,-20242784796.000000,,,-16624784796.000000,13563189977.000000,,,45739786387.000000,-7001426579.000000,27922853333.000000,-43953622347.000000,,,,-758888736.000000,,,-1907198935.000000,-6478313146.000000,,,13563189977.000000,-191667622.000000,310778889.000000,119111267.000000
12M 2019,12216243778.000000,76345962876.000000,-43739832080.000000,-9846533789.000000,-4032136898.000000,78474124.000000,,-229676000.000000,1463799.000000,-6361478254.000000,12216243778.000000,-3712117650.000000,2248337880.000000,-4960338914.000000,-1000116616.000000,,-3712117650.000000,-8003498703.000000,,,11002683954.000000,-11051469833.000000,,-1239758924.000000,,,,-440029683.000000,,,-2796664542.000000,-3478259675.000000,,,-8003498703.000000,500627425.000000,119111267.000000,619738692.000000
12M 2020,13459576697.000000,80496917217.000000,-41853376716.000000,-10223612323.000000,-4246086863.000000,-2925000000.000000,,-2374632805.000000,4140375.000000,-5418772188.000000,13459576697.000000,-5219349590.000000,9715861328.000000,-9620158678.000000,-5315052240.000000,,-5219349590.000000,-6872190087.000000,,,5865802025.000000,-5813000000.000000,,-1140992285.000000,,,,-489337837.000000,,,-3010344947.000000,-2284317043.000000,,,-6872190087.000000,1368037020.000000,619438692.000000,1987475712.000000
12M 2021,-30011565241.000000,48291685962.000000,-25882356999.000000,-13503116027.000000,-6456186956.000000,-23071777798.000000,,-774744306.000000,2699338.000000,-8617768455.000000,-30011565241.000000,-3089337436.000000,4160261736.000000,-6471324172.000000,-778275000.000000,,-3089337436.000000,32788569247.000000,18750000000.000000,12500000000.000000,13135019895.000000,-10918035602.000000,,-1547593030.000000,,,1776239796.000000,-692018736.000000,,,-3751291972.000000,3536248896.000000,,,32788569247.000000,-312333430.000000,386098379.000000,73764949.000000
12M 2022,12256452530.000000,61922788397.000000,-41595297354.000000,-12475911105.000000,-3300951746.000000,12880334004.000000,,708268076.000000,1341323.000000,-5884119065.000000,12256452530.000000,1380939675.000000,2592511146.000000,-778061399.000000,-198510072.000000,-235000000.000000,1380939675.000000,-13572363501.000000,,,998695662.000000,,,-1150408577.000000,,,-3718440406.000000,,,-10810631000.000000,,1108420820.000000,,,-13572363501.000000,65028704.000000,,138793653.000000
12M 2023,18064889637.000000,44892940501.000000,-33290967928.000000,-1751478465.000000,-1791112179.000000,12768052014.000000,,,8043658.000000,-2770587964.000000,18064889637.000000,-147864106.000000,,,,-147864106.000000,-147864106.000000,-491268154.000000,,,,,,-491268154.000000,,,,,,,,,,,-491268154.000000,17425757377.000000,138793653.000000,17564551030.000000
12M 2024,-35287385603.000000,42022776588.000000,-37593193741.000000,-2200539452.000000,-3612923944.000000,-32524530148.000000,,,17225606.000000,-1396200512.000000,-35287385603.000000,81066931953.000000,81209234237.000000,-142302284.000000,,,81066931953.000000,-63217689369.000000,,,,,,,-381133086.000000,-288247162.000000,,,,,,,,-62548309121.000000,-63217689369.000000,-17438143019.000000,17564551030.000000,126408011.000000
