Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kas Kepada Pemasok,Pembayaran Kas Kepada Karyawan,Pembayaran Untuk Beban Pabrikasi Dan Usaha,Pembayaran Pajak Penghasilan,Pembayaran Bunga Hutang Bank,Penerimaan Penghasilan Keuangan,Penerimaan Kas Dari Pengembalian Pajak Penghasilan,Penerimaan Penghasilan Bunga,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Pencairan Investasi Jangka Pendek,Penanaman Investasi Jangka Panjang,Penambahan Penyertaan Saham,Pencairan (Penempatan) Deposito Berjangka,Penerimaan Utang Bank,Perolehan Aset Tetap,Penerimaan Hasil Penjualan Aktiva Tetap,Penerimaan Dividen Kas,Uang Muka Pembelian Aset Tetap,Uang Muka Pembelian Aset Takberwujud,Total Arus Kas Dari Aktivitas Investasi,Advances For Acquisition Of Intangible Assets,Penambahan Aset Tidak Berwujud,Total Advances For Acquisition Of Intangible Assets,Arus Kas Dari Aktivitas Pendanaan,Pembayaran Deviden,Penerimaan Hutang Bank,Pembayaran Hutang Bank,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2016,14940236.000000,134063434.000000,-102734030.000000,-7153556.000000,-7653758.000000,-1678216.000000,,96362.000000,,,14940236.000000,-3540829.000000,,,,104356.000000,,-2620736.000000,12974.000000,145060.000000,-1182483.000000,,-3540829.000000,,,,-716040.000000,-716040.000000,,,-716040.000000,10683367.000000,10401293.000000,102738.000000,21187398.000000
12M 2017,-8293984.000000,136849213.000000,-125761183.000000,-8652943.000000,-9299189.000000,-1539301.000000,,109419.000000,,,-8293984.000000,-8537279.000000,,,,-25443.000000,,-8671551.000000,30679.000000,135597.000000,-6561.000000,,-8537279.000000,,,,-1774800.000000,-1774800.000000,,,-1774800.000000,-18606063.000000,21187398.000000,-120589.000000,2460746.000000
12M 2018,9887771.000000,198478041.000000,-168200548.000000,-8444033.000000,-11502189.000000,-409130.000000,-59979.000000,25609.000000,,,9887771.000000,-3091947.000000,,,,25443.000000,,-2878665.000000,4122.000000,155235.000000,-398082.000000,,-3091947.000000,-59270.000000,-59270.000000,-59270.000000,-410951.000000,-410951.000000,27600000.000000,-27600000.000000,-410951.000000,6325603.000000,2460746.000000,-71024.000000,8715325.000000
12M 2019,4074784.000000,202186307.000000,-174595079.000000,-9178038.000000,-11780149.000000,-6158458.000000,-241030.000000,23436.000000,3817795.000000,,4074784.000000,-6058611.000000,,,-538508.000000,-4582.000000,,-4025008.000000,21123.000000,93364.000000,-1605000.000000,,-6058611.000000,-146974.000000,-146974.000000,-146974.000000,1879787.000000,-773568.000000,124889850.000000,-122236495.000000,1879787.000000,-251014.000000,8715325.000000,-352410.000000,8111901.000000
12M 2020,9309215.000000,158771721.000000,-131489437.000000,-8816368.000000,-8527526.000000,-503524.000000,-144169.000000,18518.000000,,,9309215.000000,-10346024.000000,,,,4582.000000,,-9786537.000000,21832.000000,39525.000000,-625426.000000,,-10346024.000000,-127038.000000,-127038.000000,-127038.000000,-227393.000000,-875160.000000,201817294.000000,-201169527.000000,-227393.000000,-1391240.000000,8111901.000000,312905.000000,7033566.000000
12M 2021,-10763621.000000,228836347.000000,-218942312.000000,-8561534.000000,-9582104.000000,-2463153.000000,-80719.000000,26797.000000,3057.000000,,-10763621.000000,-6272849.000000,,,,,,-6324190.000000,12968.000000,164222.000000,-125849.000000,,-6272849.000000,,,,14200000.000000,,493500000.000000,-479300000.000000,14200000.000000,-2836470.000000,7033566.000000,55230.000000,4252326.000000
12M 2022,-3246278.000000,224223055.000000,-208339308.000000,-7786740.000000,-10638768.000000,-133431.000000,-764553.000000,16833.000000,176634.000000,,-3246278.000000,-1355630.000000,,,,,,-1524201.000000,33351.000000,135220.000000,,,-1355630.000000,-5694.000000,-5694.000000,-5694.000000,3137838.000000,,648500329.000000,-645362491.000000,3137838.000000,-1469764.000000,4252326.000000,-228997.000000,2553565.000000
12M 2023,24380067.000000,254026768.000000,-212149274.000000,-10003723.000000,-11970195.000000,-1591600.000000,-814728.000000,11862.000000,6870957.000000,,24380067.000000,-1435670.000000,,,,,,-1493423.000000,23589.000000,201192.000000,-55316.000000,-111712.000000,-1435670.000000,-111712.000000,-13846.000000,-111712.000000,-20714293.000000,-1258164.000000,379308526.000000,-398764655.000000,-20714293.000000,2216258.000000,2553565.000000,-142330.000000,4627493.000000
