Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Final,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2021,453377915036.000000,-417755217122.000000,35622697914.000000,-22788922016.000000,-8671940270.000000,-12989924986.000000,-1127056760.000000,-22788922016.000000,12833775898.000000,30195466.000000,30195466.000000,,30195466.000000,12863971364.000000,-3502513383.000000,,,,-3502513383.000000,9361457981.000000,161809349.000000,161809349.000000,161809349.000000,9523267330.000000,9361457981.000000,9361457981.000000,,9361457981.000000,9523267330.000000,9523267330.000000,,9523267330.000000
12M 2022,440044949150.000000,-402338486006.000000,37706463144.000000,-24067015881.000000,-11584486277.000000,-12637984450.000000,155454846.000000,-24067015881.000000,13639447263.000000,35788429.000000,36003920.000000,-215491.000000,35788429.000000,13675235692.000000,-3899874497.000000,,,,-3899874497.000000,9775361195.000000,103449987.000000,103449987.000000,103449987.000000,9878811182.000000,9775361195.000000,9775361195.000000,,9775361195.000000,9878811182.000000,9878811182.000000,,9878811182.000000
12M 2023,600000900101.000000,-544780743017.000000,55220157084.000000,-21953585459.000000,-12732072164.000000,-8729614034.000000,-491899261.000000,-21953585459.000000,33266571625.000000,22586252.000000,37022947.000000,-14436695.000000,22586252.000000,33289157877.000000,-7465711511.000000,,,,-7465711511.000000,25823446366.000000,-3564456784.000000,-3564456784.000000,-3564456784.000000,22258989582.000000,25823446366.000000,25823446366.000000,,25823446366.000000,22258989582.000000,22258989582.000000,,22258989582.000000
12M 2024,541183464172.000000,-492280619843.000000,48902844329.000000,-15904438184.000000,-6973896162.000000,-15842176483.000000,6911634461.000000,-15904438184.000000,32998406145.000000,1887623335.000000,2207134585.000000,-319511250.000000,1887623335.000000,34886029480.000000,-7825648080.000000,,,,-7825648080.000000,27060381400.000000,-6625997730.000000,-6625997730.000000,-6625997730.000000,20434383670.000000,27060381400.000000,27060385491.000000,-4091.000000,27060381400.000000,20434383670.000000,20434387761.000000,-4091.000000,20434383670.000000
