Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Tetap,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2021,,,32425609382.000000,51976758407.000000,51976758407.000000,,51976758407.000000,,,,,26651431293.000000,509718630.000000,111563517712.000000,,8206744412.000000,1113649339.000000,,9320393751.000000,120883911463.000000,,,73422014660.000000,,,62557053669.000000,1821475347.000000,64378529016.000000,,,,9043485644.000000,,,73422014660.000000,4717719238.000000,4717719238.000000,4717719238.000000,78139733898.000000,,250000000.000000,,42515883348.000000,,42515883348.000000,42515883348.000000,,-21705783.000000,42744177565.000000,120883911463.000000,2500.000000
12M 2022,,,27445447053.000000,7550319019.000000,7550319019.000000,,7550319019.000000,18183162.000000,18183162.000000,,18183162.000000,77823389889.000000,2894475652.000000,115731814775.000000,,6604715864.000000,1173503981.000000,,7778219845.000000,123510034620.000000,,,66284911775.000000,,,56813310712.000000,2261334180.000000,59074644892.000000,,,,7210266883.000000,,,66284911775.000000,4602134098.000000,4602134098.000000,4602134098.000000,70887045873.000000,,250000000.000000,,52291244543.000000,,52291244543.000000,52291244543.000000,,81744204.000000,52622988747.000000,123510034620.000000,30000.000000
12M 2023,,,64062529308.000000,61680973294.000000,61680973294.000000,,61680973294.000000,253812000.000000,253812000.000000,,253812000.000000,70354310150.000000,4604148740.000000,200955773492.000000,,72144451880.000000,1155793901.000000,42809276664.000000,116109522445.000000,317065295937.000000,,,123209438211.000000,22000000000.000000,,92416052194.000000,4326695563.000000,96742747757.000000,,,,4466690454.000000,,,123209438211.000000,4870679397.000000,4870679397.000000,4870679397.000000,128080117608.000000,,164353200000.000000,,28114690909.000000,1000000000.000000,27114690909.000000,28114690909.000000,,-3482712580.000000,188985178329.000000,317065295937.000000,1643532.000000
12M 2024,,,110227778895.000000,136794301125.000000,120042623125.000000,16751678000.000000,136794301125.000000,194730500.000000,194730500.000000,,194730500.000000,60770018756.000000,40013757105.000000,348000586381.000000,,81332558282.000000,1522119101.000000,40161332992.000000,123016010375.000000,471016596756.000000,,,108547448728.000000,,,99329524885.000000,2963383000.000000,102292907885.000000,,112616912.000000,112616912.000000,3366766789.000000,2191465215.000000,583691927.000000,108547448728.000000,7007060779.000000,7007060779.000000,7007060779.000000,115554509507.000000,,205625000000.000000,119769725250.000000,40175076400.000000,9870000000.000000,30305076400.000000,40175076400.000000,995909.000000,-10108710310.000000,355462087249.000000,471016596756.000000,4112500000.000000
