Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok Dan Pihak Ketiga Lainnya,Pembayaran Kepada Karyawan,Pembayaran (Penerimaan) Pajak,Pembayaran Biaya Keuangan,Penerimaan Penghasilan Keuangan,"Pembayaran Untuk Beban Penjualan, Umum Dan Administrasi, Dan Operasi Lainnya",Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penerimaan Dividen Dari Investasi Saham,Penerimaan Dari Penjualan Aset,Perolehan Investasi Saham,Perolehan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Utang Bank Jangka Pendek,Pembayaran Utang Bank Jangka Pendek,Penerimaan Tambahan Modal Disetor,Pembayaran Dividen,Penerimaan Dari Penawaran Umum Perdana Saham Setelah Dikurangi Biaya Penerbitan Penawaran Umum,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2021,16004017389.000000,569762652053.000000,-481570815556.000000,-40486128484.000000,-3135956645.000000,,30195466.000000,-28595929445.000000,16004017389.000000,-2078124974.000000,,,,-2078124974.000000,-2078124974.000000,-10000000000.000000,,,,-10000000000.000000,,-10000000000.000000,3925892415.000000,28499716967.000000,32425609382.000000
12M 2022,-3971675329.000000,484471388538.000000,-408963207172.000000,-47917762839.000000,-3371565047.000000,-215491.000000,36003920.000000,-28226317238.000000,-3971675329.000000,-1008487000.000000,,,,-1008487000.000000,-1008487000.000000,,,,,,,,-4980162329.000000,32425609382.000000,27445447053.000000
12M 2023,14844643278.000000,545870245826.000000,-443248395645.000000,-51430720797.000000,-4437714094.000000,-14436695.000000,37022947.000000,-31931358264.000000,14844643278.000000,-47977561023.000000,,,-46604197739.000000,-1373363284.000000,-47977561023.000000,69750000000.000000,22000000000.000000,,47750000000.000000,,,69750000000.000000,36617082255.000000,27445447053.000000,64062529308.000000
12M 2024,-65288029703.000000,483405506268.000000,-402429828233.000000,-50606406794.000000,-10878885933.000000,-319511250.000000,2207134585.000000,-86666038346.000000,-65288029703.000000,-12588245960.000000,1194304203.000000,91000000.000000,,-13873550163.000000,-12588245960.000000,124041525250.000000,9000000000.000000,-31000000000.000000,146800000.000000,-15000000000.000000,160894725250.000000,124041525250.000000,46165249587.000000,64062529308.000000,110227778895.000000
