Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok,Penerimaan Penghasilan Bunga,Pembayaran Untuk Beban Usaha,Pembayaran Kepada Karyawan,Pembayaran Royalti,Pembayaran Pajak,Penerimaan Restitusi Pajak Penghasilan,Pembayaran Beban Bunga,Pembayaran Lainnya,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Pembayaran Uang Muka Aset Tetap,Penambahan Aset Eksplorasi Dan Evaluasi,Penarikan (Penempatan) Investasi Jangka Pendek,Penambahan Properti Pertambangan,Penambahan Biaya Pengupasan,Hasil Penjualan Saham Entitas Asosiasi,Penyelesaian Invetasi Pada Ventura Bersama,Penerimaan Dividen Dari Ventura Bersama,Uang Muka Investasi,Penerimaan Dari Penjualan Aset Tetap,Akuisisi Kepentingan Nonpengendali Pada Entitas Anak,Pencairan (Penambahan) Kas Yang Dibatasi Penggunaannya,Penambahan Aset Pra-Operasi,Penambahan Investasi Pada Ventura Bersama,Penambahan Aset Tidak Lancar Lainnya,Kombinasi Bisnis Entitas Sepengendali,Adjustment,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Utang Bank Jangka Pendek,Penerimaan Uang Muka Setoran Modal,Penerimaan Dari Penawaran Umum Saham,Penurunan Utang Pihak Berelasi,Pembayaran Utang Bank Jangka Pendek,Pembayaran Dividen Kas Kepada Kepentingan Nonpengendali,Pembayaran Utang Bank Jangka Panjang,Pembayaran Sewa Pembiayaan,Penambahan Kepentingan Non Pengendali,Dividen Tunai,Pembayaran Liabilitas Sewa,Kenaikan Utang Pihak Berelasi,Kenaikan Piutang Pihak Berelasi,Pembayaran Utang Pembiayaan Konsumen,Total Arus Kas Dari Aktivitas Pendanaan,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2013,15845031.000000,115164826.000000,-74024108.000000,,-6285542.000000,-2181501.000000,-8720857.000000,-6111913.000000,,-1582745.000000,-413129.000000,15845031.000000,-15968578.000000,-8205334.000000,,-571798.000000,,,,,,,,,-503426.000000,,,,,-6688020.000000,,-15968578.000000,1093492.000000,15917819.000000,-10607156.000000,7265916.000000,,,,-8051500.000000,-2048054.000000,,-498340.000000,,-130119.000000,-106287.000000,-648787.000000,1093492.000000,-883316.000000,86629.000000,9958488.000000,10045117.000000
12M 2014,271633.000000,104746005.000000,-81841905.000000,,-4246923.000000,-6264024.000000,-8809212.000000,-2991815.000000,,-618378.000000,297885.000000,271633.000000,-5484060.000000,-4876135.000000,,-776122.000000,,,,,,,,168197.000000,,,,,,,,-5484060.000000,5694751.000000,20150328.000000,-21717282.000000,13130503.000000,,,,-4025750.000000,-1382720.000000,,,,,,-460328.000000,5694751.000000,-35667.000000,446657.000000,10045117.000000,10491774.000000
12M 2015,30476707.000000,200402511.000000,-111167783.000000,,-25576423.000000,-7113912.000000,-14819449.000000,-10756658.000000,,-349170.000000,-142409.000000,30476707.000000,-10087152.000000,-10142736.000000,,,,,,,,,,55584.000000,,,,,,,,-10087152.000000,-10737584.000000,5463627.000000,-8307336.000000,,,,,,-537137.000000,,-7242604.000000,,,,-114134.000000,-10737584.000000,-399771.000000,9252200.000000,10491774.000000,19743974.000000
12M 2016,36075244.000000,197616422.000000,-98509378.000000,,-28520731.000000,-7901390.000000,-12239412.000000,-13823188.000000,,-242851.000000,-304228.000000,36075244.000000,-4783184.000000,-4820861.000000,,,,,,88426.000000,,,,130335.000000,-181084.000000,,,,,,,-4783184.000000,-10396348.000000,5700000.000000,-6600000.000000,,,,,,-134964.000000,,-9327329.000000,,,,-34055.000000,-10396348.000000,34671.000000,20930383.000000,19743974.000000,40674357.000000
12M 2017,70245150.000000,266446859.000000,-148570672.000000,,,-8900076.000000,-15634467.000000,-22848370.000000,,-248124.000000,,70245150.000000,-12917979.000000,-5798560.000000,,,,,,,,,-7495631.000000,376212.000000,,,,,,,,-12917979.000000,-28029611.000000,10000000.000000,-10000000.000000,,,,,,-162180.000000,,-27845510.000000,,,,-21921.000000,-28029611.000000,79338.000000,29376898.000000,40674357.000000,70051255.000000
12M 2018,39222612.000000,246434861.000000,-156555294.000000,,,-10033333.000000,-15499795.000000,-24679976.000000,,-443851.000000,,39222612.000000,-12622762.000000,-6543935.000000,,,,,,,-5921622.000000,,,253758.000000,,-410963.000000,,,,,,-12622762.000000,-42328896.000000,8871380.000000,-2500000.000000,,,,-71.000000,,-108092.000000,,-48569395.000000,,,,-22718.000000,-42328896.000000,-60468.000000,-15789514.000000,70051255.000000,54261741.000000
12M 2019,51860700.000000,261096678.000000,-176830858.000000,1367345.000000,,-10560580.000000,-12342920.000000,-10297736.000000,,-571229.000000,,51860700.000000,-65910234.000000,-3441154.000000,,,-62000000.000000,,,,,,,91686.000000,,-560766.000000,,,,,,-65910234.000000,-11121699.000000,7015977.000000,-4037241.000000,,,,,,-95495.000000,,-14000000.000000,,,,-4940.000000,-11121699.000000,13433.000000,-25157800.000000,54261741.000000,29103941.000000
12M 2020,44616153.000000,209217839.000000,-145887628.000000,2097523.000000,,-9898350.000000,-8108410.000000,-2436902.000000,,-367919.000000,,44616153.000000,15387763.000000,-801213.000000,,,19000000.000000,,,,,,,3847.000000,,-2814871.000000,,,,,,15387763.000000,-43456622.000000,,-4675059.000000,,,,,,-48559.000000,,-34715133.000000,-4017871.000000,,,,-43456622.000000,411935.000000,16959229.000000,29103941.000000,46063170.000000
12M 2021,107270943.000000,285374547.000000,-129150351.000000,1061822.000000,,-10642996.000000,-20134340.000000,-19101571.000000,,-136168.000000,,107270943.000000,-42547339.000000,-2802681.000000,,,-40000000.000000,,,,,,,208022.000000,,949103.000000,,-8592.000000,-893191.000000,,,-42547339.000000,-47705867.000000,,-4675057.000000,,,,,,,,-38937092.000000,-4093718.000000,,,,-47705867.000000,801551.000000,17819288.000000,46063170.000000,63882458.000000
12M 2022,201315222.000000,476224900.000000,-161317572.000000,1396837.000000,,-15450010.000000,-41408198.000000,-58052572.000000,,-78163.000000,,201315222.000000,-28884492.000000,-4116637.000000,,,-22489482.000000,,,,,,,199088.000000,,-1575374.000000,,-773790.000000,-128297.000000,,,-28884492.000000,-133036982.000000,,,,,,,,,286183.000000,-129376606.000000,-3946559.000000,,,,-133036982.000000,-1522007.000000,37871741.000000,63882458.000000,101754199.000000
