Period,Aset,Aset Lancar,Kas Dan Setara Kas,Investasi Jangka Pendek,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Eksplorasi Dan Evaluasi,Properti Pertambangan,Investasi Pada Entitas Asosiasi,Investasi Pada Entitas Pengendalian Bersama,Aset Tetap,Aset Pajak Tangguhan,Biaya Pengupasan Tanah Yang Ditangguhkan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Beban Akrual,Utang Sewa Pembiayaan,Utang Pajak,Others,Total Utang Pajak,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Sewa Pembiayaan,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Pajak Tangguhan,Utang Bank Jangka Pendek,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Sewa Pembiayaan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Belum Ditentukan Penggunaannya,Others,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2013,,,10045117.000000,,14623806.000000,14623806.000000,,14623806.000000,465545.000000,127345.000000,338200.000000,465545.000000,9755499.000000,1249418.000000,36139385.000000,,2988300.000000,5498883.000000,,,25271548.000000,140289.000000,,2286782.000000,36185802.000000,72325187.000000,,,50469374.000000,5310663.000000,,7012041.000000,436500.000000,7448541.000000,,,19776680.000000,19776680.000000,7325752.000000,,1352813.000000,,1352813.000000,5791106.000000,,5791106.000000,3463819.000000,50469374.000000,2739696.000000,444045.000000,,614091.000000,,1681560.000000,2739696.000000,53209070.000000,,9694273.000000,3151281.000000,6032777.000000,6032777.000000,,6032777.000000,580.000000,237206.000000,19116117.000000,72325187.000000,1104544752.000000
12M 2014,,,10491774.000000,,18225435.000000,18225435.000000,,18225435.000000,813153.000000,461797.000000,351356.000000,813153.000000,13831898.000000,785594.000000,44147854.000000,,,7919944.000000,,,25791222.000000,1202898.000000,,1344874.000000,36258938.000000,80406792.000000,,,31561528.000000,3743709.000000,,12711445.000000,124728.000000,12836173.000000,,77009.000000,1020233.000000,1097242.000000,7863128.000000,,3347521.000000,,3347521.000000,626058.000000,,626058.000000,2047697.000000,31561528.000000,2671585.000000,,,84594.000000,,2586991.000000,2671585.000000,34233113.000000,,10743672.000000,15232385.000000,19960202.000000,19960202.000000,,19960202.000000,214.000000,237206.000000,46173679.000000,80406792.000000,1104544752.000000
12M 2015,,,19743974.000000,,34936532.000000,13438514.000000,21498018.000000,34936532.000000,181584.000000,3953.000000,177631.000000,181584.000000,13149707.000000,601512.000000,68613309.000000,,,6432833.000000,,,32176598.000000,1811131.000000,,129158.000000,40549720.000000,109163029.000000,,,33097646.000000,900000.000000,,12401458.000000,2411616.000000,14813074.000000,,76522.000000,5643.000000,82165.000000,11441687.000000,,5712831.000000,,5712831.000000,147889.000000,,147889.000000,,33097646.000000,2219637.000000,,,78496.000000,,2141141.000000,2219637.000000,35317283.000000,,10743672.000000,15232385.000000,47632187.000000,47632187.000000,,47632187.000000,359.000000,237143.000000,73845746.000000,109163029.000000,1227271952.000000
12M 2016,,,40674357.000000,,24485947.000000,19990538.000000,4495409.000000,24485947.000000,299072.000000,54140.000000,244932.000000,299072.000000,9794590.000000,1291762.000000,76545728.000000,,,5812734.000000,80960.000000,,31612964.000000,2113384.000000,,209989.000000,39830031.000000,116375759.000000,,,22194952.000000,,,5688831.000000,1468771.000000,7157602.000000,,,129981.000000,129981.000000,13590798.000000,,1225380.000000,,1225380.000000,81174.000000,,81174.000000,10017.000000,22194952.000000,2550424.000000,,,49857.000000,,2500567.000000,2550424.000000,24745376.000000,,10743672.000000,15232385.000000,65420003.000000,65420003.000000,,65420003.000000,378.000000,233945.000000,91630383.000000,116375759.000000,1227271952.000000
12M 2017,,,70051255.000000,,16625185.000000,12675005.000000,3950180.000000,16625185.000000,170558.000000,43418.000000,127140.000000,170558.000000,21158220.000000,549334.000000,108554552.000000,,,5142929.000000,80389.000000,,32643958.000000,5465071.000000,,8892063.000000,52224410.000000,160778962.000000,,,34325524.000000,,,6335375.000000,1211329.000000,7546704.000000,,,126760.000000,126760.000000,24883169.000000,,,1590420.000000,1590420.000000,139819.000000,,139819.000000,38652.000000,34325524.000000,4149097.000000,,,153706.000000,,3995391.000000,4149097.000000,38474621.000000,,10743672.000000,15415593.000000,95915943.000000,95915943.000000,,95915943.000000,389.000000,228744.000000,122304341.000000,160778962.000000,1227271952.000000
12M 2018,,,54261741.000000,,28328353.000000,27085142.000000,1243211.000000,28328353.000000,860430.000000,35485.000000,824945.000000,860430.000000,22828891.000000,1576483.000000,107855898.000000,,,4528229.000000,74719.000000,13405786.000000,33383746.000000,4189959.000000,,10070925.000000,65653364.000000,173509262.000000,,,40887182.000000,2123794.000000,,6675446.000000,1312366.000000,7987812.000000,,1161901.000000,172415.000000,1334316.000000,,,,2626926.000000,2626926.000000,,96506.000000,96506.000000,26717828.000000,40887182.000000,8440826.000000,,4247586.000000,47298.000000,,4145942.000000,8440826.000000,49328008.000000,,10743672.000000,15415593.000000,97852341.000000,97852341.000000,,97852341.000000,351.000000,169297.000000,124181254.000000,173509262.000000,1227271952.000000
12M 2019,,,29103941.000000,62000000.000000,28081478.000000,24161282.000000,3920196.000000,28081478.000000,349287.000000,83560.000000,265727.000000,349287.000000,11390183.000000,1165827.000000,132090716.000000,,,3806603.000000,,12723822.000000,29843952.000000,3676180.000000,,10386016.000000,60436573.000000,192527289.000000,,,36654975.000000,4675058.000000,,6505194.000000,1205361.000000,7710555.000000,,41060.000000,,41060.000000,20213984.000000,,,3944944.000000,3944944.000000,,49272.000000,49272.000000,20102.000000,36654975.000000,10231924.000000,,4675058.000000,,,5556866.000000,10231924.000000,46886899.000000,,10743672.000000,15415593.000000,119270534.000000,119270534.000000,,119270534.000000,426.000000,210165.000000,145640390.000000,192527289.000000,1227271952.000000
12M 2020,,,46063170.000000,43000000.000000,20070926.000000,16776000.000000,3294926.000000,20070926.000000,864228.000000,491788.000000,372440.000000,864228.000000,13090584.000000,2561244.000000,125650152.000000,,,3115300.000000,,12710438.000000,23422018.000000,3780758.000000,,13294436.000000,56322950.000000,181973102.000000,,,33560298.000000,4675057.000000,,5605197.000000,160962.000000,5766159.000000,50407.000000,,,50407.000000,16375393.000000,,3095609.000000,,3095609.000000,,3597673.000000,3597673.000000,,33560298.000000,10192628.000000,,,,3949244.000000,6243384.000000,10192628.000000,43752926.000000,,10743672.000000,15415593.000000,111771387.000000,109622653.000000,2148734.000000,111771387.000000,494.000000,289030.000000,138220176.000000,181973102.000000,1227271952.000000
12M 2021,,,63882458.000000,83000000.000000,44536505.000000,44536505.000000,,44536505.000000,1773229.000000,1315606.000000,457623.000000,1773229.000000,11620855.000000,4735087.000000,209548134.000000,,,2440967.000000,,12585269.000000,18997876.000000,4699616.000000,,9448577.000000,48172305.000000,257720439.000000,,,52680581.000000,,,6649591.000000,1401180.000000,8050771.000000,5390.000000,,,5390.000000,25689280.000000,,15033747.000000,,15033747.000000,,3901393.000000,3901393.000000,,52680581.000000,5056197.000000,,,,,5056197.000000,5056197.000000,57736778.000000,,10743672.000000,15415593.000000,173567948.000000,171419214.000000,2148734.000000,173567948.000000,591.000000,255857.000000,199983661.000000,257720439.000000,1227271952.000000
12M 2022,,,101754199.000000,105489482.000000,17847209.000000,17847209.000000,,17847209.000000,800979.000000,348563.000000,452416.000000,800979.000000,29937705.000000,6526847.000000,262356421.000000,,,1890683.000000,,12904552.000000,15461602.000000,5325566.000000,,8608947.000000,44191350.000000,306547771.000000,,,48966726.000000,,,4262051.000000,3315226.000000,7577277.000000,54325.000000,,,54325.000000,32511527.000000,,8823597.000000,,8823597.000000,,,,,48966726.000000,7315285.000000,,,,,7315285.000000,7315285.000000,56282011.000000,,10743672.000000,15415593.000000,223688291.000000,221539557.000000,2148734.000000,223688291.000000,469720.000000,-51516.000000,250265760.000000,306547771.000000,1227271952.000000
