Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2013,0.00,211.10,0.00,211.10,135 B,7 B,143 B,20 B,(175 B)
12M 2014,2.52,520.07,2.52,520.07,54 B,1 B,55 B,(75 B),157 B
12M 2015,1.34,830.05,1.34,830.05,14 B,1 B,16 B,(257 B),490 B
12M 2016,2.08,1003.15,2.08,1003.15,1 B,1 B,2 B,(545 B),730 B
12M 2017,2.15,1350.13,2.15,1350.13,2 B,2 B,4 B,(945 B),"1,006 B"
12M 2018,1.95,1465.25,1.95,1465.25,32 B,62 B,94 B,(691 B),970 B
12M 2019,1.20,1649.63,1.20,1649.63,66 B,65 B,131 B,(274 B),"1,327 B"
12M 2020,1.69,1588.55,1.69,1588.55,117 B,56 B,172 B,(477 B),"1,299 B"
12M 2021,1.55,2326.59,1.55,2326.59,56 B,,56 B,(856 B),"2,240 B"
12M 2022,2.40,3173.56,2.40,3173.56,,,,"(1,587 B)","3,327 B"
12M 2023,1.97,2155.55,1.97,2155.55,1 B,2 B,3 B,"(1,305 B)","2,138 B"
12M 2024,1.11,2433.39,1.11,2433.39,9 B,77 B,86 B,"(1,921 B)","2,199 B"
