Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Umum Dan Administrasi,Beban Penjualan,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Bagian Atas Hasil Bersih Pengendalian Bersama Entitas,Bagian Atas Hasil Bersih Entitas Asosiasi,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Penyesuaian Proforma,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2013,115695508.000000,-100173186.000000,15522322.000000,-7201422.000000,-8543381.000000,,1341959.000000,-7201422.000000,8320900.000000,-1748290.000000,96016.000000,,,-1844306.000000,,-1748290.000000,6572610.000000,-2722504.000000,3850106.000000,,3850106.000000,-305440.000000,,-305440.000000,3544666.000000,3850106.000000,3850055.000000,51.000000,3850106.000000,3544666.000000,3544615.000000,51.000000,3544666.000000
12M 2014,128818187.000000,-103018245.000000,25799942.000000,-7816227.000000,-6758827.000000,-937253.000000,-120147.000000,-7816227.000000,17983715.000000,-431709.000000,212301.000000,,,-644010.000000,,-431709.000000,17552006.000000,-3624947.000000,13927059.000000,,13927059.000000,,,,13927059.000000,13927059.000000,13927425.000000,-366.000000,13927059.000000,13927059.000000,13927425.000000,-366.000000,13927059.000000
12M 2015,219113608.000000,-142334419.000000,76779189.000000,-29366532.000000,-6272112.000000,-23148901.000000,54481.000000,-29366532.000000,47412657.000000,-30129.000000,381850.000000,,,-335609.000000,-76370.000000,-30129.000000,47382528.000000,-12719462.000000,34663066.000000,,34663066.000000,103721.000000,103721.000000,103721.000000,34766787.000000,34663066.000000,34662923.000000,143.000000,34663066.000000,34766787.000000,34766644.000000,143.000000,34766787.000000
12M 2016,187155820.000000,-119193275.000000,67962545.000000,-31815415.000000,-6514623.000000,-24831499.000000,-469293.000000,-31815415.000000,36147130.000000,26185.000000,348438.000000,,-11698.000000,-240867.000000,-69688.000000,26185.000000,36173315.000000,-9059580.000000,27113735.000000,,27113735.000000,-1769.000000,-1769.000000,-1769.000000,27111966.000000,27113735.000000,27113655.000000,80.000000,27113735.000000,27111966.000000,27111886.000000,80.000000,27111966.000000
12M 2017,258586097.000000,-143383484.000000,115202613.000000,-36616122.000000,-8585471.000000,-28470147.000000,439496.000000,-36616122.000000,78586491.000000,136367.000000,481327.000000,,-571.000000,-248124.000000,-96265.000000,136367.000000,78722858.000000,-20087158.000000,58635700.000000,,58635700.000000,-299440.000000,-299440.000000,-299440.000000,58336260.000000,58635700.000000,58635640.000000,60.000000,58635700.000000,58336260.000000,58336201.000000,59.000000,58336260.000000
12M 2018,258138029.000000,-157198318.000000,100939711.000000,-33573226.000000,-10377335.000000,-23766676.000000,570785.000000,-33573226.000000,67366485.000000,254829.000000,894773.000000,-11467.000000,-5670.000000,-443851.000000,-178956.000000,254829.000000,67621314.000000,-17310612.000000,50310702.000000,,50310702.000000,135677.000000,135677.000000,135677.000000,50446379.000000,50310702.000000,50310669.000000,33.000000,50310702.000000,50446379.000000,50446346.000000,33.000000,50446379.000000
12M 2019,260849803.000000,-169429055.000000,91420748.000000,-43021517.000000,-9395118.000000,-32848684.000000,-777715.000000,-43021517.000000,48399231.000000,39433.000000,1709182.000000,-756683.000000,,-571229.000000,-341837.000000,39433.000000,48438664.000000,-13151107.000000,35287557.000000,,35287557.000000,171579.000000,171579.000000,171579.000000,35459136.000000,35287557.000000,35287482.000000,75.000000,35287557.000000,35459136.000000,35459061.000000,75.000000,35459136.000000
12M 2020,201207287.000000,-134218223.000000,66989064.000000,-30485100.000000,-8382693.000000,-23733920.000000,1631513.000000,-30485100.000000,36503964.000000,869628.000000,2621904.000000,-13384.000000,,-1214511.000000,-524381.000000,869628.000000,37373592.000000,-9906106.000000,27467486.000000,,27467486.000000,-172567.000000,-172567.000000,-172567.000000,27294919.000000,27467486.000000,27467417.000000,69.000000,27467486.000000,27294919.000000,27294851.000000,68.000000,27294919.000000
12M 2021,309840126.000000,-142046561.000000,167793565.000000,-39141648.000000,-11685006.000000,-28862016.000000,1405374.000000,-39141648.000000,128651917.000000,244892.000000,1327277.000000,-133761.000000,,-683169.000000,-265455.000000,244892.000000,128896809.000000,-28330430.000000,100566379.000000,,100566379.000000,134198.000000,134198.000000,134198.000000,100700577.000000,100566379.000000,100566283.000000,96.000000,100566379.000000,100700577.000000,100700480.000000,97.000000,100700577.000000
12M 2022,449535604.000000,-183758231.000000,265777373.000000,-35790362.000000,-11075015.000000,-26279059.000000,1563712.000000,-35790362.000000,229987011.000000,668115.000000,1746046.000000,-454507.000000,,-274215.000000,-349209.000000,668115.000000,230655126.000000,-51263459.000000,179391667.000000,,179391667.000000,-221029.000000,-221029.000000,-221029.000000,179170638.000000,179391667.000000,179391055.000000,612.000000,179391667.000000,179170638.000000,179189576.000000,-18938.000000,179170638.000000
