Period,Days Sales Outstanding (Annual),Days Inventory (Annual),Payables Period (Annual),Cash Conversion Cycle (Annual),Receivables Turnover (Annual),Receivables Turnover (TTM),Inventory Turnover (Annual),Inventory Turnover (TTM),Fixed Assets Turnover (Annual),Fixed Assets Turnover (TTM),Asset Turnover (Annual),Asset Turnover (TTM),Working Capital Turnover (Annual),Working Capital Turnover (TTM),Working Capital Ratio (Annual)
12M 2017,,,,,,,,,,,,,,,0.0
12M 2018,,,,,,,,,15.63,15.06,0.09,0.08,,,0.0
12M 2019,,,,,,,,,15.15,15.03,0.08,0.08,,,0.0
12M 2020,,,,,,,,,13.2,10.3,0.09,0.08,,,0.0
12M 2021,,,,,,,,,7.93,4.61,0.11,0.07,,,0.0
12M 2022,,,,,,,,,4.04,3.64,0.07,0.07,,,0.0
12M 2023,,,,,,,,,4.04,4.06,0.07,0.07,,,0.0
12M 2024,,,,,,,,,3.87,3.54,0.07,0.06,,,0.0
