Period,Aset,Kas Dan Setara Kas,Penempatan Pada Bank Indonesia Dan Bank Lain,Aset Tetap,Aset Pajak Tangguhan,Others,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Segera,Simpanan Dari Bank Lain,Liabilitas Akseptasi,Utang Pajak,Pinjaman Yang Diterima,Dana Syirkah Temporer,Others,Total Dana Syirkah Temporer,Others,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2017,,347997000000.000000,4261447000000.000000,177935000000.000000,140883000000.000000,26615122000000.000000,31543384000000.000000,,,86752000000.000000,14333000000.000000,,40391000000.000000,,19840088000000.000000,19840088000000.000000,19840088000000.000000,8958979000000.000000,28940543000000.000000,,1979000000000.000000,,577491000000.000000,,,577491000000.000000,,46350000000.000000,2602841000000.000000,31543384000000.000000,3958000000.000000
12M 2018,,231268000000.000000,6036439000000.000000,221444000000.000000,163670000000.000000,31262263000000.000000,37915084000000.000000,,,110734000000.000000,808940000000.000000,,32265000000.000000,,20993528000000.000000,20993528000000.000000,20993528000000.000000,10942977000000.000000,32888444000000.000000,,4858057000000.000000,517000000.000000,106600000000.000000,,,106600000000.000000,,61466000000.000000,5026640000000.000000,37915084000000.000000,9716113498.000000
12M 2019,,262485000000.000000,4903633000000.000000,224050000000.000000,238999000000.000000,37494321000000.000000,43123488000000.000000,,,61253000000.000000,15999000000.000000,1381000000.000000,80926000000.000000,,25155416000000.000000,25155416000000.000000,25155416000000.000000,12720477000000.000000,38035452000000.000000,,4858057000000.000000,517000000.000000,159296000000.000000,,,159296000000.000000,,70166000000.000000,5088036000000.000000,43123488000000.000000,9716113498.000000
12M 2020,,1126358000000.000000,1584299000000.000000,434818000000.000000,305228000000.000000,54264883000000.000000,57715586000000.000000,,,266876000000.000000,704536000000.000000,43693000000.000000,208143000000.000000,,33796186000000.000000,33796186000000.000000,33796186000000.000000,17251864000000.000000,52271298000000.000000,,4950254000000.000000,14964000000.000000,471018000000.000000,78471000000.000000,392547000000.000000,471018000000.000000,,8052000000.000000,5444288000000.000000,57715586000000.000000,9900508698.000000
12M 2021,,4119903000000.000000,20563580000000.000000,4055953000000.000000,1445324000000.000000,235104321000000.000000,265289081000000.000000,,,608554000000.000000,115938000000.000000,161495000000.000000,504078000000.000000,,177013671000000.000000,177013671000000.000000,177013671000000.000000,61871411000000.000000,240275147000000.000000,,20564654000000.000000,-6366776000000.000000,10208992000000.000000,779036000000.000000,9429956000000.000000,10208992000000.000000,,607064000000.000000,25013934000000.000000,265289081000000.000000,41129307343.000000
12M 2022,,4951469000000.000000,31778458000000.000000,5654698000000.000000,1675103000000.000000,261667710000000.000000,305727438000000.000000,,,1009502000000.000000,2218697000000.000000,481403000000.000000,667485000000.000000,,196412662000000.000000,196412662000000.000000,196412662000000.000000,71432079000000.000000,272221828000000.000000,,23064630000000.000000,-3929100000000.000000,13712123000000.000000,1384677000000.000000,12327446000000.000000,13712123000000.000000,,657957000000.000000,33505610000000.000000,305727438000000.000000,46129260138.000000
12M 2023,,5255841000000.000000,32440778000000.000000,5352843000000.000000,1665694000000.000000,308908968000000.000000,353624124000000.000000,,,1316067000000.000000,1761301000000.000000,431228000000.000000,539042000000.000000,,226682234000000.000000,226682234000000.000000,226682234000000.000000,84155131000000.000000,314885003000000.000000,,23064630000000.000000,-3929100000000.000000,18911445000000.000000,2236713000000.000000,16674732000000.000000,18911445000000.000000,,692146000000.000000,38739121000000.000000,353624124000000.000000,46129260138.000000
12M 2024,,8080689000000.000000,49966279000000.000000,7723853000000.000000,2056727000000.000000,340785884000000.000000,408613432000000.000000,,,858643000000.000000,4151348000000.000000,185145000000.000000,889642000000.000000,,253705326000000.000000,253705326000000.000000,253705326000000.000000,103781756000000.000000,363571860000000.000000,,23064630000000.000000,-3929100000000.000000,25061772000000.000000,3377462000000.000000,21684310000000.000000,25061772000000.000000,,844270000000.000000,45041572000000.000000,408613432000000.000000,46129260138.000000
