Period,Total Pendapatan,Others,Total Pendapatan,Total Beban Pokok Penjualan,Others,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Pendapatan Operasional Lainnya,Others,Total Pendapatan Operasional Lainnya,Beban Operasional Lainnya,Beban Tenaga Kerja,Beban Umum Dan Administrasi,Others,Total Beban Operasional Lainnya,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2017,2816524000000.000000,2816524000000.000000,2816524000000.000000,-1193918000000.000000,-1193918000000.000000,-1193918000000.000000,1622606000000.000000,-1483112000000.000000,,149003000000.000000,149003000000.000000,,-522067000000.000000,-500278000000.000000,-609770000000.000000,-1632115000000.000000,-1483112000000.000000,139494000000.000000,11463000000.000000,150957000000.000000,-49866000000.000000,,,-49866000000.000000,101091000000.000000,-8264000000.000000,-8264000000.000000,-8264000000.000000,92827000000.000000,101091000000.000000,101091000000.000000,,101091000000.000000,92827000000.000000,92827000000.000000,,92827000000.000000
12M 2018,3120307000000.000000,3120307000000.000000,3120307000000.000000,-1317100000000.000000,-1317100000000.000000,-1317100000000.000000,1803207000000.000000,-1645734000000.000000,,174182000000.000000,174182000000.000000,,-510828000000.000000,-440196000000.000000,-868892000000.000000,-1819916000000.000000,-1645734000000.000000,157473000000.000000,-5959000000.000000,151514000000.000000,-44914000000.000000,,,-44914000000.000000,106600000000.000000,514000000.000000,514000000.000000,514000000.000000,107114000000.000000,106600000000.000000,106600000000.000000,,106600000000.000000,107114000000.000000,107114000000.000000,,107114000000.000000
12M 2019,3374863000000.000000,3374863000000.000000,3374863000000.000000,-1377133000000.000000,-1377133000000.000000,-1377133000000.000000,1997730000000.000000,-1879352000000.000000,,250534000000.000000,250534000000.000000,,-583292000000.000000,-463646000000.000000,-1082948000000.000000,-2129886000000.000000,-1879352000000.000000,118378000000.000000,-1513000000.000000,116865000000.000000,-42849000000.000000,,,-42849000000.000000,74016000000.000000,-6146000000.000000,-6146000000.000000,-6146000000.000000,67870000000.000000,74016000000.000000,74016000000.000000,,74016000000.000000,67870000000.000000,67870000000.000000,,67870000000.000000
12M 2020,4347121000000.000000,4347121000000.000000,4347121000000.000000,-1531824000000.000000,-1531824000000.000000,-1531824000000.000000,2815297000000.000000,-2382039000000.000000,,360909000000.000000,360909000000.000000,,-671214000000.000000,-539317000000.000000,-1532417000000.000000,-2742948000000.000000,-2382039000000.000000,433258000000.000000,-28027000000.000000,405231000000.000000,-157177000000.000000,,,-157177000000.000000,248054000000.000000,7188000000.000000,7188000000.000000,7188000000.000000,255242000000.000000,248054000000.000000,248054000000.000000,,248054000000.000000,255242000000.000000,255242000000.000000,,255242000000.000000
12M 2021,17808432000000.000000,17808432000000.000000,17808432000000.000000,-4378807000000.000000,-4378807000000.000000,-4378807000000.000000,13429625000000.000000,-9423460000000.000000,,3012246000000.000000,3012246000000.000000,,-4491775000000.000000,-3970211000000.000000,-3973720000000.000000,-12435706000000.000000,-9423460000000.000000,4107849000000.000000,-45641000000.000000,3960524000000.000000,-932319000000.000000,,,-932319000000.000000,3028205000000.000000,189591000000.000000,189591000000.000000,189591000000.000000,3217796000000.000000,3028205000000.000000,3028205000000.000000,,3028205000000.000000,3217796000000.000000,3217796000000.000000,,3217796000000.000000
12M 2022,19622865000000.000000,19622865000000.000000,19622865000000.000000,-4032169000000.000000,-4032169000000.000000,-4032169000000.000000,15590696000000.000000,-10084427000000.000000,,3701111000000.000000,3701111000000.000000,,-4948942000000.000000,-4856436000000.000000,-3980160000000.000000,-13785538000000.000000,-10084427000000.000000,5647674000000.000000,8534000000.000000,5514803000000.000000,-1254621000000.000000,,,-1254621000000.000000,4260182000000.000000,50893000000.000000,50893000000.000000,50893000000.000000,4311075000000.000000,4260182000000.000000,4260182000000.000000,,4260182000000.000000,4311075000000.000000,4311075000000.000000,,4311075000000.000000
12M 2023,22251743000000.000000,22251743000000.000000,22251743000000.000000,-5993168000000.000000,-5993168000000.000000,-5993168000000.000000,16258575000000.000000,-8856947000000.000000,,4204466000000.000000,4204466000000.000000,,-5035215000000.000000,-5169938000000.000000,-2856260000000.000000,-13061413000000.000000,-8856947000000.000000,7591358000000.000000,-2156000000.000000,7399472000000.000000,-1695729000000.000000,,,-1695729000000.000000,5703743000000.000000,34189000000.000000,34189000000.000000,34189000000.000000,5737932000000.000000,5703743000000.000000,5703743000000.000000,,5703743000000.000000,5737932000000.000000,5737932000000.000000,,5737932000000.000000
12M 2024,25298203000000.000000,25298203000000.000000,25298203000000.000000,-7889029000000.000000,-7889029000000.000000,-7889029000000.000000,17409174000000.000000,-8363091000000.000000,,5556479000000.000000,5556479000000.000000,,-5284136000000.000000,-6342626000000.000000,-2292808000000.000000,-13919570000000.000000,-8363091000000.000000,9278144000000.000000,4312000000.000000,9050395000000.000000,-2044507000000.000000,,,-2044507000000.000000,7005888000000.000000,152124000000.000000,152124000000.000000,152124000000.000000,7158012000000.000000,7005888000000.000000,7005888000000.000000,,7005888000000.000000,7158012000000.000000,7158012000000.000000,,7158012000000.000000
