Period,Aset,Kas Dan Setara Kas,Pihak Berelasi,Pihak Ketiga,Total Kas Dan Setara Kas,Piutang Pembiayaan Konsumen,Pihak Berelasi,Pihak Ketiga,Others,Total Piutang Pembiayaan Konsumen,Piutang Sewa Pembiayaan,Pihak Ketiga,Piutang Sewa Pembiayaan,Others,Total Piutang Sewa Pembiayaan,Investasi Pada Entitas Asosiasi,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Aset Pajak Tangguhan,Aset Tetap,Others,Total Aset Tetap,Adjustment,Others,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Utang Bank,Pihak Berelasi,Pihak Ketiga,Total Utang Bank,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Beban Akrual,Pihak Berelasi,Pihak Ketiga,Total Beban Akrual,Utang Pajak,Utang Bank Jangka Panjang,Others,Total Utang Bank Jangka Panjang,Surat Berharga Yang Diterbitkan,Others,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2006,,,467083000.000000,11680374000.000000,12147457000.000000,,,82529762000.000000,,82529762000.000000,,,,,,,,1688395000.000000,4383915000.000000,6072310000.000000,2867060000.000000,12196919000.000000,,12196919000.000000,,14130807000.000000,129944315000.000000,,,54459265000.000000,,54459265000.000000,54459265000.000000,3759912000.000000,,,3759912000.000000,10239707000.000000,581072000.000000,9658635000.000000,10239707000.000000,1678840000.000000,,,1678840000.000000,685463000.000000,,,,,675511000.000000,71498698000.000000,,50000000000.000000,,8445617000.000000,,,8445617000.000000,,58445617000.000000,129944315000.000000,50000.000000
12M 2007,,,35983000.000000,4644468000.000000,4680451000.000000,,,376254953000.000000,,376254953000.000000,,,,,,,,1323832000.000000,1083085000.000000,2406917000.000000,3122929000.000000,14210956000.000000,,14210956000.000000,,21283762000.000000,421959968000.000000,,,335125750000.000000,,335125750000.000000,335125750000.000000,6574777000.000000,,,6574777000.000000,11339213000.000000,149543000.000000,11189670000.000000,11339213000.000000,2811414000.000000,,,2811414000.000000,1715493000.000000,,,,,1260628000.000000,358827275000.000000,,54200000000.000000,,8932693000.000000,,,8932693000.000000,,63132693000.000000,421959968000.000000,542000000.000000
12M 2008,,,35686000.000000,20762916000.000000,20798602000.000000,,58244000.000000,527198534000.000000,,527256778000.000000,,,,,,,,2070826000.000000,,2070826000.000000,2913092000.000000,12469171000.000000,,12469171000.000000,,30090555000.000000,595599024000.000000,,,452722790000.000000,4154979000.000000,448567811000.000000,452722790000.000000,2431422000.000000,,,2431422000.000000,9553709000.000000,52070000.000000,9501639000.000000,9553709000.000000,2861290000.000000,,,2861290000.000000,3411736000.000000,4131689000.000000,,4131689000.000000,,1809393000.000000,476922029000.000000,,100200000000.000000,-2384638000.000000,20861633000.000000,,,20861633000.000000,,118676995000.000000,595599024000.000000,1002000000.000000
12M 2009,,,181904000.000000,3907485000.000000,4089389000.000000,,84902000.000000,590261685000.000000,,590346587000.000000,,,,,,,,1812691000.000000,29587000.000000,1842278000.000000,1322476000.000000,12589429000.000000,,12589429000.000000,,33274421000.000000,643464580000.000000,,,471104913000.000000,,471104913000.000000,471104913000.000000,9439634000.000000,,9439634000.000000,9439634000.000000,14733374000.000000,49850000.000000,14683524000.000000,14733374000.000000,4913762000.000000,,,4913762000.000000,2112420000.000000,3571542000.000000,,3571542000.000000,,2688516000.000000,508564161000.000000,,100200002000.000000,-2384638000.000000,37085055000.000000,,,37085055000.000000,,134900419000.000000,643464580000.000000,1002000020.000000
12M 2010,,,577775000.000000,27253406000.000000,27831181000.000000,,190020000.000000,841135088000.000000,,841325108000.000000,,,,,,20087556000.000000,,1615212000.000000,35000.000000,1615247000.000000,3000223000.000000,22473675000.000000,,22473675000.000000,,44911007000.000000,961243997000.000000,,,741122930000.000000,5000000000.000000,736122930000.000000,741122930000.000000,11760183000.000000,,11760183000.000000,11760183000.000000,27743751000.000000,10735000.000000,27733016000.000000,27743751000.000000,8118975000.000000,,,8118975000.000000,6996243000.000000,1202694000.000000,1202694000.000000,1202694000.000000,,3444112000.000000,800388888000.000000,,100200035000.000000,-2384634000.000000,63039708000.000000,,,63039708000.000000,,160855109000.000000,961243997000.000000,1002000352.000000
12M 2011,,,1793579000.000000,158547745000.000000,160341324000.000000,,154240000.000000,1216332014000.000000,,1216486254000.000000,,46480627000.000000,,,46480627000.000000,20046274000.000000,,1250933000.000000,34153000.000000,1285086000.000000,4694817000.000000,26496888000.000000,,26496888000.000000,,45197457000.000000,1521028727000.000000,,,571324255000.000000,5416667000.000000,565907588000.000000,571324255000.000000,23079957000.000000,,23079957000.000000,23079957000.000000,24970484000.000000,9931000.000000,24960553000.000000,24970484000.000000,12545769000.000000,,,12545769000.000000,1856295000.000000,,,,696634218000.000000,5110115000.000000,1335521093000.000000,,100200035000.000000,-2384634000.000000,87692233000.000000,,,87692233000.000000,,185507634000.000000,1521028727000.000000,1002000352.000000
12M 2012,,,3265511000.000000,180853481000.000000,184118992000.000000,,,1335428960000.000000,-27389238000.000000,1308039722000.000000,,372645524000.000000,,-1281895000.000000,371363629000.000000,20909195000.000000,,2493735000.000000,97338000.000000,2591073000.000000,3129417000.000000,,35752937000.000000,35752937000.000000,,29530604000.000000,1955435569000.000000,,,742524310000.000000,161596528000.000000,580927782000.000000,742524310000.000000,11071675000.000000,,11071675000.000000,11071675000.000000,29042906000.000000,6807000.000000,29036099000.000000,29042906000.000000,13805535000.000000,792653000.000000,13012882000.000000,13805535000.000000,3277412000.000000,,,,929744831000.000000,7371943000.000000,1736838612000.000000,,100200035000.000000,-2384634000.000000,120781556000.000000,400000000.000000,120381556000.000000,120781556000.000000,,218596957000.000000,1955435569000.000000,1002000352.000000
12M 2013,,,7238546000.000000,94382664000.000000,101621210000.000000,,,1116568055000.000000,-32653899000.000000,1083914156000.000000,,819422898000.000000,,-9733128000.000000,809689770000.000000,29619650000.000000,,2470424000.000000,506674000.000000,2977098000.000000,2685103000.000000,,36995997000.000000,36995997000.000000,,32661358000.000000,2100164342000.000000,,,879684021000.000000,185759596000.000000,693924425000.000000,879684021000.000000,4712273000.000000,,4712273000.000000,4712273000.000000,34654770000.000000,,34654770000.000000,34654770000.000000,12557873000.000000,710704000.000000,11847169000.000000,12557873000.000000,3378754000.000000,,,,900001476000.000000,9391264000.000000,1844380431000.000000,,100200035000.000000,-2384634000.000000,155336446000.000000,500000000.000000,154836446000.000000,155336446000.000000,2632064000.000000,255783911000.000000,2100164342000.000000,1002000352.000000
12M 2014,,,6880817000.000000,40251423000.000000,47132240000.000000,,,1216673208000.000000,-24293357000.000000,1192379851000.000000,,796127859000.000000,,-9849219000.000000,786278640000.000000,34981736000.000000,,2286405000.000000,578701000.000000,2865106000.000000,4075317000.000000,,31038298000.000000,31038298000.000000,,52758360000.000000,2151509548000.000000,,,1248742337000.000000,90164141000.000000,1158578196000.000000,1248742337000.000000,6728205000.000000,,6728205000.000000,6728205000.000000,41117178000.000000,283763000.000000,40833415000.000000,41117178000.000000,11481664000.000000,323295000.000000,11158369000.000000,11481664000.000000,18904355000.000000,,,,536290436000.000000,9251820000.000000,1872515995000.000000,,100200035000.000000,-2384634000.000000,179416127000.000000,600000000.000000,178816127000.000000,179416127000.000000,1762025000.000000,278993553000.000000,2151509548000.000000,1002000352.000000
12M 2015,,9372552000.000000,,,9372552000.000000,,,1277517139000.000000,-22035843000.000000,1255481296000.000000,,507032347000.000000,,-14947956000.000000,492084391000.000000,38271180000.000000,,3206877000.000000,639875000.000000,3846752000.000000,4829468000.000000,,38517606000.000000,38517606000.000000,,51954812000.000000,1894358057000.000000,,,1246395415000.000000,151362113000.000000,1095033302000.000000,1246395415000.000000,4563138000.000000,,4563138000.000000,4563138000.000000,30639189000.000000,102317000.000000,30536872000.000000,30639189000.000000,10934462000.000000,427989000.000000,10506473000.000000,10934462000.000000,750803000.000000,,,,307545960000.000000,9180786000.000000,1610009753000.000000,,100200035000.000000,-2384634000.000000,181838870000.000000,700000000.000000,181138870000.000000,181838870000.000000,4694033000.000000,284348304000.000000,1894358057000.000000,1002000352.000000
