Period,Arus Kas Dari Aktivitas Operasi,"Penerimaan Pembiayaan Konsumen, Sewa Pembiayaan Dan Anjak Piutang",Penerimaan Sewa Pembiayaan,Penerimaan Pembiayaan Konsumen,"Total Penerimaan Pembiayaan Konsumen, Sewa Pembiayaan Dan Anjak Piutang",Penerimaan Kas Sehubungan Dengan Kerjasama Penerusan Pinjaman,Penerimaan Operasional Lainnya,Penerimaan Utang Lain-Lain,Penerimaan Dari Kantor Pajak,Pembayaran Utang Lain-Lain,Penerimaan Bunga,Pembayaran Kas Untuk:,Sewa Pembiayaan,Pembayaran Pembiayaan Konsumen Dan Sewa Pembiayaan,Pembayaran Beban Operasional,Total Pembayaran Kas Untuk:,Pembayaran Kas Sehubungan Dengan Kerjasama Penerusan Pinjaman,Pembayaran Operasional Lainnya,Pembayaran Bunga,Pembayaran Pajak Penghasilan,Adjustment,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Hasil Penjualan Aset Tetap,Perolehan Aset Tetap,Pembayaran Untuk Akuisisi Entitas Anak,Penyertaan Pada Entitas Asosiasi,Pembayaran Investasi Lainnya,Perolehan Aset Tetap Yang Belum Digunakan,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan/Penambahan Utang Bank,Pembayaran Utang Bank,Penerimaan Surat Berharga Diterbitkan,Pembayaran Surat Berharga Diterbitkan,Pembayaran Biaya Emisi Surat Berharga Yang Diterbitkan,Penerimaan Dari Penawaran Umum Saham Perdana,Penerimaan Penawaran Umum Terbatas Ii,Pembayaran Biaya Emisi Atas Penawaran Umum Terbatas Ii,Setoran Modal Saham,Transaksi Terkait Kombinasi Bisnis Entitas Sepengendali,Pelaksanaan Waran Saham,Penerimaan Hmetd,Biaya Emisi Saham,Pembayaran Dividen,Pembayaran Pendanaan Lainnya,Perolehan Hutang Obligasi,Pembayaran Biaya Emisi Obligasi,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2006,43937865000.000000,,663264000.000000,1075450244000.000000,1076113508000.000000,,,3901200000.000000,,,394239000.000000,,,-1001033798000.000000,-19771774000.000000,-1020805572000.000000,,,-11652714000.000000,-4012796000.000000,,43937865000.000000,-3019559000.000000,571500000.000000,-3591059000.000000,,,,,-3019559000.000000,-43752502000.000000,24981361000.000000,-68733863000.000000,,,,,,,,,,,,,,,,-43752502000.000000,-2834196000.000000,14981653000.000000,12147457000.000000
12M 2007,-279414884000.000000,,,1120981955000.000000,1120981955000.000000,,,1943414000.000000,,,214686000.000000,,,-1351527288000.000000,-29240241000.000000,-1380767529000.000000,,,-19303309000.000000,-2484101000.000000,,-279414884000.000000,-6918607000.000000,2501868000.000000,-9420475000.000000,,,,,-6918607000.000000,278866485000.000000,377946887000.000000,-97280402000.000000,,,,,,,,,,,,-1800000000.000000,,,,278866485000.000000,-7467006000.000000,12147457000.000000,4680451000.000000
12M 2008,-146844853000.000000,,,1336646422000.000000,1336646422000.000000,,,889778000.000000,,,986404000.000000,,,-1387839185000.000000,-36942373000.000000,-1424781558000.000000,,,-56580518000.000000,-4005381000.000000,,-146844853000.000000,-2381087000.000000,1386060000.000000,-3767147000.000000,,,,,-2381087000.000000,165344091000.000000,472870997000.000000,-351142268000.000000,,,,46000000000.000000,,,,,,,-2384638000.000000,,,,,165344091000.000000,16118151000.000000,4680451000.000000,20798602000.000000
12M 2009,-24068898000.000000,,,1217286424000.000000,1217286424000.000000,,,5022913000.000000,,,389633000.000000,,,-1134467085000.000000,-45826310000.000000,-1180293395000.000000,,,-60084126000.000000,-6390347000.000000,,-24068898000.000000,-10462293000.000000,1403570000.000000,-4754863000.000000,,,,-7111000000.000000,-10462293000.000000,17821978000.000000,431574623000.000000,-413752647000.000000,,,,,,,,,2000.000000,,,,,,,17821978000.000000,-16709213000.000000,20798602000.000000,4089389000.000000
12M 2010,-219190090000.000000,,,1695472385000.000000,1695472385000.000000,,,9322714000.000000,,,260614000.000000,,,-1778993634000.000000,-61241574000.000000,-1840235208000.000000,,,-77619550000.000000,-6391045000.000000,,-219190090000.000000,-27086172000.000000,1429139000.000000,-8515311000.000000,,-20000000000.000000,,,-27086172000.000000,270018054000.000000,708170762000.000000,-438152745000.000000,,,,,,,,,33000.000000,,4000.000000,,,,,270018054000.000000,23741792000.000000,4089389000.000000,27831181000.000000
12M 2011,-382952931000.000000,,,1685573348000.000000,1685573348000.000000,,,,,-4708209000.000000,2962174000.000000,,,-1883094670000.000000,-55215080000.000000,-1938309750000.000000,,,-113327391000.000000,-15143103000.000000,,-382952931000.000000,-8315270000.000000,2593235000.000000,-10908505000.000000,,,,,-8315270000.000000,523778344000.000000,561778414000.000000,-732397897000.000000,700000000000.000000,,-5602173000.000000,,,,,,,,,,,,,523778344000.000000,132510143000.000000,27831181000.000000,160341324000.000000
12M 2012,-363623327000.000000,,,2369244279000.000000,2369244279000.000000,,,978248527000.000000,,-967726513000.000000,1963116000.000000,,,-2496862701000.000000,-84852538000.000000,-2581715239000.000000,,,-154657624000.000000,-8979873000.000000,,-363623327000.000000,-14197245000.000000,4123955000.000000,-18321200000.000000,,,,,-14197245000.000000,401598240000.000000,811348821000.000000,-640359904000.000000,300000000000.000000,-65000000000.000000,-4390677000.000000,,,,,,,,,,,,,401598240000.000000,23777668000.000000,160341324000.000000,184118992000.000000
12M 2013,-173909937000.000000,,,2673431407000.000000,2673431407000.000000,,,899906001000.000000,,-896790856000.000000,2192411000.000000,,,-2583607753000.000000,-85941201000.000000,-2669548954000.000000,,,-172492629000.000000,-10607317000.000000,,-173909937000.000000,-12777954000.000000,4730436000.000000,-12508390000.000000,,-5000000000.000000,,,-12777954000.000000,104190109000.000000,691470719000.000000,-554106365000.000000,153000000000.000000,-185000000000.000000,-1174245000.000000,,,,,,,,,,,,,104190109000.000000,-82497782000.000000,184118992000.000000,101621210000.000000
12M 2014,-51317213000.000000,,,1949012324000.000000,1949012324000.000000,,,1057976763000.000000,,-1050301587000.000000,2636534000.000000,,,-1685096906000.000000,-109524121000.000000,-1794621027000.000000,,,-205403960000.000000,-10616260000.000000,,-51317213000.000000,-6128265000.000000,4384203000.000000,-5512468000.000000,,-5000000000.000000,,,-6128265000.000000,2956508000.000000,1039266138000.000000,-670225284000.000000,135000000000.000000,-500000000000.000000,-1084346000.000000,,,,,,,,,,,,,2956508000.000000,-54488970000.000000,101621210000.000000,47132240000.000000
12M 2015,208857124000.000000,2197982022000.000000,,,2197982022000.000000,38403837000.000000,7623073000.000000,,,,712446000.000000,,,-1672436787000.000000,-96484498000.000000,-1768921285000.000000,-37492164000.000000,-14749464000.000000,-209315437000.000000,-5385904000.000000,,208857124000.000000,-14363252000.000000,2613178000.000000,-16976430000.000000,,,,,-14363252000.000000,-232253560000.000000,969684668000.000000,-971938228000.000000,,-230000000000.000000,,,,,,,,,,,,,,-232253560000.000000,-37759688000.000000,47132240000.000000,9372552000.000000
12M 2016,118573528000.000000,2070719236000.000000,,,2070719236000.000000,28349564000.000000,397164000.000000,,,,126310000.000000,,,-1647796723000.000000,-114515704000.000000,-1762312427000.000000,-26855976000.000000,-6761956000.000000,-183525365000.000000,-1563022000.000000,,118573528000.000000,-1873998000.000000,2509738000.000000,-4383736000.000000,,,,,-1873998000.000000,-113253840000.000000,1098408001000.000000,-1075661841000.000000,,-136000000000.000000,,,,,,,,,,,,,,-113253840000.000000,3445690000.000000,9372552000.000000,12818242000.000000
12M 2017,106417199000.000000,1630952179000.000000,,,1630952179000.000000,24999123000.000000,9829240000.000000,,15235384000.000000,,775585000.000000,,,-1294578391000.000000,-103240778000.000000,-1397819169000.000000,-24999123000.000000,-690834000.000000,-147180878000.000000,-4684308000.000000,,106417199000.000000,-8162323000.000000,1494769000.000000,-4407092000.000000,,-5250000000.000000,,,-8162323000.000000,-41821637000.000000,1095093493000.000000,-1234804375000.000000,100000000000.000000,-172000000000.000000,-1244517000.000000,,,,,,,177313982000.000000,-6180220000.000000,,,,,-41821637000.000000,56433239000.000000,12818242000.000000,69251481000.000000
12M 2018,-88783621000.000000,1386462555000.000000,,,1386462555000.000000,299059632000.000000,117849000.000000,,,,557609000.000000,,,-1141208080000.000000,-94799133000.000000,-1236007213000.000000,-418187465000.000000,-7935836000.000000,-111554772000.000000,-1295980000.000000,,-88783621000.000000,843979000.000000,2883630000.000000,-2039651000.000000,,,,,843979000.000000,24071699000.000000,802635735000.000000,-778564036000.000000,,,,,,,,,,,,,,,,24071699000.000000,-63867943000.000000,69251481000.000000,5383538000.000000
12M 2019,216391040000.000000,1866098958000.000000,,,1866098958000.000000,,42087965000.000000,,,,3700016000.000000,,,-1330093664000.000000,-187087013000.000000,-1517180677000.000000,-19456158000.000000,-1160149000.000000,-156796104000.000000,-902811000.000000,,216391040000.000000,-135696079000.000000,2339608000.000000,-20900721000.000000,-117134966000.000000,,,,-135696079000.000000,16111749000.000000,1957376743000.000000,-2271626944000.000000,,-100000000000.000000,,,434307033000.000000,-3945083000.000000,,,,,,,,,,16111749000.000000,96806710000.000000,5383538000.000000,102190248000.000000
12M 2020,-8269148000.000000,1900467029000.000000,,,1900467029000.000000,,7172006000.000000,,,,584940000.000000,,,-1693433908000.000000,-103893896000.000000,-1797327804000.000000,-573541000.000000,-8147306000.000000,-108683547000.000000,-1760925000.000000,,-8269148000.000000,-5545251000.000000,200000000.000000,-5745251000.000000,,,,,-5545251000.000000,43196924000.000000,2382188702000.000000,-2326712616000.000000,,,,,,,,,,,,,-12279162000.000000,,,43196924000.000000,29382525000.000000,102190248000.000000,131572773000.000000
