Period,Total Pendapatan,Pendapatan Pembiayaan Konsumen,Pendapatan Sewa Pembiayaan,Administrasi,Pendapatan Bunga,Others,Total Pendapatan,Total Beban Usaha,Beban Bunga,Beban Umum Dan Administrasi,Beban Tenaga Kerja,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Bagian Atas Hasil Bersih Entitas Asosiasi,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2006,64142691000.000000,44896667000.000000,,5380540000.000000,394239000.000000,13471245000.000000,64142691000.000000,-59774210000.000000,-13677634000.000000,-14117858000.000000,-16746832000.000000,-15231886000.000000,-59774210000.000000,4368481000.000000,-607464000.000000,,-607464000.000000,-607464000.000000,3761017000.000000,-1845331000.000000,-2731109000.000000,885778000.000000,-1845331000.000000,1915686000.000000,,,1915686000.000000,1915686000.000000,,1915686000.000000,,,,
12M 2007,88171172000.000000,66067302000.000000,,8081934000.000000,214686000.000000,13807250000.000000,88171172000.000000,-77714675000.000000,-23645300000.000000,-14322706000.000000,-19896124000.000000,-19850545000.000000,-77714675000.000000,10456497000.000000,-907715000.000000,,-907715000.000000,-907715000.000000,9548782000.000000,-3061706000.000000,-3317575000.000000,255869000.000000,-3061706000.000000,6487076000.000000,,,6487076000.000000,6487076000.000000,,6487076000.000000,,,,
12M 2008,145630371000.000000,109792485000.000000,,9822536000.000000,986404000.000000,25028946000.000000,145630371000.000000,-126164664000.000000,-64705188000.000000,-16899588000.000000,-24325350000.000000,-20234538000.000000,-126164664000.000000,19465707000.000000,-1873717000.000000,,-1873717000.000000,-1873717000.000000,17591990000.000000,-5663050000.000000,-5453213000.000000,-209837000.000000,-5663050000.000000,11928940000.000000,,,11928940000.000000,11928940000.000000,,11928940000.000000,,,,
12M 2009,154578195000.000000,115276235000.000000,,9213928000.000000,389633000.000000,29698399000.000000,154578195000.000000,-130607691000.000000,-63280142000.000000,-18362672000.000000,-27356493000.000000,-21608384000.000000,-130607691000.000000,23970504000.000000,-601704000.000000,,-601704000.000000,-601704000.000000,23368800000.000000,-7145378000.000000,-5554763000.000000,-1590615000.000000,-7145378000.000000,16223422000.000000,,,16223422000.000000,16223422000.000000,,16223422000.000000,,,,
12M 2010,195364660000.000000,142892391000.000000,,15592853000.000000,260614000.000000,36618802000.000000,195364660000.000000,-157369651000.000000,-79326834000.000000,-26406117000.000000,-39185437000.000000,-12451263000.000000,-157369651000.000000,37995009000.000000,-2679023000.000000,87556000.000000,-2766579000.000000,-2679023000.000000,35315986000.000000,-9403581000.000000,-11081328000.000000,1677747000.000000,-9403581000.000000,25912405000.000000,,,25912405000.000000,25912405000.000000,,25912405000.000000,,,,
12M 2011,245433712000.000000,179680269000.000000,521621000.000000,14384212000.000000,3353407000.000000,47494203000.000000,245433712000.000000,-209395073000.000000,-116977457000.000000,-29156380000.000000,-41911149000.000000,-21350087000.000000,-209395073000.000000,36038639000.000000,-3359029000.000000,-41282000.000000,-3317747000.000000,-3359029000.000000,32679610000.000000,-8027085000.000000,-9721679000.000000,1694594000.000000,-8027085000.000000,24652525000.000000,,24652525000.000000,24652525000.000000,24652525000.000000,,24652525000.000000,24652525000.000000,24652525000.000000,,24652525000.000000
12M 2012,324645406000.000000,240534014000.000000,31980414000.000000,23991533000.000000,1963116000.000000,26176329000.000000,324645406000.000000,-280622697000.000000,-157222075000.000000,-37252616000.000000,-50818238000.000000,-35329768000.000000,-280622697000.000000,44022709000.000000,405778000.000000,862921000.000000,-457143000.000000,405778000.000000,44428487000.000000,-11339164000.000000,-9773764000.000000,-1565400000.000000,-11339164000.000000,33089323000.000000,,33089323000.000000,33089323000.000000,33089323000.000000,,33089323000.000000,33089323000.000000,33089323000.000000,,33089323000.000000
12M 2013,376126678000.000000,217966509000.000000,95946809000.000000,25472742000.000000,2192411000.000000,34548207000.000000,376126678000.000000,-307541210000.000000,-170170873000.000000,-42326554000.000000,-57924811000.000000,-37118972000.000000,-307541210000.000000,68585468000.000000,-22484747000.000000,1078391000.000000,-23563138000.000000,-22484747000.000000,46100721000.000000,-11545831000.000000,-11101517000.000000,-444314000.000000,-11545831000.000000,34554890000.000000,2632064000.000000,37186954000.000000,34554890000.000000,34554890000.000000,,34554890000.000000,37186954000.000000,37186954000.000000,,37186954000.000000
12M 2014,391854792000.000000,197104634000.000000,134615982000.000000,26763976000.000000,2636534000.000000,30733666000.000000,391854792000.000000,-334164245000.000000,-207183760000.000000,-43578362000.000000,-62293564000.000000,-21108559000.000000,-334164245000.000000,57690547000.000000,-25968267000.000000,1232125000.000000,-27200392000.000000,-25968267000.000000,31722280000.000000,-7642599000.000000,-9032813000.000000,1390214000.000000,-7642599000.000000,24079681000.000000,-870039000.000000,23209642000.000000,24079681000.000000,24079681000.000000,,24079681000.000000,23209642000.000000,23209642000.000000,,23209642000.000000
12M 2015,377790766000.000000,218148191000.000000,91726409000.000000,32256526000.000000,712446000.000000,34947194000.000000,377790766000.000000,-371679474000.000000,-211997431000.000000,-47692474000.000000,-58681462000.000000,-53308107000.000000,-371679474000.000000,6111292000.000000,-19399000.000000,1225181000.000000,-1244580000.000000,-19399000.000000,6091893000.000000,-3672549000.000000,-4717084000.000000,1044535000.000000,-3672549000.000000,2419344000.000000,-1079165000.000000,1340179000.000000,2419344000.000000,2419344000.000000,,2419344000.000000,1340179000.000000,1340179000.000000,,1340179000.000000
12M 2016,335266652000.000000,216353223000.000000,50002250000.000000,37604671000.000000,126310000.000000,31180198000.000000,335266652000.000000,-326456212000.000000,-186059158000.000000,-52124397000.000000,-58352724000.000000,-29919933000.000000,-326456212000.000000,8810440000.000000,497335000.000000,1090982000.000000,-593647000.000000,497335000.000000,9307775000.000000,-2841364000.000000,-3979769000.000000,1138405000.000000,-2841364000.000000,6466411000.000000,-4073341000.000000,2393070000.000000,6466411000.000000,6466411000.000000,,6466411000.000000,2393070000.000000,2393070000.000000,,2393070000.000000
12M 2017,325276857000.000000,227254089000.000000,20798734000.000000,40494604000.000000,775585000.000000,35953845000.000000,325276857000.000000,-316865571000.000000,-150586581000.000000,-48008755000.000000,-62076485000.000000,-56193750000.000000,-316865571000.000000,8411286000.000000,1918649000.000000,3156072000.000000,-1237423000.000000,1918649000.000000,10329935000.000000,-2777720000.000000,-3048419000.000000,270699000.000000,-2777720000.000000,7552215000.000000,-1179218000.000000,6372997000.000000,7552215000.000000,7552215000.000000,,7552215000.000000,6372997000.000000,6372997000.000000,,6372997000.000000
12M 2018,225469965000.000000,177275242000.000000,7693555000.000000,10036280000.000000,557609000.000000,29907279000.000000,225469965000.000000,-418681288000.000000,-115408446000.000000,-32443424000.000000,-51932928000.000000,-218896490000.000000,-418681288000.000000,-193211323000.000000,-82752000.000000,1515295000.000000,-1598047000.000000,-82752000.000000,-193294075000.000000,535169000.000000,,535169000.000000,535169000.000000,-192758906000.000000,-388944000.000000,-193147850000.000000,-192758906000.000000,-192758906000.000000,,-192758906000.000000,-193147850000.000000,-193147850000.000000,,-193147850000.000000
12M 2019,333007101000.000000,156343829000.000000,98873761000.000000,21523046000.000000,3700016000.000000,52566449000.000000,333007101000.000000,-327910690000.000000,-150176071000.000000,-57138668000.000000,-72296069000.000000,-48299882000.000000,-327910690000.000000,5096411000.000000,-1286661000.000000,,-1286661000.000000,-1286661000.000000,3809750000.000000,-2038066000.000000,-2486286000.000000,448220000.000000,-2038066000.000000,1771684000.000000,-1678953000.000000,92731000.000000,1771684000.000000,1771684000.000000,,1771684000.000000,92731000.000000,92731000.000000,,92731000.000000
