Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok Dan Lainnya,"Pembayaran Pada Dokter, Perawat Dan Karyawan",Pembayaran Beban Bunga,Pembayaran Pajak Penghasilan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penerimaan Bunga,Perolehan Aset Tetap,Pembayaran Uang Muka Kontraktor,Pembayaran Uang Muka Aset Tetap,Kenaikan Aset Tidak Lancar,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Saham Penawaran Umum Perdana,Biaya Emisi,Penerimaan Kas Dari Pinjaman Bank,Pembayaran Pinjaman Bank,Pembayaran Utang Pembiayaan Konsumen,Penerimaan Modal Dari Pelaksanaan Waran,Pembelian Saham Treasuri,Penambahan Piutang Kepada Pemegang Saham,Penerimaan Piutang Kepada Pemegang Saham,Penambahan Utang Kepada Pemegang Saham,Pembayaran Utang Kepada Pemegang Saham,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kenaikan Neto Kas Dan Setara Kas Sehubungan Dengan Akuisisi,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2017,22217087778.000000,158777428233.000000,-62974135767.000000,-73586204688.000000,,,22217087778.000000,-25411596865.000000,,-25411596865.000000,,,,-25411596865.000000,4512728999.000000,,,,,,,,,298050853.000000,4214678146.000000,,4512728999.000000,1318219912.000000,,1191337619.000000,2509557531.000000
12M 2018,35333956437.000000,195793360304.000000,-76014737679.000000,-69987360753.000000,,-14457305435.000000,35333956437.000000,-609242323693.000000,,-59660477302.000000,,,-549581846391.000000,-609242323693.000000,574574747069.000000,579189665831.000000,,,,,845312500.000000,,,,-5460231262.000000,,574574747069.000000,666379813.000000,,2509557531.000000,3175937344.000000
12M 2019,2919872819.000000,174659789902.000000,-98258723518.000000,-67852534137.000000,-738290421.000000,-4890369007.000000,2919872819.000000,-14279063978.000000,63405296.000000,-14342469274.000000,,,,-14279063978.000000,10024211328.000000,,,85880621909.000000,-75754084104.000000,-102329601.000000,3124.000000,,,,,,10024211328.000000,-1334979831.000000,,3175937344.000000,1840957513.000000
12M 2020,59965607878.000000,241434691788.000000,-103643518187.000000,-73220399360.000000,-357994403.000000,-4247171960.000000,59965607878.000000,-9770080518.000000,199053969.000000,-9969134487.000000,,,,-9770080518.000000,-10180984606.000000,,,45543030145.000000,-55669567950.000000,-54571802.000000,125001.000000,,,,,,-10180984606.000000,40014542754.000000,,1840957513.000000,41855500267.000000
12M 2021,233249708253.000000,663278083459.000000,-303657384496.000000,-108804177553.000000,,-17566813157.000000,233249708253.000000,-11763856882.000000,1285480202.000000,-13049337084.000000,,,,-11763856882.000000,-818772487.000000,,,,,-59415487.000000,1375000.000000,-760732000.000000,,,,,-818772487.000000,220667078884.000000,164570169.000000,41855500267.000000,262687149320.000000
12M 2022,-100631228844.000000,242903902644.000000,-244843310074.000000,-74546991610.000000,-4980302.000000,-24139849502.000000,-100631228844.000000,-93130092251.000000,2685767679.000000,-60815859930.000000,,-35000000000.000000,,-93130092251.000000,-4520844510.000000,,,2109304236.000000,-2109304236.000000,-5183110.000000,,-4515661400.000000,,,,,-4520844510.000000,-198282165605.000000,,262687149320.000000,64404983715.000000
12M 2023,21267436178.000000,248047591818.000000,-148538733529.000000,-77510325899.000000,,-731096212.000000,21267436178.000000,-59179076349.000000,2065067623.000000,-61244143972.000000,,,,-59179076349.000000,,,,,,,,,,,,,,-37911640171.000000,,64404983715.000000,26493343544.000000
12M 2024,46982345894.000000,297258315067.000000,-167086739087.000000,-83008890879.000000,,-180339207.000000,46982345894.000000,-52759267564.000000,,-52759267564.000000,,,,-52759267564.000000,,,,,,,,,,,,,,-5776921670.000000,,26493343544.000000,20716421874.000000
