Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Tetap,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Utang Bank Jangka Pendek,Utang Lain-Lain,Beban Akrual,Utang Pajak,Utang Pemegang Saham,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Pembiayaan Konsumen,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Pembiayaan Konsumen,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2017,,,2509557531.000000,44759803993.000000,558318427.000000,10643783199.000000,4415575117.000000,62887038267.000000,,246315929902.000000,902841448.000000,,247218771350.000000,310105809617.000000,,,52418314710.000000,22288448303.000000,,349408989.000000,2465821238.000000,21405932297.000000,5460231262.000000,,,,448472621.000000,52418314710.000000,3611365792.000000,,,,3611365792.000000,3611365792.000000,56029680502.000000,,219208000000.000000,2095756861.000000,31710882587.000000,1061489667.000000,,254076129115.000000,310105809617.000000,2192080000.000000
12M 2018,,,3175937344.000000,53637759067.000000,668689378.000000,8376070937.000000,2249710166.000000,68108166892.000000,,293437980907.000000,1168812264.000000,549581846391.000000,844188639562.000000,912296806454.000000,,,58754512091.000000,32764191308.000000,,11019412317.000000,2293499650.000000,12352536351.000000,,,,,324872465.000000,58754512091.000000,4675249055.000000,,,,4675249055.000000,4675249055.000000,63429761146.000000,,339343260000.000000,461995475192.000000,46375733301.000000,1157362929.000000,-4786114.000000,848867045308.000000,912296806454.000000,3393432600.000000
12M 2019,,,1840957513.000000,53101685897.000000,630974027.000000,16708256817.000000,2523258431.000000,74805132685.000000,,295349004457.000000,1612370462.000000,539781846391.000000,836743221310.000000,911548353995.000000,,,53863259325.000000,26776062581.000000,10126537805.000000,5549866687.000000,3018353937.000000,8106762891.000000,,,54571802.000000,54571802.000000,231103622.000000,53863259325.000000,6514080444.000000,,64598597.000000,64598597.000000,6449481847.000000,6514080444.000000,60377339769.000000,,339343260500.000000,461995477816.000000,48772434107.000000,946491594.000000,113350209.000000,851171014226.000000,911548353995.000000,3393432600.000000
12M 2020,,,41855500267.000000,72243197020.000000,602372571.000000,11898328494.000000,10791448158.000000,137390846510.000000,,375682518916.000000,2029493927.000000,435200000000.000000,812912012843.000000,950302859353.000000,,,52600089651.000000,30837943467.000000,,4385981662.000000,1426898592.000000,15673246824.000000,,,59415487.000000,59415487.000000,216603619.000000,52600089651.000000,8350680707.000000,,5183110.000000,5183110.000000,8345497597.000000,8350680707.000000,60950770358.000000,,339343270500.000000,461995592817.000000,86942185668.000000,871263503.000000,199776507.000000,889352088995.000000,950302859353.000000,3393432705.000000
12M 2021,,,262687149320.000000,45985243121.000000,648364505.000000,17929694193.000000,112090341151.000000,439340792290.000000,,480662043658.000000,2253614178.000000,209066395901.000000,691982053737.000000,1131322846027.000000,,,156866467392.000000,106773061351.000000,,10252383456.000000,6380504097.000000,33242231757.000000,,,5183110.000000,5183110.000000,213103621.000000,156866467392.000000,10243700810.000000,,,,10243700810.000000,10243700810.000000,167110168202.000000,,339343490500.000000,461445905817.000000,162375724530.000000,1071501311.000000,-23944333.000000,964212677825.000000,1131322846027.000000,3391336005.000000
12M 2022,,,64404983715.000000,65141502667.000000,699743665.000000,32261582806.000000,23327800872.000000,185835613725.000000,,509809073231.000000,2208574322.000000,336665815515.000000,848683463068.000000,1034519076793.000000,,,41823615808.000000,25517392965.000000,,2406772092.000000,3844511472.000000,9714687294.000000,,,,,340251985.000000,41823615808.000000,10038974193.000000,,,,10038974193.000000,10038974193.000000,51862590001.000000,,339343490500.000000,461996747817.000000,183964781278.000000,1031983638.000000,-3680516441.000000,982656486792.000000,1034519076793.000000,3393434905.000000
12M 2023,,,26493343544.000000,81418478433.000000,132299334.000000,54575088299.000000,104921147.000000,162724130757.000000,,523703049786.000000,2224341088.000000,342137108229.000000,868064499103.000000,1030788629860.000000,,,40538726216.000000,25640036111.000000,,301157015.000000,4505799819.000000,9799880767.000000,,,,,291852504.000000,40538726216.000000,9146686607.000000,,,,9146686607.000000,9146686607.000000,49685412823.000000,,339343490500.000000,461996747817.000000,181218279582.000000,1006516402.000000,-2461817264.000000,981103217037.000000,1030788629860.000000,3393434905.000000
12M 2024,,,20716421874.000000,83352811497.000000,387535943.000000,68011794689.000000,105089361.000000,172573653364.000000,,575825925856.000000,3370379186.000000,332786071401.000000,911982376443.000000,1084556029807.000000,,,108781131544.000000,94279365757.000000,,689206458.000000,4060997393.000000,8660437839.000000,,,,,1091124097.000000,108781131544.000000,13391995986.000000,,,,13391995986.000000,13391995986.000000,122173127530.000000,,339343490500.000000,461996747817.000000,162810367528.000000,996402235.000000,-2764105803.000000,962382902277.000000,1084556029807.000000,3393434905.000000
