Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2018,(2 B),,(2 B),-1949059.22
12M 2019,(8 B),(2 B),(10 B),-348694.99
12M 2020,(18 B),(0 B),(18 B),-21.32
12M 2021,5 B,,5 B,6.25
12M 2022,(1 B),,(1 B),-0.84
12M 2023,0 B,,0 B,0.06
12M 2024,0 B,,0 B,0.14
