Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Tetap,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Utang Lain-Lain,Beban Akrual,Utang Pajak,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2018,,,791847881.000000,7646463290.000000,348800000.000000,27283507478.000000,2680503791.000000,38751122440.000000,,11146139420.000000,255493577.000000,,11401632997.000000,50152755437.000000,,,29115439913.000000,19511920255.000000,5583234869.000000,1244706264.000000,,2775578525.000000,29115439913.000000,958698000.000000,958698000.000000,958698000.000000,30074137913.000000,,1136000000.000000,,18664485524.000000,278132000.000000,20078617524.000000,50152755437.000000,1136.000000
12M 2019,,,766427935.000000,17863931851.000000,990000000.000000,17914417709.000000,9133669718.000000,46668447213.000000,,12475825808.000000,271354282.000000,,12747180090.000000,59415627303.000000,,,27259007941.000000,20500000000.000000,5216417053.000000,,,1542590888.000000,27259007941.000000,980983500.000000,980983500.000000,980983500.000000,28239991441.000000,,29736000000.000000,,1128253362.000000,311382500.000000,31175635862.000000,59415627303.000000,29736.000000
12M 2020,,,329201619.000000,17593157528.000000,2812664012.000000,24695691607.000000,12537547199.000000,57968261965.000000,,11612554181.000000,329221741.000000,21000000.000000,11962775922.000000,69931037887.000000,,,21859794836.000000,18264500000.000000,2124035468.000000,,,1471259368.000000,21859794836.000000,1031231406.000000,1031231406.000000,1031231406.000000,22891026242.000000,,42671160000.000000,,-2689308355.000000,7058160000.000000,47040011645.000000,69931037887.000000,853423205.000000
12M 2021,,,921879968.000000,12574246260.000000,,32988952725.000000,1529089809.000000,48014168762.000000,,1887014284.000000,508311870.000000,21000000.000000,2416326154.000000,50430494916.000000,,,1723951655.000000,,197217600.000000,,959976.000000,1525774079.000000,1723951655.000000,,,,1723951655.000000,,42671160000.000000,,-1022776739.000000,7058160000.000000,48706543261.000000,50430494916.000000,853423236.000000
12M 2022,,,202217004.000000,18776532063.000000,,24391896671.000000,1589889808.000000,44960535546.000000,,1812699951.000000,1078488914.000000,21000000.000000,2912188865.000000,47872724411.000000,,,1554437703.000000,,,,4582161.000000,1549855542.000000,1554437703.000000,46333713.000000,46333713.000000,46333713.000000,1600771416.000000,,42671160000.000000,,-3457367005.000000,7058160000.000000,46271952995.000000,47872724411.000000,853423236.000000
12M 2023,,,253881425.000000,20314212650.000000,,20738068969.000000,1539706480.000000,42845869524.000000,,1663625000.000000,1520994512.000000,21000000.000000,3205619512.000000,46051489036.000000,,,1526353777.000000,,,,1009474.000000,1525344303.000000,1526353777.000000,65724067.000000,65724067.000000,65724067.000000,1592077844.000000,,42671160000.000000,,-5344939095.000000,7133190287.000000,44459411192.000000,46051489036.000000,853423236.000000
12M 2024,,,376143068.000000,19067982421.000000,,19242583160.000000,8942344.000000,38695650993.000000,,1662000000.000000,2107881434.000000,21000000.000000,3790881434.000000,42486532427.000000,,,1110420.000000,,,,1009473.000000,100947.000000,1110420.000000,104358939.000000,104358939.000000,104358939.000000,105469359.000000,,42671160000.000000,,-7430114644.000000,7140017712.000000,42381063068.000000,42486532427.000000,853423236.000000
