Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Penerimaan Operasional Lain,Pembelian Persediaan Barang,Pembayaran Kepada Pemasok,Pembayaran Pada Karyawan,Pembayaran Uang Muka,Pembayaran Dana Penunjang Pasar Modal,Pembayaran Untuk Beban Operasi,Pajak Penghasilan Badan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Penjualan Aset Tetap,Laba Penjualan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Utang Lain-Lain,Kenaikan Pinjaman Bank,Penurunan Pinjaman Bank,Pelunasan Bank Dipercepat,Pembayaran Dividen Kas,Tambahan Modal Disetor,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2018,-2214131273.000000,36124189109.000000,,,-33193869392.000000,-779639416.000000,,,-3878124200.000000,-486687374.000000,-2214131273.000000,,,,,,492036000.000000,844830000.000000,487206000.000000,-840000000.000000,,,,492036000.000000,-1722095273.000000,2513943153.000000,,791847880.000000
12M 2019,-8148516060.000000,28481378223.000000,,,-30075952258.000000,-980358052.000000,,,-5376547426.000000,-197036547.000000,-8148516060.000000,-2220278058.000000,-2220278058.000000,,,-2220278058.000000,10343374172.000000,-1244706264.000000,3359330436.000000,-2371250000.000000,,-18000000000.000000,28600000000.000000,10343374172.000000,-25419946.000000,791847881.000000,,766427935.000000
12M 2020,-17915046317.000000,10551430284.000000,,,-25205744964.000000,-1334963050.000000,,,-1925768587.000000,,-17915046317.000000,-280000000.000000,-280000000.000000,,,-280000000.000000,17757820000.000000,,,-2235500000.000000,,,19993320000.000000,17757820000.000000,-437226317.000000,766427935.000000,,329201618.000000
12M 2021,5334178350.000000,9824164836.000000,,,-978974638.000000,-594358500.000000,,,-2916653348.000000,,5334178350.000000,10500000000.000000,,10500000000.000000,,10500000000.000000,-15241500000.000000,,,-15241500000.000000,,,,-15241500000.000000,592678350.000000,329201619.000000,,921879969.000000
12M 2022,-719662964.000000,2784966494.000000,,,-197217600.000000,-475461500.000000,,,-2831950358.000000,,-719662964.000000,,,,,,,,,,,,,,-719662964.000000,921879968.000000,,202217004.000000
12M 2023,51664421.000000,941396400.000000,,,,-473687200.000000,,,-416044779.000000,,51664421.000000,,,,,,,,,,,,,,51664421.000000,202217004.000000,,253881425.000000
12M 2024,122261643.000000,1023243242.000000,,,,-514044060.000000,,,-386937539.000000,,122261643.000000,,,,,,,,,,,,,,122261643.000000,253881425.000000,,376143068.000000
