Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2013,2.46,195.21,2.46,195.21,161 B,1 B,162 B,70 B,67 B
12M 2014,3.50,277.42,3.50,277.42,13 B,0 B,13 B,(112 B),123 B
12M 2015,3.15,299.96,3.15,299.96,24 B,1 B,26 B,(82 B),43 B
12M 2016,1.93,331.80,1.95,328.84,14 B,1 B,15 B,(79 B),50 B
12M 2017,1.43,501.39,1.99,358.55,27 B,17 B,44 B,(235 B),325 B
12M 2018,1.35,514.37,1.87,372.03,153 B,42 B,195 B,(74 B),236 B
12M 2019,0.79,516.76,1.09,374.80,469 B,39 B,508 B,338 B,221 B
12M 2020,0.62,519.41,0.86,377.50,480 B,25 B,505 B,328 B,253 B
12M 2021,0.67,535.60,0.91,394.07,608 B,26 B,634 B,417 B,275 B
12M 2022,0.65,582.49,0.85,444.39,592 B,15 B,608 B,325 B,387 B
12M 2023,0.54,576.97,0.71,442.28,541 B,12 B,553 B,263 B,388 B
12M 2024,0.85,535.15,1.12,403.84,535 B,20 B,555 B,268 B,315 B
