Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Investasi Jangka Panjang,Aset Tetap,Aset Tak Berwujud,Aset Pajak Tangguhan,Goodwill,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Pembiayaan Konsumen,Utang Sewa Pembiayaan,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Pajak Tangguhan,Utang Lain-Lain,Pihak Berelasi,Total Utang Lain-Lain,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank,Utang Pembiayaan Konsumen,Utang Sewa Pembiayaan,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2013,,,91980401088.000000,138194772290.000000,10577596926.000000,127617175364.000000,138194772290.000000,1021502397.000000,1967300.000000,1019535097.000000,1021502397.000000,88932449912.000000,18339754603.000000,338468880290.000000,,,149864271873.000000,,5985344195.000000,,3334061314.000000,159183677382.000000,497652557672.000000,,,271139784806.000000,160216884363.000000,,321296124.000000,80324162797.000000,80645458921.000000,,1000000000.000000,6287798428.000000,7287798428.000000,16301697279.000000,5826103123.000000,,,,852842692.000000,,852842692.000000,9000000.000000,271139784806.000000,25388558355.000000,,,5624611030.000000,5624611030.000000,,,,806058330.000000,,806058330.000000,18957888995.000000,25388558355.000000,296528343161.000000,,86573639400.000000,77711044161.000000,,77711044161.000000,77711044161.000000,32121011426.000000,4718519524.000000,201124214511.000000,497652557672.000000,865736394.000000
12M 2014,,,125050843516.000000,109126959276.000000,3808474640.000000,105318484636.000000,109126959276.000000,3564467738.000000,,3564467738.000000,3564467738.000000,111766911295.000000,29987525687.000000,379496707512.000000,,,250714045211.000000,,9182205106.000000,,10141073284.000000,270037323601.000000,649534031113.000000,,,256924179534.000000,12440000000.000000,,74067878.000000,73649382478.000000,73723450356.000000,,272662172.000000,11166147200.000000,11438809372.000000,12852645564.000000,11352591796.000000,,,,653774550.000000,22000620306.000000,22654394856.000000,112462287590.000000,256924179534.000000,74700075216.000000,,,5624611030.000000,5624611030.000000,,,,152283900.000000,44349520308.000000,44501804208.000000,24573659978.000000,74700075216.000000,331624254750.000000,,93653089400.000000,141193960109.000000,,141193960109.000000,141193960109.000000,58100692330.000000,24962034524.000000,317909776363.000000,649534031113.000000,936530894.000000
12M 2015,,,107598435920.000000,94300351510.000000,6633212338.000000,87667139172.000000,94300351510.000000,282612956.000000,,282612956.000000,282612956.000000,108659590967.000000,30882793486.000000,341723784839.000000,,,393331492683.000000,,14998877523.000000,,14430093665.000000,422760463871.000000,764484248710.000000,,,298417379502.000000,23711873357.000000,,34531463.000000,82674180879.000000,82708712342.000000,,4641776232.000000,7257652004.000000,11899428236.000000,4867209823.000000,10446102515.000000,,,455508838.000000,152276700.000000,43213417969.000000,43821203507.000000,120962849722.000000,298417379502.000000,121979429549.000000,,,5624611030.000000,5624611030.000000,,,1274980796.000000,,71856321875.000000,73131302671.000000,43223515848.000000,121979429549.000000,420396809051.000000,,93653089400.000000,162311089576.000000,,,162311089576.000000,63161226159.000000,24962034524.000000,344087439659.000000,764484248710.000000,936530894.000000
12M 2016,,,94527899602.000000,158097017422.000000,12742383080.000000,145354634342.000000,158097017422.000000,1406010942.000000,,1406010942.000000,1406010942.000000,238247341317.000000,26991487616.000000,519269756899.000000,,,436018707335.000000,2779599525.000000,23709544539.000000,,19879403706.000000,482387255105.000000,1001657012004.000000,,,468979800633.000000,13436000000.000000,,52642415.000000,144232382257.000000,144285024672.000000,,4337746860.000000,54006496264.000000,58344243124.000000,3463676820.000000,17330498246.000000,,,693844843.000000,,122807464071.000000,123501308914.000000,108619048857.000000,468979800633.000000,164287924725.000000,,,5624611030.000000,5624611030.000000,,,1338043266.000000,,104945785046.000000,106283828312.000000,52379485383.000000,164287924725.000000,633267725358.000000,,93653089400.000000,189918992230.000000,,,189918992230.000000,57644850492.000000,27172354524.000000,368389286646.000000,1001657012004.000000,936530894.000000
12M 2017,,,278614714467.000000,200512105090.000000,10560917832.000000,189951187258.000000,200512105090.000000,28690705217.000000,7080021100.000000,21610684117.000000,28690705217.000000,293162796955.000000,35659275503.000000,836639597232.000000,,,485558490029.000000,1896943244.000000,31647872656.000000,244647614351.000000,22636957533.000000,786387877813.000000,1623027475045.000000,,,511596750506.000000,24402356087.000000,,502375330.000000,139722234727.000000,140224610057.000000,,4872845604.000000,12123598136.000000,16996443740.000000,1741245156.000000,15176907346.000000,,,1335448735.000000,1007564827.000000,2020357316.000000,4363370878.000000,308691817242.000000,511596750506.000000,88193264140.000000,1003227979.000000,,,,,10000000000.000000,1500995323.000000,5569008335.000000,7712780048.000000,24782783706.000000,62407252455.000000,88193264140.000000,599790014646.000000,,172600321700.000000,215372236498.000000,,,215372236498.000000,157842449229.000000,477422452972.000000,1023237460399.000000,1623027475045.000000,1726003217.000000
12M 2018,,,268820928488.000000,245715957629.000000,5283738253.000000,240432219376.000000,245715957629.000000,9524042188.000000,7014453700.000000,2509588488.000000,9524042188.000000,302148568290.000000,25200720041.000000,851410216636.000000,,21064350000.000000,582660258194.000000,1036188781.000000,35198065696.000000,244647614351.000000,35349278351.000000,919955755373.000000,1771365972009.000000,,,615506825729.000000,135020965700.000000,,576346648.000000,109286665940.000000,109863012588.000000,,7093540175.000000,12622770901.000000,19716311076.000000,6553490208.000000,12083253406.000000,,1000000000.000000,13543362931.000000,3103670098.000000,2020357316.000000,19667390345.000000,312602402406.000000,615506825729.000000,115282593709.000000,565285653.000000,,,,,9000000000.000000,17569564456.000000,15450190560.000000,5692422732.000000,47712177748.000000,67005130308.000000,115282593709.000000,730789419438.000000,,172600321700.000000,230381622237.000000,,,230381622237.000000,152774145948.000000,484820462686.000000,1040576552571.000000,1771365972009.000000,1726003217.000000
12M 2019,,,170632054962.000000,277933472039.000000,2323970424.000000,275609501615.000000,277933472039.000000,10479126627.000000,7048500000.000000,3430626627.000000,10479126627.000000,410800635623.000000,19898361878.000000,889743651129.000000,,7770454500.000000,602802562379.000000,369923674.000000,35853756309.000000,244647614351.000000,39195390470.000000,930639701683.000000,1820383352812.000000,,,668931501885.000000,460878914181.000000,,453012893.000000,168632603963.000000,169085616856.000000,,7175683775.000000,6379980680.000000,13555664455.000000,2925029723.000000,11657335743.000000,,2000000000.000000,1813889832.000000,4700127252.000000,,8514017084.000000,2314923843.000000,668931501885.000000,115631469926.000000,395925037.000000,,,,,7000000000.000000,15958426439.000000,16096936643.000000,,39055363082.000000,76180181807.000000,115631469926.000000,784562971811.000000,,172600321700.000000,234658202551.000000,,,234658202551.000000,143898403191.000000,484663453558.000000,1035820381000.000000,1820383352811.000000,1726003217.000000
12M 2020,,,176646721652.000000,360402133179.000000,4818811584.000000,355583321595.000000,360402133179.000000,9422819572.000000,7038000000.000000,2384819572.000000,9422819572.000000,388035141921.000000,19285667367.000000,953792483691.000000,,47235024938.000000,440748401586.000000,293604886.000000,33049418493.000000,244647614351.000000,48893998809.000000,814868063063.000000,1768660546754.000000,,,701020837232.000000,473866750000.000000,,1241889204.000000,180789953653.000000,182031842857.000000,,4787615575.000000,4797282427.000000,9584898002.000000,4401917735.000000,19036901020.000000,,,206824115.000000,5808634610.000000,,6015458725.000000,6083068893.000000,701020837232.000000,105658050187.000000,225567647.000000,,,,,,307623336.000000,24486830911.000000,,24794454247.000000,80638028293.000000,105658050187.000000,806678887419.000000,,172600321700.000000,232076967769.000000,,,232076967769.000000,65472037223.000000,491832332643.000000,961981659335.000000,1768660546754.000000,1726003217.000000
12M 2021,,,216907258764.000000,451033593875.000000,7086068357.000000,443947525518.000000,451033593875.000000,7761150559.000000,7072500000.000000,688650559.000000,7761150559.000000,438730784018.000000,43699322932.000000,1158132110148.000000,,48016640190.000000,440353396212.000000,219954658.000000,24003035594.000000,244647614351.000000,55055368903.000000,812296009908.000000,1970428120056.000000,,,883202660221.000000,598053007499.000000,,2125931178.000000,225231857626.000000,227357788804.000000,,5222536118.000000,7772414348.000000,12994950466.000000,4580864846.000000,27696892594.000000,,,1021207423.000000,8945331399.000000,,9966538822.000000,2552617190.000000,883202660221.000000,94739966825.000000,134887780.000000,,,,,,1214055379.000000,24503948967.000000,,25718004346.000000,68887074699.000000,94739966825.000000,977942627046.000000,,173010321700.000000,261021339403.000000,,,261021339403.000000,65838399264.000000,492615432643.000000,992485493010.000000,1970428120056.000000,1730103217.000000
12M 2022,,,282270231029.000000,448775394470.000000,2759119056.000000,446016275414.000000,448775394470.000000,8235998147.000000,7098375000.000000,1137623147.000000,8235998147.000000,457088997518.000000,66884616528.000000,1263255237692.000000,,45928258864.000000,421445662260.000000,170611202.000000,21475210815.000000,238758256519.000000,51166339731.000000,778944339391.000000,2042199577083.000000,,,875853096624.000000,582031746726.000000,,2488274897.000000,229404371015.000000,231892645912.000000,,5585213731.000000,6446880349.000000,12032094080.000000,18618924948.000000,18114068678.000000,,,2032125482.000000,8359957838.000000,,10392083320.000000,2771532960.000000,875853096624.000000,92380769970.000000,,,,,,,2102017617.000000,13201008544.000000,,15303026161.000000,77077743809.000000,92380769970.000000,968233866594.000000,,173010321700.000000,341007957874.000000,,,341007957874.000000,66196984762.000000,493750446153.000000,1073965710489.000000,2042199577083.000000,1730103217.000000
12M 2023,,,289420624495.000000,243767970689.000000,295957638.000000,243472013051.000000,243767970689.000000,7353451756.000000,7124250000.000000,229201756.000000,7353451756.000000,486360790755.000000,46387428569.000000,1073290266264.000000,,43384698568.000000,437450447490.000000,144412866.000000,20028609166.000000,232868898687.000000,32455140706.000000,766332207483.000000,1839622473747.000000,,,685194518888.000000,538152395439.000000,,2741855906.000000,116249228913.000000,118991084819.000000,,4380947059.000000,3635901886.000000,8016848945.000000,5060583465.000000,11652481851.000000,,,1459297483.000000,1527703302.000000,,2987000785.000000,334123584.000000,685194518888.000000,87148736974.000000,,,,,,1076472000.000000,538311538.000000,10146193929.000000,,11760977467.000000,75387759507.000000,87148736974.000000,772343255862.000000,,173010321700.000000,331450310066.000000,,,331450310066.000000,69068139966.000000,493750446153.000000,1067279217885.000000,1839622473747.000000,1730103217.000000
