Period,Aset,Aset Lancar,Kas Dan Setara Kas,Investasi Jangka Pendek,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Investasi Pada Entitas Asosiasi,Aset Pajak Tangguhan,Aset Tetap,Aset Tak Berwujud,Piutang Pihak Berelasi,Investasi Jangka Panjang,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Beban Akrual,Utang Pajak,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Sewa Pembiayaan,Utang Bank,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Dari Pihak Berelasi,Utang Obligasi,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Bank,Liabilitas Pajak Tangguhan,Utang Sewa Pembiayaan,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Utang Obligasi,Dana Syirkah Temporer,Others,Total Dana Syirkah Temporer,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2020,,,239310384.000000,,690448023.000000,19788523.000000,670659500.000000,690448023.000000,128754768.000000,,128754768.000000,128754768.000000,1809681749.000000,381483100.000000,3249678024.000000,,,,,,,,,,3249678024.000000,,,1896802837.000000,,,1833701750.000000,,1833701750.000000,,,,,19500000.000000,43601087.000000,,,,,,,,,1896802837.000000,,,,,,,,,,,,,,,1896802837.000000,,1000000000.000000,,352875187.000000,,352875187.000000,352875187.000000,,,1352875187.000000,3249678024.000000,1000.000000
12M 2021,,,1624244003.000000,,63086351148.000000,63086351148.000000,,63086351148.000000,2005985000.000000,2600000.000000,2003385000.000000,2005985000.000000,36496598831.000000,404370185.000000,103617549167.000000,,,662844194.000000,1672467950.000000,,,,3314500000.000000,5649812144.000000,109267361311.000000,,,82509099697.000000,,,45941018063.000000,121472900.000000,46062490963.000000,,2000000000.000000,78500000.000000,2078500000.000000,1644326841.000000,8674210339.000000,,,,139031590.000000,139031590.000000,,,23910539964.000000,82509099697.000000,360694258.000000,,,,,,,,,,,,360694258.000000,360694258.000000,82869793955.000000,,1000000000.000000,,25397567356.000000,,25397567356.000000,25397567356.000000,,,26397567356.000000,109267361311.000000,1000.000000
12M 2022,,,80065029947.000000,,51899442087.000000,51899442087.000000,,51899442087.000000,577420368.000000,5353000.000000,572067368.000000,577420368.000000,47085302925.000000,5144216627.000000,184771411954.000000,,,814082847.000000,6244302819.000000,1093614070.000000,,,3941609500.000000,12093609236.000000,196865021190.000000,,,33250383321.000000,,,13922760781.000000,,13922760781.000000,,71294001.000000,10000000000.000000,10071294001.000000,704703668.000000,7164409207.000000,,,,639591600.000000,639591600.000000,,,747624064.000000,33250383321.000000,619542500.000000,,,,,,,,,,,,619542500.000000,619542500.000000,33869925821.000000,,60000000000.000000,93914323192.000000,9065651877.000000,500000000.000000,8565651877.000000,9065651877.000000,,15120300.000000,162995095369.000000,196865021190.000000,2400000000.000000
12M 2023,,,64815448275.000000,,64302019804.000000,64302019804.000000,,64302019804.000000,60134690.000000,60134690.000000,,60134690.000000,125632665114.000000,47459306199.000000,302269574082.000000,,,1369993348.000000,13247792975.000000,5165932468.000000,,,3391830300.000000,23175549091.000000,325445123173.000000,,,85006734262.000000,69015337080.000000,,10960105145.000000,,10960105145.000000,,942129479.000000,,942129479.000000,361856153.000000,3418579905.000000,,,,308726500.000000,308726500.000000,,,,85006734262.000000,60960781269.000000,,,,,,,,,,60000000000.000000,60000000000.000000,960781269.000000,60960781269.000000,145967515531.000000,,60002229150.000000,93938765842.000000,25578176449.000000,3500000000.000000,22078176449.000000,25578176449.000000,,-41563799.000000,179477607642.000000,325445123173.000000,2400089166.000000
12M 2024,,,3435011446.000000,,62568139464.000000,62568139464.000000,,62568139464.000000,227179715.000000,117429715.000000,109750000.000000,227179715.000000,185529646356.000000,59018447928.000000,310778424909.000000,,,1033855333.000000,88367514714.000000,3580438470.000000,,,4058330500.000000,97040139017.000000,407818563926.000000,,,32221378442.000000,,,21670520679.000000,,21670520679.000000,,3714708354.000000,,3714708354.000000,617608859.000000,6113897550.000000,,,,104643000.000000,104643000.000000,,,,32221378442.000000,195021505100.000000,,,,,,,,,,192294313450.000000,192294313450.000000,2727191650.000000,195021505100.000000,227242883542.000000,,60005317250.000000,93972734942.000000,26785148996.000000,3500000000.000000,23285148996.000000,26785148996.000000,,-187520804.000000,180575680384.000000,407818563926.000000,2400212690.000000
